county,year,precip
1,1985,45.18
1,1990,50.22
1,1995,53.53
1,2000,39.78
1,2005,58.33
1,2010,45.90
1,2015,55.11
3,1985,70.51
3,1990,57.82
3,1995,83.48
3,2000,39.26
3,2005,71.18
3,2010,57.79
3,2015,67.84
5,1985,47.54
5,1990,42.45
5,1995,51.45
5,2000,41.23
5,2005,58.53
5,2010,41.83
5,2015,66.26
7,1985,50.07
7,1990,61.94
7,1995,59.14
7,2000,41.72
7,2005,62.08
7,2010,52.16
7,2015,55.74
9,1985,54.13
9,1990,56.16
9,1995,60.04
9,2000,47.30
9,2005,49.71
9,2010,51.16
9,2015,56.79
11,1985,46.85
11,1990,46.44
11,1995,55.08
11,2000,41.89
11,2005,53.72
11,2010,44.05
11,2015,62.24
13,1985,46.33
13,1990,51.23
13,1995,58.81
13,2000,40.54
13,2005,57.98
13,2010,46.87
13,2015,60.05
15,1985,45.49
15,1990,55.46
15,1995,57.87
15,2000,41.00
15,2005,51.02
15,2010,45.59
15,2015,63.36
17,1985,47.32
17,1990,49.80
17,1995,49.20
17,2000,43.69
17,2005,56.51
17,2010,43.34
17,2015,65.24
19,1985,51.27
19,1990,62.64
19,1995,53.58
19,2000,44.44
19,2005,44.29
19,2010,44.95
19,2015,57.39
21,1985,46.30
21,1990,52.95
21,1995,55.13
21,2000,39.80
21,2005,61.21
21,2010,49.68
21,2015,56.64
23,1985,53.40
23,1990,57.94
23,1995,58.80
23,2000,38.49
23,2005,57.17
23,2010,41.19
23,2015,59.03
25,1985,53.19
25,1990,59.40
25,1995,64.96
25,2000,38.19
25,2005,57.15
25,2010,42.68
25,2015,61.76
27,1985,48.69
27,1990,53.85
27,1995,60.13
27,2000,44.11
27,2005,58.02
27,2010,49.81
27,2015,62.57
29,1985,48.23
29,1990,51.78
29,1995,57.06
29,2000,44.28
29,2005,58.72
29,2010,46.78
29,2015,66.32
31,1985,53.52
31,1990,50.19
31,1995,64.78
31,2000,38.41
31,2005,60.06
31,2010,43.15
31,2015,67.13
33,1985,46.33
33,1990,66.63
33,1995,53.95
33,2000,43.31
33,2005,48.59
33,2010,46.07
33,2015,60.91
35,1985,55.69
35,1990,57.98
35,1995,73.86
35,2000,41.43
35,2005,62.78
35,2010,47.71
35,2015,62.12
37,1985,46.60
37,1990,52.14
37,1995,54.30
37,2000,42.77
