county,year,temp
1,1985,63.72
1,1990,65.88
1,1995,64.14
1,2000,64.33
1,2005,64.02
1,2010,63.59
1,2015,65.71
3,1985,66.92
3,1990,68.14
3,1995,66.74
3,2000,67.60
3,2005,67.37
3,2010,66.06
3,2015,68.67
5,1985,65.27
5,1990,67.27
5,1995,64.85
5,2000,65.14
5,2005,64.79
5,2010,63.93
5,2015,66.45
7,1985,61.98
7,1990,64.57
7,1995,62.80
7,2000,63.26
7,2005,63.12
7,2010,62.52
7,2015,63.99
9,1985,60.30
9,1990,62.77
9,1995,60.78
9,2000,61.46
9,2005,61.34
9,2010,60.88
9,2015,62.43
11,1985,64.49
11,1990,66.48
11,1995,64.42
11,2000,64.64
11,2005,64.23
11,2010,63.38
11,2015,66.18
13,1985,64.35
13,1990,66.24
13,1995,64.35
13,2000,64.88
13,2005,64.33
13,2010,63.67
13,2015,66.19
15,1985,60.47
15,1990,62.89
15,1995,61.13
15,2000,61.41
15,2005,61.69
15,2010,61.07
15,2015,63.23
17,1985,61.66
17,1990,63.89
17,1995,61.88
17,2000,62.08
17,2005,61.97
17,2010,61.41
17,2015,63.47
19,1985,60.18
19,1990,62.44
19,1995,60.43
19,2000,60.84
19,2005,61.07
19,2010,60.51
19,2015,62.53
21,1985,62.24
21,1990,64.93
21,1995,62.96
21,2000,63.17
21,2005,62.96
21,2010,62.60
21,2015,64.06
23,1985,64.31
23,1990,66.19
23,1995,64.50
23,2000,64.99
23,2005,64.88
23,2010,64.08
23,2015,65.93
25,1985,64.74
25,1990,66.48
25,1995,64.87
25,2000,65.59
25,2005,65.40
25,2010,64.56
25,2015,66.48
27,1985,60.47
27,1990,62.75
27,1995,60.50
27,2000,60.98
27,2005,60.96
27,2010,60.57
27,2015,62.46
29,1985,59.65
29,1990,61.95
29,1995,60.00
29,2000,60.17
29,2005,60.55
29,2010,59.93
29,2015,62.25
31,1985,65.24
31,1990,67.24
31,1995,65.09
31,2000,65.83
31,2005,65.46
31,2010,64.42
31,2015,67.03
33,1985,59.12
33,1990,61.78
33,1995,59.91
33,2000,60.79
33,2005,60.57
33,2010,59.76
33,2015,61.32
35,1985,65.35
35,1990,66.77
35,1995,65.05
35,2000,65.47
35,2005,65.21
35,2010,64.27
35,2015,66.66
37,1985,62.03
37,1990,64.35
37,1995,62.33
37,2000,62.63
37,2005,62.45
37,2010,62.08
37,2015,63.70
39,1985,65.51
39,1990,67.02
39,1995,65.38
39,2000,65.61
39,2005,65.58
39,2010,64.48
39,2015,67.08
41,1985,64.17
41,1990,66.33
41,1995,64.32
41,2000,64.85
41,2005,64.33
41,2010,63.44
41,2015,66.05
43,1985,59.87
43,1990,62.32
43,1995,60.32
43,2000,61.02
43,2005,60.98
43,2010,60.27
43,2015,61.69
45,1985,65.74
45,1990,67.74
45,1995,65.42
45,2000,66.18
45,2005,65.64
45,2010,64.66
45,2015,67.46
47,1985,64.12
47,1990,66.29
47,1995,64.53
47,2000,64.88
47,2005,64.37
47,2010,64.06
47,2015,65.77
49,1985,58.77
49,1990,60.93
49,1995,58.93
49,2000,59.42
49,2005,59.69
49,2010,58.98
49,2015,60.77
51,1985,63.64
51,1990,65.70
51,1995,63.89
51,2000,64.12
51,2005,63.83
51,2010,63.36
51,2015,65.71
53,1985,66.06
53,1990,67.38
53,1995,65.70
53,2000,66.17
53,2005,65.98
53,2010,64.90
53,2015,67.39
55,1985,60.41
55,1990,62.82
55,1995,60.74
55,2000,61.48
55,2005,61.48
55,2010,60.93
55,2015,62.85
57,1985,60.98
57,1990,63.47
57,1995,61.48
57,2000,62.47
57,2005,62.04
57,2010,61.60
57,2015,63.06
59,1985,59.07
59,1990,61.67
59,1995,59.65
59,2000,60.62
59,2005,60.43
59,2010,59.73
59,2015,61.18
61,1985,66.16
61,1990,67.88
61,1995,65.80
61,2000,66.33
61,2005,66.52
61,2010,65.25
61,2015,67.96
63,1985,63.30
63,1990,65.47
63,1995,63.75
63,2000,64.12
63,2005,63.98
63,2010,63.52
63,2015,64.78
65,1985,63.13
65,1990,65.48
65,1995,63.80
65,2000,64.14
65,2005,63.93
65,2010,63.35
65,2015,64.76
67,1985,66.11
67,1990,67.94
67,1995,65.61
67,2000,66.04
