county,year,precip
1,1985,16.03
1,1990,14.19
1,1995,11.87
1,2000,12.27
1,2005,11.91
1,2010,13.92
1,2015,16.85
3,1985,18.90
3,1990,17.57
3,1995,13.29
3,2000,16.50
3,2005,12.65
3,2010,16.25
3,2015,16.48
5,1985,14.44
5,1990,14.22
5,1995,14.02
5,2000,11.46
5,2005,15.16
5,2010,15.50
5,2015,17.06
7,1985,23.09
7,1990,21.32
7,1995,18.21
7,2000,17.80
7,2005,19.90
7,2010,24.27
7,2015,21.14
9,1985,18.66
9,1990,19.61
9,1995,12.82
9,2000,16.70
9,2005,14.42
9,2010,16.87
9,2015,19.36
11,1985,21.42
11,1990,19.84
11,1995,13.02
11,2000,15.65
11,2005,18.59
11,2010,18.66
11,2015,20.74
12,1985,5.93
12,1990,5.09
12,1995,4.97
12,2000,3.18
12,2005,9.58
12,2010,6.47
12,2015,6.28
13,1985,10.57
13,1990,10.97
13,1995,7.83
13,2000,7.86
13,2005,10.15
13,2010,9.85
13,2015,7.89
15,1985,9.11
15,1990,11.34
15,1995,10.43
15,2000,7.75
15,2005,13.80
15,2010,12.84
15,2015,11.54
17,1985,14.78
17,1990,12.20
17,1995,10.95
17,2000,10.55
17,2005,11.13
17,2010,12.14
17,2015,16.51
19,1985,13.39
19,1990,16.47
19,1995,9.59
19,2000,11.76
19,2005,10.71
19,2010,12.12
19,2015,13.32
21,1985,12.97
21,1990,17.50
21,1995,11.00
21,2000,10.38
21,2005,11.53
21,2010,13.25
21,2015,14.03
23,1985,22.03
23,1990,23.10
23,1995,14.76
23,2000,20.68
23,2005,14.46
23,2010,21.09
23,2015,21.75
25,1985,17.17
25,1990,17.73
25,1995,16.31
25,2000,14.70
25,2005,18.52
25,2010,18.61
25,2015,16.04
27,1985,4.66
27,1990,3.94
27,1995,2.50
27,2000,3.30
27,2005,6.97
27,2010,6.41
27,2015,3.90
