county,year,temp
1,1985,49.84
1,1990,49.84
1,1995,51.02
1,2000,51.97
1,2005,51.55
1,2010,50.37
1,2015,51.87
3,1985,60.38
3,1990,60.87
3,1995,61.84
3,2000,62.27
3,2005,62.28
3,2010,61.27
3,2015,62.18
5,1985,52.11
5,1990,52.03
5,1995,53.34
5,2000,54.28
5,2005,53.49
5,2010,52.65
5,2015,54.13
7,1985,58.58
7,1990,58.95
7,1995,60.25
7,2000,61.11
7,2005,60.57
7,2010,59.80
7,2015,61.09
9,1985,59.93
9,1990,60.31
9,1995,61.40
9,2000,62.27
9,2005,62.06
9,2010,61.04
9,2015,62.20
11,1985,55.29
11,1990,55.59
11,1995,56.80
11,2000,57.61
11,2005,57.31
11,2010,56.17
11,2015,57.82
12,1985,70.44
12,1990,70.91
12,1995,72.44
12,2000,72.64
12,2005,71.69
12,2010,71.48
12,2015,73.04
13,1985,69.62
13,1990,69.85
13,1995,71.17
13,2000,71.41
13,2005,71.10
13,2010,70.77
13,2015,72.03
15,1985,61.61
15,1990,61.84
15,1995,63.04
15,2000,63.83
15,2005,62.70
15,2010,62.24
15,2015,63.85
17,1985,51.41
17,1990,51.21
17,1995,52.71
17,2000,53.68
17,2005,53.12
17,2010,51.98
17,2015,53.32
19,1985,66.53
19,1990,66.85
19,1995,68.03
19,2000,68.67
19,2005,68.61
19,2010,67.81
19,2015,68.90
21,1985,67.86
21,1990,68.26
21,1995,69.28
21,2000,69.73
21,2005,69.58
21,2010,68.96
21,2015,69.79
23,1985,60.12
23,1990,60.34
23,1995,61.32
23,2000,61.92
23,2005,61.97
23,2010,60.96
23,2015,61.68
25,1985,58.58
25,1990,58.62
25,1995,60.10
25,2000,60.67
25,2005,60.06
25,2010,59.42
25,2015,60.79
27,1985,71.26
27,1990,71.67
27,1995,73.26
27,2000,73.22
27,2005,72.56
27,2010,72.34
27,2015,74.27
