county,year,precip
1,1985,41.93
1,1990,65.51
1,1995,39.08
1,2000,42.30
1,2005,37.80
1,2010,34.37
1,2015,54.31
3,1985,46.48
3,1990,69.31
3,1995,47.21
3,2000,53.91
3,2005,36.58
3,2010,33.98
3,2015,58.48
5,1985,50.37
5,1990,55.86
5,1995,38.82
5,2000,40.73
5,2005,37.44
5,2010,42.55
5,2015,65.29
7,1985,58.75
7,1990,65.28
7,1995,46.21
7,2000,44.43
7,2005,33.91
7,2010,39.54
7,2015,65.90
9,1985,50.91
9,1990,60.88
9,1995,42.22
9,2000,40.84
9,2005,32.60
9,2010,44.24
9,2015,64.90
11,1985,50.50
11,1990,70.20
11,1995,43.33
11,2000,52.03
11,2005,38.49
11,2010,34.12
11,2015,61.40
13,1985,49.65
13,1990,70.62
13,1995,43.10
13,2000,51.93
13,2005,36.91
13,2010,33.63
13,2015,66.79
15,1985,56.80
15,1990,63.25
15,1995,44.97
15,2000,44.25
15,2005,32.45
15,2010,40.77
15,2015,65.71
17,1985,45.05
17,1990,63.36
17,1995,53.62
17,2000,52.64
17,2005,37.57
17,2010,31.94
17,2015,64.60
19,1985,50.70
19,1990,68.40
19,1995,42.66
19,2000,51.38
19,2005,35.53
19,2010,34.58
19,2015,72.59
21,1985,46.83
21,1990,57.42
21,1995,41.63
21,2000,41.40
21,2005,36.45
21,2010,33.39
21,2015,64.13
23,1985,47.54
23,1990,69.74
23,1995,40.19
23,2000,41.34
23,2005,35.31
23,2010,42.06
23,2015,74.99
25,1985,49.28
25,1990,69.57
25,1995,42.44
25,2000,47.68
25,2005,38.59
25,2010,33.40
25,2015,62.24
27,1985,51.13
27,1990,68.75
27,1995,41.74
27,2000,60.16
27,2005,32.64
27,2010,34.57
27,2015,66.32
29,1985,46.87
29,1990,64.37
29,1995,41.81
29,2000,43.32
29,2005,34.57
29,2010,39.50
29,2015,70.14
31,1985,46.62
31,1990,63.94
31,1995,39.89
31,2000,41.11
31,2005,38.00
31,2010,36.67
31,2015,66.70
33,1985,54.17
33,1990,66.56
33,1995,46.76
33,2000,49.23
33,2005,37.68
33,2010,44.89
33,2015,75.76
35,1985,43.65
35,1990,63.25
35,1995,45.27
35,2000,39.87
35,2005,40.87
35,2010,46.44
35,2015,59.14
37,1985,41.64
37,1990,65.88
37,1995,42.75
37,2000,40.90
37,2005,38.47
37,2010,41.96
37,2015,64.94
39,1985,48.47
39,1990,66.53
39,1995,41.68
39,2000,51.52
39,2005,36.96
39,2010,33.81
39,2015,70.88
41,1985,42.99
41,1990,64.40
41,1995,45.67
41,2000,46.42
41,2005,36.81
41,2010,35.39
41,2015,64.06
43,1985,48.16
43,1990,68.55
43,1995,46.33
43,2000,48.86
43,2005,37.53
43,2010,33.86
43,2015,63.49
45,1985,46.92
45,1990,66.67
45,1995,40.51
45,2000,43.83
45,2005,37.10
45,2010,40.17
45,2015,69.71
47,1985,49.33
47,1990,66.13
47,1995,47.43
47,2000,45.51
47,2005,40.13
47,2010,45.61
47,2015,72.89
49,1985,50.51
49,1990,58.98
49,1995,39.99
49,2000,39.39
49,2005,37.32
49,2010,39.84
49,2015,67.16
51,1985,51.82
51,1990,73.24
51,1995,46.93
51,2000,45.53
51,2005,37.43
51,2010,42.25
51,2015,72.89
53,1985,50.56
53,1990,72.24
53,1995,40.18
53,2000,42.90
53,2005,36.14
53,2010,36.05
53,2015,69.07
55,1985,45.75
55,1990,60.22
55,1995,40.28
55,2000,40.73
55,2005,38.70
55,2010,36.61
55,2015,64.46
57,1985,50.61
57,1990,66.17
57,1995,37.31
57,2000,55.12
57,2005,32.27
57,2010,34.93
57,2015,75.33
59,1985,49.35
59,1990,69.74
59,1995,43.03
59,2000,45.98
59,2005,36.84
59,2010,38.08
59,2015,70.68
61,1985,50.27
61,1990,77.27
61,1995,44.26
61,2000,55.91
61,2005,34.75
61,2010,38.63
61,2015,75.75
63,1985,44.65
63,1990,63.82
63,1995,42.29
63,2000,40.26
63,2005,32.85
63,2010,41.90
63,2015,71.34
65,1985,49.91
65,1990,58.78
65,1995,41.11
65,2000,41.39
65,2005,34.76
65,2010,43.12
65,2015,68.01
67,1985,42.28
67,1990,68.76
67,1995,41.00
67,2000,39.40
67,2005,32.88
67,2010,40.88
67,2015,69.41
69,1985,48.84
69,1990,70.45
69,1995,40.31
69,2000,41.80
69,2005,36.87
69,2010,33.46
69,2015,58.16
71,1985,49.73
71,1990,67.56
71,1995,46.98
71,2000,45.87
71,2005,40.18
71,2010,49.47
71,2015,74.82
73,1985,50.49
73,1990,64.21
73,1995,38.30
73,2000,60.83
73,2005,31.96
73,2010,34.88
73,2015,68.17
75,1985,46.24
75,1990,63.60
75,1995,42.21
75,2000,45.92
75,2005,33.98
75,2010,41.84
75,2015,64.13
77,1985,45.68
77,1990,66.74
77,1995,41.58
77,2000,37.18
77,2005,35.56
77,2010,37.08
77,2015,53.72
79,1985,46.36
79,1990,68.97
79,1995,43.53
79,2000,44.19
79,2005,38.51
79,2010,33.66
79,2015,59.84
81,1985,49.21
81,1990,72.09
81,1995,39.78
81,2000,56.76
81,2005,30.16
81,2010,34.82
81,2015,75.15
83,1985,46.49
83,1990,65.79
83,1995,41.38
83,2000,40.99
83,2005,37.02
83,2010,39.87
83,2015,71.24
85,1985,46.68
85,1990,67.68
85,1995,38.40
85,2000,41.13
85,2005,36.80
85,2010,39.75
85,2015,61.24
87,1985,59.41
87,1990,70.60
87,1995,47.53
87,2000,46.48
87,2005,33.90
87,2010,40.40
87,2015,65.58
89,1985,49.77
89,1990,55.96
89,1995,40.57
89,2000,40.36
89,2005,35.56
89,2010,42.07
89,2015,64.74
91,1985,48.46
91,1990,61.96
91,1995,36.02
91,2000,57.49
91,2005,29.56
91,2010,34.23
91,2015,68.17
93,1985,44.83
93,1990,66.46
93,1995,44.63
93,2000,42.59
93,2005,40.11
93,2010,39.02
93,2015,56.71
95,1985,44.22
95,1990,64.01
95,1995,40.00
95,2000,39.67
95,2005,34.36
95,2010,35.89
95,2015,55.34
97,1985,55.55
97,1990,78.86
97,1995,45.78
97,2000,49.34
97,2005,34.45
97,2010,45.48
97,2015,79.43
99,1985,54.46
99,1990,65.11
99,1995,38.47
99,2000,53.87
99,2005,32.64
99,2010,34.48
99,2015,75.43
101,1985,52.06
101,1990,67.33
101,1995,48.70
101,2000,45.66
101,2005,36.92
101,2010,42.40
101,2015,65.81
103,1985,50.18
103,1990,69.42
103,1995,42.04
103,2000,51.79
103,2005,34.64
103,2010,32.95
103,2015,70.82
105,1985,48.40
105,1990,64.89
105,1995,43.38
105,2000,42.23
105,2005,36.82
105,2010,40.90
105,2015,71.80
107,1985,41.71
107,1990,64.74
107,1995,40.83
107,2000,38.63
107,2005,35.66
107,2010,36.70
107,2015,52.90
109,1985,50.39
109,1990,78.45
109,1995,45.61
109,2000,53.16
109,2005,35.25
109,2010,38.36
109,2015,79.11
111,1985,45.45
111,1990,65.41
111,1995,41.47
111,2000,40.52
111,2005,36.97
111,2010,38.64
111,2015,67.39
113,1985,55.96
113,1990,77.44
113,1995,47.77
113,2000,54.88
113,2005,34.56
113,2010,45.33
113,2015,83.20
115,1985,46.97
115,1990,65.53
115,1995,43.40
115,2000,43.51
115,2005,37.13
115,2010,42.43
115,2015,71.43
117,1985,44.70
117,1990,64.71
117,1995,38.35
117,2000,39.32
117,2005,36.46
117,2010,37.22
117,2015,56.37
119,1985,49.64
119,1990,66.70
119,1995,38.79
119,2000,42.85
119,2005,36.91
119,2010,40.23
