county,year,temp
1,1985,61.57
1,1990,63.55
1,1995,62.14
1,2000,62.56
1,2005,63.54
1,2010,62.92
1,2015,63.41
3,1985,63.30
3,1990,64.98
3,1995,63.77
3,2000,63.73
3,2005,64.91
3,2010,63.82
3,2015,64.60
5,1985,56.32
5,1990,58.89
5,1995,57.39
5,2000,57.81
5,2005,59.27
5,2010,58.32
5,2015,58.08
7,1985,55.97
7,1990,58.81
7,1995,57.11
7,2000,57.59
7,2005,58.94
7,2010,57.89
7,2015,58.57
9,1985,56.01
9,1990,58.39
9,1995,56.72
9,2000,57.23
9,2005,58.49
9,2010,57.53
9,2015,57.47
11,1985,62.57
11,1990,64.43
11,1995,63.12
11,2000,63.18
11,2005,64.07
11,2010,63.18
11,2015,64.07
13,1985,62.24
13,1990,64.11
13,1995,62.91
13,2000,62.88
13,2005,63.75
13,2010,62.92
13,2015,63.56
15,1985,55.70
15,1990,58.41
15,1995,56.58
15,2000,57.24
15,2005,58.57
15,2010,57.48
15,2015,57.65
17,1985,63.41
17,1990,65.19
17,1995,63.99
17,2000,63.98
17,2005,64.72
17,2010,64.19
17,2015,64.80
19,1985,61.67
19,1990,62.89
19,1995,61.95
19,2000,62.23
19,2005,63.50
19,2010,62.53
19,2015,62.94
21,1985,57.93
21,1990,60.32
21,1995,58.75
21,2000,59.02
21,2005,60.40
21,2010,59.68
21,2015,59.37
23,1985,58.31
23,1990,60.61
23,1995,59.41
23,2000,59.87
23,2005,60.83
23,2010,59.87
23,2015,59.69
25,1985,62.03
25,1990,63.85
25,1995,62.68
25,2000,62.66
25,2005,63.67
25,2010,62.96
25,2015,63.17
27,1985,62.92
27,1990,64.52
27,1995,63.44
27,2000,63.69
27,2005,64.36
27,2010,63.52
27,2015,63.99
29,1985,59.67
29,1990,61.74
29,1995,60.07
29,2000,60.79
29,2005,61.98
29,2010,61.27
29,2015,61.26
31,1985,58.98
31,1990,61.27
31,1995,59.61
31,2000,60.03
31,2005,61.39
31,2010,60.71
31,2015,60.26
33,1985,58.49
33,1990,60.73
33,1995,59.05
33,2000,59.71
33,2005,60.89
33,2010,60.16
33,2015,60.29
35,1985,60.31
35,1990,62.78
35,1995,61.15
35,2000,62.07
35,2005,62.86
35,2010,62.20
35,2015,62.33
37,1985,60.01
37,1990,62.27
37,1995,60.43
37,2000,61.41
37,2005,62.38
37,2010,61.75
37,2015,61.63
39,1985,61.92
39,1990,63.34
39,1995,62.31
39,2000,62.43
39,2005,63.52
39,2010,62.67
39,2015,62.81
41,1985,62.36
41,1990,64.41
41,1995,62.97
41,2000,62.95
41,2005,63.73
41,2010,63.37
41,2015,63.88
43,1985,62.61
43,1990,64.42
43,1995,63.23
43,2000,63.15
43,2005,64.09
43,2010,63.44
43,2015,64.01
45,1985,59.98
45,1990,62.07
45,1995,60.62
45,2000,61.13
45,2005,62.21
45,2010,61.57
45,2015,61.37
47,1985,58.57
47,1990,60.61
47,1995,59.01
