county,year,precip
1,1985,13.38
1,1990,11.82
1,1995,27.68
1,2000,21.69
1,2005,24.52
1,2010,23.17
1,2015,10.39
3,1985,29.45
3,1990,22.75
3,1995,53.71
3,2000,33.36
3,2005,47.98
3,2010,49.49
3,2015,30.36
5,1985,26.28
5,1990,21.79
5,1995,52.36
5,2000,41.52
5,2005,49.07
5,2010,52.07
5,2015,26.66
7,1985,26.68
7,1990,27.79
7,1995,73.47
7,2000,46.34
7,2005,57.60
7,2010,57.90
7,2015,20.74
9,1985,25.86
9,1990,20.80
9,1995,50.66
9,2000,41.15
9,2005,47.82
9,2010,50.74
9,2015,25.26
11,1985,14.13
11,1990,12.44
11,1995,42.08
11,2000,23.85
11,2005,33.33
11,2010,35.61
11,2015,11.92
13,1985,12.99
13,1990,11.37
13,1995,28.42
13,2000,21.77
13,2005,25.25
13,2010,24.44
13,2015,9.28
15,1985,47.60
15,1990,61.39
15,1995,103.50
15,2000,69.38
15,2005,88.08
15,2010,99.52
15,2015,69.35
17,1985,32.12
17,1990,26.07
17,1995,66.64
17,2000,48.04
17,2005,61.99
17,2010,62.40
17,2015,32.49
19,1985,15.43
19,1990,12.60
19,1995,31.71
19,2000,20.72
19,2005,24.86
19,2010,29.56
19,2015,12.23
21,1985,16.86
21,1990,13.15
21,1995,48.91
21,2000,26.67
21,2005,37.94
21,2010,36.95
21,2015,12.36
23,1985,36.47
23,1990,46.01
23,1995,89.46
23,2000,54.00
23,2005,75.76
23,2010,81.38
23,2015,50.55
25,1985,3.81
25,1990,2.30
25,1995,3.01
25,2000,1.22
25,2005,5.37
25,2010,6.37
25,2015,2.21
27,1985,3.83
27,1990,3.27
27,1995,9.78
27,2000,4.27
27,2005,10.63
27,2010,9.78
27,2015,5.17
29,1985,5.94
29,1990,4.67
29,1995,15.07
29,2000,7.45
29,2005,13.44
29,2010,13.85
29,2015,5.56
31,1985,5.02
31,1990,4.55
31,1995,13.06
31,2000,7.61
31,2005,9.25
31,2010,13.38
31,2015,4.58
33,1985,26.73
33,1990,25.09
33,1995,80.54
33,2000,42.05
33,2005,62.91
33,2010,64.36
33,2015,25.36
35,1985,13.39
35,1990,13.76
35,1995,34.77
35,2000,18.92
35,2005,25.24
35,2010,23.08
35,2015,17.23
37,1985,8.27
37,1990,7.40
37,1995,25.62
37,2000,12.46
37,2005,26.82
37,2010,25.85
37,2015,7.11
39,1985,17.56
39,1990,14.61
39,1995,35.05
39,2000,25.89
39,2005,30.06
39,2010,32.82
39,2015,14.42
41,1985,23.62
41,1990,19.33
41,1995,55.70
41,2000,35.14
41,2005,47.80
41,2010,47.75
41,2015,15.93
43,1985,23.38
43,1990,19.35
43,1995,48.66
43,2000,36.47
43,2005,44.57
43,2010,44.14
43,2015,20.00
45,1985,31.23
45,1990,33.37
45,1995,84.10
45,2000,46.68
45,2005,70.82
45,2010,70.23
45,2015,35.42
47,1985,8.17
47,1990,7.04
47,1995,17.17
47,2000,13.94
47,2005,14.31
47,2010,16.75
47,2015,6.98
49,1985,12.51
49,1990,14.06
49,1995,27.57
49,2000,16.98
49,2005,22.92
49,2010,19.60
49,2015,16.85
51,1985,13.42
51,1990,10.84
51,1995,23.33
51,2000,12.08
51,2005,20.28
51,2010,22.54
51,2015,14.08
53,1985,13.00
53,1990,10.35
53,1995,32.56
53,2000,22.95
53,2005,24.62
53,2010,29.00
53,2015,11.24
55,1985,21.06
55,1990,16.65
55,1995,53.13
55,2000,31.24
55,2005,43.13
55,2010,42.59
55,2015,13.88
57,1985,35.98
57,1990,31.90
57,1995,76.45
57,2000,53.39
57,2005,66.76
57,2010,67.54
57,2015,32.08
59,1985,7.81
59,1990,7.86
59,1995,22.72
59,2000,10.28
59,2005,21.12
59,2010,24.57
59,2015,5.91
61,1985,33.30
61,1990,28.10
61,1995,69.65
61,2000,48.36
61,2005,63.20
61,2010,61.74
61,2015,31.00
63,1985,26.28
63,1990,24.97
63,1995,70.94
63,2000,40.31
63,2005,54.63
63,2010,53.24
63,2015,26.23
65,1985,6.45
65,1990,4.70
65,1995,11.02
65,2000,4.71
65,2005,13.54
65,2010,13.77
65,2015,5.43
67,1985,14.01
67,1990,13.71
67,1995,29.10
67,2000,23.98
67,2005,24.21
67,2010,24.62
67,2015,9.56
69,1985,11.23
69,1990,9.02
69,1995,25.81
69,2000,17.38
69,2005,21.03
69,2010,25.10
69,2015,10.12
71,1985,4.53
71,1990,4.39
71,1995,8.31
71,2000,4.28
71,2005,11.94
71,2010,12.07
71,2015,5.54
73,1985,11.77
73,1990,9.08
73,1995,21.24
73,2000,8.48
73,2005,17.07
73,2010,23.78
73,2015,9.08
75,1985,16.73
75,1990,14.53
75,1995,33.64
75,2000,28.45
75,2005,33.81
75,2010,33.64
75,2015,11.15
77,1985,10.74
77,1990,9.13
77,1995,21.12
77,2000,17.57
77,2005,17.88
77,2010,18.96
77,2015,7.69
79,1985,10.11
79,1990,7.71
79,1995,31.09
79,2000,17.95
79,2005,19.76
79,2010,27.45
79,2015,6.65
81,1985,20.13
81,1990,16.51
81,1995,41.36
81,2000,33.45
81,2005,37.50
81,2010,35.46
81,2015,14.07
83,1985,10.76
83,1990,7.83
83,1995,35.81
83,2000,20.59
83,2005,24.54
83,2010,30.25
83,2015,5.05
85,1985,17.11
85,1990,14.68
85,1995,35.60
85,2000,26.19
85,2005,28.98
85,2010,30.07
85,2015,13.73
87,1985,23.63
87,1990,17.57
87,1995,48.05
87,2000,39.53
87,2005,43.04
87,2010,42.26
87,2015,17.02
89,1985,24.91
89,1990,26.62
89,1995,68.64
89,2000,45.36
89,2005,53.95
89,2010,54.83
89,2015,27.65
91,1985,31.51
91,1990,28.33
91,1995,71.26
91,2000,44.51
91,2005,60.75
91,2010,60.73
91,2015,31.09
93,1985,22.03
93,1990,29.56
93,1995,61.25
93,2000,36.16
93,2005,48.59
93,2010,46.73
93,2015,32.34
95,1985,14.25
95,1990,11.46
95,1995,32.47
95,2000,22.55
95,2005,28.22
95,2010,26.65
95,2015,8.74
97,1985,26.34
97,1990,23.45
97,1995,68.84
97,2000,39.18
97,2005,55.60
97,2010,56.93
97,2015,21.43
99,1985,10.18
99,1990,8.58
99,1995,22.00
99,2000,17.07
99,2005,16.86
99,2010,19.43
99,2015,8.63
101,1985,12.81
101,1990,14.06
101,1995,29.44
101,2000,21.46
101,2005,24.06
101,2010,24.43
101,2015,8.87
103,1985,23.00
103,1990,22.08
103,1995,63.90
103,2000,36.77
103,2005,48.09
103,2010,46.50
103,2015,19.56
105,1985,31.88
105,1990,37.95
105,1995,92.11
105,2000,54.70
105,2005,75.80
105,2010,74.92
105,2015,43.21
107,1985,17.62
107,1990,11.98
107,1995,33.59
107,2000,22.36
107,2005,27.62
107,2010,35.07
107,2015,15.27
109,1985,32.16
109,1990,23.50
109,1995,61.97
109,2000,43.97
109,2005,58.10
109,2010,59.29
109,2015,30.01
111,1985,10.73
111,1990,7.72
111,1995,39.61
111,2000,18.95
111,2005,34.18
111,2010,29.62
111,2015,6.82
113,1985,14.97
113,1990,12.84
113,1995,34.36
113,2000,22.23
113,2005,28.08
113,2010,27.71
113,2015,9.19
115,1985,25.01
115,1990,25.69
115,1995,55.97
115,2000,41.99
115,2005,48.50
115,2010,49.74
115,2015,19.52
