county,year,temp
1,1985,58.08
1,1990,58.73
1,1995,59.90
1,2000,59.02
1,2005,59.38
1,2010,58.28
1,2015,61.05
3,1985,42.88
3,1990,43.42
3,1995,43.97
3,2000,44.43
3,2005,43.92
3,2010,42.90
3,2015,46.35
5,1985,56.44
5,1990,56.99
5,1995,57.50
5,2000,57.48
5,2005,57.97
5,2010,56.61
5,2015,60.35
7,1985,58.56
7,1990,59.06
7,1995,59.56
7,2000,59.22
7,2005,59.54
7,2010,58.58
7,2015,61.95
9,1985,56.99
9,1990,57.48
9,1995,58.06
9,2000,57.96
9,2005,58.24
9,2010,57.04
9,2015,60.65
11,1985,60.03
11,1990,60.69
11,1995,61.44
11,2000,60.85
11,2005,61.04
11,2010,60.28
11,2015,63.88
13,1985,58.82
13,1990,59.71
13,1995,60.59
13,2000,59.89
13,2005,60.12
13,2010,58.95
13,2015,61.99
15,1985,50.33
15,1990,51.09
15,1995,52.99
15,2000,52.30
15,2005,52.56
15,2010,51.92
15,2015,54.70
17,1985,52.84
17,1990,53.20
17,1995,53.72
17,2000,53.95
17,2005,53.85
17,2010,52.73
17,2015,56.33
19,1985,54.25
19,1990,55.13
19,1995,55.83
19,2000,55.71
19,2005,55.67
19,2010,54.61
19,2015,57.62
21,1985,58.89
21,1990,59.56
21,1995,60.09
21,2000,59.51
21,2005,59.88
21,2010,58.97
21,2015,62.57
23,1985,52.89
23,1990,53.11
23,1995,54.98
23,2000,54.19
23,2005,54.32
23,2010,53.77
23,2015,56.46
25,1985,72.49
25,1990,72.83
25,1995,74.43
25,2000,74.12
25,2005,73.99
25,2010,73.41
25,2015,75.86
27,1985,59.65
27,1990,60.57
27,1995,61.06
27,2000,61.56
27,2005,60.92
27,2010,60.12
27,2015,62.39
29,1985,60.34
29,1990,61.35
29,1995,62.20
29,2000,62.21
29,2005,61.87
29,2010,60.98
29,2015,63.77
31,1985,61.80
31,1990,62.93
31,1995,64.17
31,2000,63.86
31,2005,63.89
31,2010,62.97
31,2015,65.65
33,1985,56.25
33,1990,56.36
33,1995,57.32
33,2000,56.82
33,2005,56.76
33,2010,55.72
33,2015,59.93
35,1985,45.23
35,1990,46.02
35,1995,47.14
35,2000,47.23
35,2005,46.87
35,2010,46.60
35,2015,49.74
37,1985,60.59
37,1990,61.47
37,1995,61.86
37,2000,61.88
37,2005,61.44
37,2010,60.64
37,2015,64.06
39,1985,54.88
39,1990,55.66
39,1995,56.45
39,2000,56.52
39,2005,56.25
39,2010,55.20
39,2015,58.38
41,1985,54.75
41,1990,55.73
41,1995,56.80
41,2000,55.74
41,2005,55.99
41,2010,55.20
41,2015,58.32
43,1985,54.47
43,1990,54.78
43,1995,55.36
43,2000,55.41
43,2005,55.36
43,2010,54.15
43,2015,57.50
45,1985,54.29
45,1990,54.57
45,1995,55.83
45,2000,55.23
45,2005,55.26
45,2010,54.55
45,2015,57.97
47,1985,60.45
47,1990,61.76
47,1995,62.75
47,2000,62.40
47,2005,62.72
47,2010,61.53
47,2015,63.97
49,1985,44.64
49,1990,45.66
49,1995,47.02
49,2000,46.93
49,2005,46.90
49,2010,46.25
49,2015,49.81
51,1985,43.38
51,1990,43.72
51,1995,44.00
51,2000,44.96
51,2005,44.17
51,2010,43.23
51,2015,46.44
53,1985,57.35
53,1990,57.90
53,1995,59.41
53,2000,58.63
53,2005,59.02
53,2010,57.87
53,2015,60.80
55,1985,58.08
55,1990,58.92
55,1995,59.78
55,2000,59.27
55,2005,59.36
55,2010,58.35
55,2015,61.56
57,1985,51.57
57,1990,51.62
57,1995,52.27
57,2000,52.13
57,2005,52.22
57,2010,51.01
57,2015,54.81
59,1985,62.71
59,1990,64.03
59,1995,63.88
59,2000,64.12
59,2005,64.19
59,2010,63.14
59,2015,67.03
61,1985,52.56
61,1990,52.98
61,1995,53.62
61,2000,53.63
61,2005,53.61
61,2010,52.50
61,2015,56.03
63,1985,46.39
63,1990,46.61
63,1995,47.67
63,2000,47.66
63,2005,47.62
63,2010,46.90
63,2015,49.99
65,1985,66.89
65,1990,67.60
65,1995,68.77
65,2000,68.73
65,2005,68.22
65,2010,67.60
65,2015,69.98
67,1985,60.06
67,1990,61.56
67,1995,62.18
67,2000,61.74
67,2005,62.24
67,2010,61.15
67,2015,64.14
69,1985,57.62
69,1990,58.39
69,1995,59.51
69,2000,58.69
69,2005,59.22
69,2010,57.89
69,2015,61.06
71,1985,65.39
71,1990,65.95
71,1995,66.99
71,2000,67.23
71,2005,66.30
71,2010,65.73
71,2015,68.11
73,1985,61.75
73,1990,62.39
73,1995,63.19
73,2000,63.14
73,2005,62.85
73,2010,61.83
73,2015,64.93
75,1985,55.95
75,1990,56.53
75,1995,57.83
75,2000,56.87
75,2005,57.28
75,2010,56.33
75,2015,59.35
77,1985,59.86
77,1990,61.40
77,1995,62.50
77,2000,61.63
77,2005,62.12
77,2010,61.05
77,2015,63.86
79,1985,58.08
79,1990,58.53
79,1995,59.78
79,2000,59.38
79,2005,59.63
79,2010,58.57
79,2015,61.43
81,1985,55.67
81,1990,56.18
81,1995,57.59
81,2000,56.65
81,2005,57.10
81,2010,56.18
81,2015,59.16
83,1985,57.36
83,1990,57.98
83,1995,59.07
83,2000,58.51
83,2005,58.63
83,2010,57.53
83,2015,61.22
85,1985,56.96
85,1990,57.96
85,1995,59.04
85,2000,58.24
85,2005,58.73
85,2010,57.47
85,2015,60.36
87,1985,56.05
87,1990,56.71
87,1995,57.96
87,2000,57.00
87,2005,57.23
87,2010,56.38
87,2015,60.12
89,1985,54.33
89,1990,54.28
89,1995,55.13
89,2000,54.98
89,2005,55.11
89,2010,53.90
89,2015,57.98
91,1985,46.37
91,1990,46.20
91,1995,47.26
91,2000,47.36
91,2005,47.25
91,2010,46.29
91,2015,49.69
93,1985,47.69
93,1990,48.00
93,1995,49.34
93,2000,48.93
93,2005,49.01
93,2010,48.15
93,2015,51.94
95,1985,59.32
95,1990,60.68
95,1995,61.59
95,2000,60.79
95,2005,61.02
95,2010,60.01
95,2015,62.80
97,1985,55.82
97,1990,56.69
97,1995,57.87
97,2000,56.99
97,2005,57.01
97,2010,56.13
97,2015,59.39
99,1985,59.82
99,1990,60.90
99,1995,61.99
99,2000,61.28
99,2005,61.88
99,2010,60.44
99,2015,63.08
101,1985,61.22
101,1990,62.19
101,1995,62.97
101,2000,62.37
101,2005,62.85
101,2010,62.05
101,2015,64.95
103,1985,57.77
103,1990,57.87
103,1995,58.43
103,2000,58.01
103,2005,58.37
103,2010,57.17
103,2015,61.27
105,1985,51.68
105,1990,51.70
105,1995,52.99
105,2000,52.35
105,2005,52.41
105,2010,51.79
105,2015,55.56
107,1985,53.09
107,1990,54.00
107,1995,54.95
107,2000,54.78
107,2005,54.64
107,2010,53.56
107,2015,56.24
109,1985,49.40
109,1990,49.46
109,1995,50.11
109,2000,50.43
109,2005,50.03
109,2010,48.88
109,2015,52.46
111,1985,56.59
111,1990,57.56
111,1995,58.32
111,2000,57.99
