county,year,precip
1,1985,17.00
1,1990,16.18
1,1995,18.82
1,2000,15.12
1,2005,15.54
1,2010,13.94
1,2015,22.95
3,1985,12.22
3,1990,15.21
3,1995,11.04
3,2000,9.01
3,2005,10.61
3,2010,8.73
3,2015,12.96
5,1985,18.07
5,1990,15.76
5,1995,20.49
5,2000,15.90
5,2005,16.30
5,2010,14.26
5,2015,23.87
7,1985,29.05
7,1990,28.94
7,1995,24.29
7,2000,20.23
7,2005,25.19
7,2010,24.63
7,2015,26.90
9,1985,14.56
9,1990,18.77
9,1995,14.97
9,2000,15.73
9,2005,13.60
9,2010,15.63
9,2015,21.01
11,1985,14.62
11,1990,19.19
11,1995,18.23
11,2000,11.07
11,2005,12.25
11,2010,13.67
11,2015,18.72
13,1985,19.72
13,1990,21.06
13,1995,27.46
13,2000,18.19
13,2005,20.18
13,2010,20.65
13,2015,24.73
14,1985,14.67
14,1990,16.31
14,1995,18.23
14,2000,12.62
14,2005,14.75
14,2010,14.02
14,2015,22.23
15,1985,18.70
15,1990,20.27
15,1995,23.27
15,2000,17.69
15,2005,16.71
15,2010,18.48
15,2015,20.47
17,1985,15.77
17,1990,16.83
17,1995,20.99
17,2000,11.95
17,2005,17.12
17,2010,15.27
17,2015,20.03
19,1985,27.37
19,1990,26.42
19,1995,33.94
19,2000,25.55
19,2005,26.18
19,2010,26.72
19,2015,31.12
21,1985,23.52
21,1990,23.40
21,1995,18.75
21,2000,16.30
21,2005,18.00
21,2010,16.33
21,2015,20.13
23,1985,18.57
23,1990,22.92
23,1995,19.62
23,2000,15.72
23,2005,17.71
23,2010,16.39
23,2015,18.50
25,1985,12.60
25,1990,16.30
25,1995,14.55
25,2000,10.64
25,2005,9.54
25,2010,11.86
25,2015,13.33
27,1985,22.56
27,1990,29.12
27,1995,22.28
27,2000,17.69
27,2005,18.18
27,2010,15.55
27,2015,24.97
29,1985,23.85
29,1990,16.80
29,1995,22.78
29,2000,16.20
29,2005,20.70
29,2010,20.30
29,2015,21.82
31,1985,15.84
31,1990,16.54
31,1995,18.54
31,2000,13.76
31,2005,14.44
31,2010,12.62
31,2015,22.20
33,1985,28.35
33,1990,23.66
33,1995,23.63
33,2000,20.80
33,2005,24.06
33,2010,25.27
33,2015,27.22
35,1985,19.44
35,1990,20.50
35,1995,23.06
35,2000,16.98
35,2005,17.99
35,2010,15.30
35,2015,27.45
37,1985,27.67
37,1990,21.70
37,1995,32.28
37,2000,24.23
37,2005,27.14
37,2010,25.52
37,2015,22.51
39,1985,18.34
39,1990,19.35
39,1995,21.41
39,2000,17.07
39,2005,16.24
39,2010,14.29
39,2015,25.55
41,1985,17.93
41,1990,19.45
41,1995,20.53
41,2000,15.62
41,2005,14.06
41,2010,12.40
41,2015,24.05
43,1985,16.06
43,1990,18.32
43,1995,16.61
43,2000,12.88
43,2005,11.79
43,2010,11.26
43,2015,19.08
45,1985,32.05
45,1990,19.25
45,1995,28.40
45,2000,20.64
45,2005,28.59
45,2010,22.84
45,2015,24.84
47,1985,23.03
47,1990,23.90
47,1995,31.15
47,2000,21.75
47,2005,22.88
47,2010,22.41
47,2015,27.38
49,1985,25.63
49,1990,21.00
49,1995,29.73
49,2000,23.31
49,2005,24.31
49,2010,25.06
49,2015,21.58
51,1985,27.81
51,1990,23.70
51,1995,30.87
51,2000,22.27
51,2005,26.03
51,2010,24.44
51,2015,23.33
53,1985,37.51
53,1990,38.33
53,1995,30.90
53,2000,31.03
53,2005,29.51
53,2010,29.77
53,2015,31.61
55,1985,17.59
55,1990,22.66
55,1995,18.56
55,2000,15.39
55,2005,18.82
55,2010,15.02
55,2015,21.99
57,1985,28.14
57,1990,22.51
57,1995,31.89
57,2000,24.54
57,2005,26.00
57,2010,26.56
57,2015,23.22
59,1985,18.34
59,1990,20.31
59,1995,23.35
59,2000,16.73
59,2005,17.84
59,2010,16.49
59,2015,25.62
61,1985,14.24
61,1990,15.96
61,1995,18.83
61,2000,11.03
61,2005,15.57
61,2010,14.18
61,2015,19.09
63,1985,16.51
63,1990,17.88
63,1995,22.44
63,2000,16.01
63,2005,17.25
63,2010,17.33
63,2015,23.46
65,1985,26.45
65,1990,22.73
65,1995,32.96
65,2000,26.17
65,2005,24.51
65,2010,25.99
65,2015,25.04
67,1985,25.63
67,1990,28.48
67,1995,22.24
67,2000,22.19
67,2005,25.32
67,2010,24.61
67,2015,26.51
69,1985,20.65
69,1990,21.24
69,1995,26.36
69,2000,18.09
69,2005,19.70
69,2010,21.88
69,2015,24.18
71,1985,15.61
71,1990,19.55
71,1995,16.83
71,2000,14.19
71,2005,16.13
71,2010,16.84
71,2015,20.22
73,1985,15.19
73,1990,17.38
73,1995,18.53
73,2000,14.07
73,2005,13.26
73,2010,12.37
73,2015,19.98
75,1985,16.18
75,1990,17.89
75,1995,19.29
75,2000,13.89
75,2005,17.13
75,2010,15.61
75,2015,20.35
77,1985,22.50
77,1990,15.95
77,1995,20.20
77,2000,15.21
77,2005,20.97
77,2010,18.81
77,2015,22.01
79,1985,40.90
79,1990,37.38
79,1995,29.65
79,2000,28.44
79,2005,30.06
79,2010,29.81
79,2015,31.02
81,1985,18.02
81,1990,14.05
81,1995,18.68
81,2000,14.05
81,2005,17.37
81,2010,16.93
81,2015,16.46
83,1985,20.58
83,1990,17.87
83,1995,18.05
83,2000,15.65
83,2005,18.80
83,2010,19.38
83,2015,21.44
85,1985,19.04
85,1990,16.12
85,1995,18.34
85,2000,13.65
85,2005,15.80
85,2010,17.90
85,2015,18.63
87,1985,15.23
87,1990,18.95
87,1995,18.13
87,2000,14.02
87,2005,14.66
87,2010,15.69
87,2015,22.45
89,1985,14.74
89,1990,18.39
89,1995,15.62
89,2000,12.05
89,2005,11.79
89,2010,13.71
89,2015,15.76
91,1985,26.60
91,1990,24.68
91,1995,26.10
91,2000,20.57
91,2005,22.31
91,2010,23.66
91,2015,24.20
93,1985,19.00
93,1990,19.79
93,1995,22.22
93,2000,16.48
93,2005,16.47
93,2010,17.05
93,2015,22.51
95,1985,15.97
95,1990,16.30
95,1995,18.48
95,2000,14.43
95,2005,17.37
95,2010,16.74
95,2015,19.65
97,1985,36.44
97,1990,27.28
97,1995,40.59
97,2000,29.00
97,2005,34.32
97,2010,30.81
97,2015,28.69
99,1985,14.84
99,1990,17.14
99,1995,16.37
99,2000,14.07
99,2005,15.49
99,2010,12.68
99,2015,23.14
101,1985,15.29
101,1990,18.19
101,1995,15.98
101,2000,13.17
101,2005,12.84
101,2010,11.65
101,2015,17.85
103,1985,24.63
103,1990,15.94
103,1995,24.03
103,2000,17.60
103,2005,22.91
103,2010,20.05
103,2015,20.59
105,1985,20.22
105,1990,19.63
105,1995,15.93
105,2000,13.61
105,2005,13.96
105,2010,13.43
105,2015,16.52
107,1985,30.04
107,1990,23.46
107,1995,32.68
107,2000,25.54
107,2005,29.73
107,2010,29.24
107,2015,23.88
109,1985,18.49
109,1990,22.32
109,1995,17.53
109,2000,16.12
109,2005,15.24
109,2010,13.94
109,2015,18.37
111,1985,50.64
111,1990,46.43
111,1995,42.38
111,2000,40.74
