county,year,temp
1,1985,47.70
1,1990,49.82
1,1995,49.31
1,2000,50.63
1,2005,50.74
1,2010,50.08
1,2015,50.64
3,1985,41.64
3,1990,42.30
3,1995,43.48
3,2000,44.48
3,2005,44.27
3,2010,43.69
3,2015,44.98
5,1985,47.22
5,1990,49.36
5,1995,48.98
5,2000,50.24
5,2005,50.24
5,2010,49.60
5,2015,50.18
7,1985,42.64
7,1990,42.79
7,1995,43.89
7,2000,44.81
7,2005,44.28
7,2010,43.72
7,2015,45.17
9,1985,52.69
9,1990,53.28
9,1995,53.57
9,2000,54.77
9,2005,54.85
9,2010,54.59
9,2015,55.07
11,1985,51.88
11,1990,53.35
11,1995,53.56
11,2000,54.99
11,2005,54.85
11,2010,54.70
11,2015,55.64
13,1985,43.18
13,1990,44.74
13,1995,44.65
13,2000,45.98
13,2005,45.66
13,2010,44.97
13,2015,46.31
14,1985,48.76
14,1990,50.67
14,1995,50.55
14,2000,51.67
14,2005,51.65
14,2010,50.97
14,2015,51.86
15,1985,37.11
15,1990,38.04
15,1995,37.93
15,2000,39.43
15,2005,39.05
15,2010,38.47
15,2015,39.83
17,1985,49.27
17,1990,51.27
17,1995,50.73
17,2000,52.64
17,2005,52.83
17,2010,52.38
17,2015,53.09
19,1985,36.07
19,1990,37.05
19,1995,36.98
19,2000,38.47
19,2005,38.11
19,2010,37.50
19,2015,39.16
21,1985,39.37
21,1990,39.72
21,1995,40.58
21,2000,41.71
21,2005,41.27
21,2010,40.71
21,2015,42.37
23,1985,40.87
23,1990,41.52
23,1995,42.23
23,2000,43.46
23,2005,42.84
23,2010,42.68
23,2015,43.95
25,1985,49.69
25,1990,51.60
25,1995,51.48
25,2000,53.01
25,2005,53.21
25,2010,52.92
25,2015,53.76
27,1985,40.04
27,1990,41.09
27,1995,41.44
27,2000,42.72
27,2005,42.65
27,2010,42.14
27,2015,42.97
29,1985,45.81
29,1990,46.92
29,1995,47.11
29,2000,48.40
29,2005,47.94
29,2010,47.06
29,2015,48.40
31,1985,48.74
31,1990,50.74
31,1995,50.43
31,2000,51.73
31,2005,51.67
31,2010,51.18
31,2015,51.86
33,1985,42.16
33,1990,42.94
33,1995,43.65
33,2000,44.73
33,2005,44.24
33,2010,43.12
33,2015,44.80
35,1985,45.24
35,1990,46.94
35,1995,47.06
35,2000,48.21
35,2005,47.83
35,2010,47.52
35,2015,48.36
37,1985,38.08
37,1990,39.50
37,1995,39.32
37,2000,40.79
37,2005,39.98
37,2010,39.71
37,2015,41.32
39,1985,45.57
39,1990,47.60
39,1995,47.35
39,2000,48.68
39,2005,48.88
39,2010,48.07
39,2015,48.97
41,1985,45.73
