county,year,precip
1,1985,41.18
1,1990,56.23
1,1995,40.90
1,2000,48.34
1,2005,53.95
1,2010,48.71
1,2015,39.20
3,1985,42.31
3,1990,55.46
3,1995,43.10
3,2000,48.00
3,2005,57.02
3,2010,47.15
3,2015,38.00
5,1985,44.21
5,1990,57.48
5,1995,44.64
5,2000,50.73
5,2005,55.07
5,2010,49.25
5,2015,40.07
7,1985,40.98
7,1990,55.77
7,1995,40.86
7,2000,47.50
7,2005,53.97
7,2010,46.68
7,2015,32.53
9,1985,40.67
9,1990,56.51
9,1995,41.17
9,2000,49.69
9,2005,52.51
9,2010,47.49
9,2015,34.41
11,1985,42.48
11,1990,52.38
11,1995,40.91
11,2000,48.21
11,2005,54.13
11,2010,49.95
11,2015,33.55
13,1985,43.55
13,1990,54.88
13,1995,43.00
13,2000,47.99
13,2005,55.45
13,2010,47.06
13,2015,38.21
15,1985,43.23
15,1990,56.00
15,1995,42.17
15,2000,47.94
15,2005,54.47
15,2010,51.05
15,2015,37.91
