county,year,temp
1,1985,50.10
1,1990,52.00
1,1995,50.22
1,2000,49.63
1,2005,50.94
1,2010,52.47
1,2015,51.43
3,1985,48.89
3,1990,51.63
3,1995,49.34
3,2000,48.73
3,2005,49.88
3,2010,51.98
3,2015,49.90
5,1985,46.63
5,1990,49.06
5,1995,46.81
5,2000,46.27
5,2005,47.57
5,2010,49.33
5,2015,47.88
7,1985,49.65
7,1990,52.03
7,1995,49.95
7,2000,49.57
7,2005,50.16
7,2010,52.34
7,2015,50.75
9,1985,49.78
9,1990,52.01
9,1995,49.93
9,2000,49.45
9,2005,49.99
9,2010,52.00
9,2015,50.93
11,1985,49.32
11,1990,51.82
11,1995,50.02
11,2000,49.48
11,2005,50.21
11,2010,51.98
11,2015,50.66
13,1985,47.70
13,1990,50.37
13,1995,48.38
13,2000,48.00
13,2005,48.91
13,2010,50.86
13,2015,48.87
15,1985,47.94
15,1990,50.43
15,1995,48.59
15,2000,48.21
15,2005,49.03
15,2010,50.72
15,2015,48.97
