county,year,precip
1,1985,56.69
1,1990,43.89
1,1995,54.03
1,2000,40.34
1,2005,54.20
1,2010,45.00
1,2015,52.27
3,1985,51.53
3,1990,33.22
3,1995,50.51
3,2000,38.62
3,2005,58.90
3,2010,41.20
3,2015,43.93
5,1985,67.22
5,1990,39.93
5,1995,56.65
5,2000,39.89
5,2005,58.16
5,2010,46.66
5,2015,57.66
7,1985,56.28
7,1990,38.00
7,1995,53.91
7,2000,37.20
7,2005,54.20
7,2010,42.90
7,2015,48.82
9,1985,49.99
9,1990,43.71
9,1995,56.99
9,2000,36.55
9,2005,60.62
9,2010,39.19
9,2015,48.55
11,1985,55.23
11,1990,51.51
11,1995,74.24
11,2000,52.31
11,2005,58.46
11,2010,55.14
11,2015,52.54
13,1985,60.47
13,1990,42.13
13,1995,52.50
13,2000,40.29
13,2005,62.58
13,2010,46.90
13,2015,56.03
15,1985,42.45
15,1990,37.75
15,1995,70.53
15,2000,39.07
15,2005,59.04
15,2010,52.32
15,2015,54.69
17,1985,52.09
17,1990,40.13
17,1995,55.48
17,2000,37.42
17,2005,54.18
17,2010,47.76
17,2015,48.54
19,1985,54.99
19,1990,32.59
19,1995,55.87
19,2000,39.18
19,2005,55.76
19,2010,39.31
19,2015,46.29
21,1985,44.47
21,1990,44.05
21,1995,71.06
21,2000,43.99
21,2005,57.73
21,2010,49.94
21,2015,53.74
23,1985,55.64
23,1990,36.70
23,1995,50.21
23,2000,41.04
23,2005,57.94
23,2010,45.45
23,2015,48.89
27,1985,43.12
27,1990,38.07
27,1995,60.49
27,2000,37.89
27,2005,59.91
27,2010,54.08
27,2015,57.72
29,1985,64.50
29,1990,46.17
29,1995,47.24
29,2000,46.06
29,2005,61.17
29,2010,53.50
29,2015,60.18
31,1985,53.86
31,1990,29.35
31,1995,60.43
31,2000,39.50
31,2005,55.47
31,2010,32.25
31,2015,45.41
33,1985,70.90
33,1990,58.71
33,1995,85.91
33,2000,42.58
33,2005,71.47
33,2010,55.89
33,2015,66.45
35,1985,49.43
35,1990,36.75
35,1995,50.57
35,2000,42.22
35,2005,64.55
35,2010,38.36
35,2015,45.03
37,1985,65.77
37,1990,40.23
37,1995,52.47
37,2000,46.36
37,2005,58.09
37,2010,50.67
37,2015,53.11
39,1985,54.56
39,1990,40.30
39,1995,56.39
39,2000,43.64
39,2005,68.19
39,2010,44.81
39,2015,48.40
41,1985,61.48
41,1990,44.75
41,1995,51.57
41,2000,44.77
41,2005,57.06
41,2010,50.26
41,2015,56.16
43,1985,43.36
43,1990,44.31
43,1995,62.29
43,2000,32.75
43,2005,55.82
43,2010,50.23
43,2015,51.47
45,1985,67.92
45,1990,41.36
45,1995,52.29
45,2000,42.95
45,2005,59.21
45,2010,50.56
45,2015,55.72
47,1985,54.65
47,1990,36.50
47,1995,43.73
47,2000,41.63
47,2005,57.81
47,2010,47.10
47,2015,51.60
49,1985,43.50
49,1990,41.92
49,1995,58.60
49,2000,34.52
49,2005,58.92
49,2010,53.86
49,2015,58.37
51,1985,45.26
51,1990,42.55
51,1995,66.89
51,2000,37.97
51,2005,59.74
51,2010,51.48
51,2015,54.15
53,1985,50.71
53,1990,42.75
53,1995,55.24
53,2000,37.93
53,2005,53.93
53,2010,44.85
53,2015,51.81
55,1985,42.98
55,1990,44.12
55,1995,56.16
55,2000,28.96
55,2005,57.44
55,2010,50.97
55,2015,57.12
57,1985,47.87
57,1990,40.29
57,1995,56.80
57,2000,37.18
57,2005,52.64
57,2010,47.69
57,2015,57.41
59,1985,58.13
59,1990,45.61
59,1995,59.08
59,2000,43.43
59,2005,60.22
59,2010,46.35
59,2015,68.44
61,1985,47.91
61,1990,45.26
61,1995,56.14
