county,year,temp
1,1985,69.56
1,1990,70.97
1,1995,69.03
1,2000,68.65
1,2005,69.29
1,2010,67.72
1,2015,71.38
3,1985,68.23
3,1990,69.75
3,1995,67.89
3,2000,67.40
3,2005,68.08
3,2010,66.55
3,2015,70.84
5,1985,67.90
5,1990,69.38
5,1995,67.58
5,2000,67.81
5,2005,67.81
5,2010,66.53
5,2015,70.25
7,1985,69.13
7,1990,70.60
7,1995,68.65
7,2000,68.15
7,2005,68.87
7,2010,67.33
7,2015,71.12
9,1985,72.36
9,1990,74.38
9,1995,72.68
9,2000,72.27
9,2005,72.57
9,2010,70.50
9,2015,74.82
11,1985,74.66
11,1990,76.47
11,1995,75.28
11,2000,75.28
11,2005,75.33
11,2010,73.57
11,2015,77.64
13,1985,67.32
13,1990,68.95
13,1995,66.99
13,2000,67.45
13,2005,67.25
13,2010,65.85
13,2015,69.66
15,1985,73.65
15,1990,75.15
15,1995,73.72
15,2000,73.27
15,2005,73.55
15,2010,71.71
15,2015,76.03
17,1985,70.92
17,1990,72.19
17,1995,70.48
17,2000,69.90
17,2005,70.32
17,2010,68.62
17,2015,73.23
19,1985,69.26
19,1990,70.92
19,1995,68.95
19,2000,68.48
19,2005,69.14
19,2010,67.71
19,2015,71.71
21,1985,74.56
21,1990,76.21
21,1995,75.00
21,2000,74.75
21,2005,75.15
21,2010,73.39
21,2015,76.88
23,1985,68.31
23,1990,69.74
23,1995,67.95
23,2000,67.67
23,2005,68.02
23,2010,66.53
23,2015,70.40
27,1985,72.65
27,1990,74.51
27,1995,72.77
27,2000,72.36
27,2005,72.69
27,2010,70.52
27,2015,75.30
29,1985,68.52
29,1990,70.38
29,1995,68.22
29,2000,68.08
29,2005,68.48
29,2010,67.08
29,2015,71.82
31,1985,68.88
31,1990,70.68
31,1995,68.74
31,2000,68.16
31,2005,68.90
31,2010,67.32
31,2015,71.39
33,1985,67.17
33,1990,68.33
33,1995,66.87
33,2000,67.62
33,2005,67.53
33,2010,66.09
33,2015,68.83
35,1985,70.33
35,1990,72.13
35,1995,70.17
35,2000,69.94
35,2005,70.22
35,2010,68.75
35,2015,72.84
37,1985,68.24
37,1990,69.73
37,1995,67.87
37,2000,68.11
37,2005,67.92
37,2010,66.55
37,2015,71.42
39,1985,67.18
39,1990,69.11
39,1995,66.80
39,2000,67.07
39,2005,67.09
39,2010,65.61
39,2015,69.89
41,1985,68.67
41,1990,70.31
41,1995,68.35
41,2000,68.15
41,2005,68.53
41,2010,67.03
41,2015,71.55
43,1985,73.15
43,1990,75.07
43,1995,73.58
43,2000,73.28
43,2005,73.32
43,2010,71.65
43,2015,76.05
45,1985,67.95
45,1990,69.28
45,1995,67.51
45,2000,67.82
45,2005,67.64
45,2010,66.28
45,2015,70.83
47,1985,67.69
47,1990,69.24
47,1995,67.19
47,2000,66.99
47,2005,67.33
47,2010,66.14
47,2015,69.47
49,1985,72.38
49,1990,74.20
