county,year,precip
1,1985,45.88
1,1990,40.77
1,1995,47.11
1,2000,41.06
1,2005,49.54
1,2010,40.98
1,2015,42.85
3,1985,45.78
3,1990,40.53
3,1995,45.22
3,2000,47.40
3,2005,50.99
3,2010,42.87
3,2015,44.56
5,1985,44.65
5,1990,42.89
5,1995,45.16
5,2000,44.80
5,2005,50.01
5,2010,39.56
5,2015,43.82
7,1985,53.35
7,1990,37.71
7,1995,47.59
7,2000,40.15
7,2005,55.47
7,2010,43.69
7,2015,48.66
9,1985,42.33
9,1990,37.51
9,1995,43.97
9,2000,33.64
9,2005,50.46
9,2010,41.09
9,2015,51.72
11,1985,48.24
11,1990,54.52
11,1995,56.96
11,2000,41.04
11,2005,59.09
11,2010,50.49
11,2015,67.11
13,1985,41.27
13,1990,54.42
13,1995,54.84
13,2000,39.78
13,2005,55.81
13,2010,49.89
13,2015,65.47
15,1985,42.11
15,1990,58.66
15,1995,50.12
15,2000,44.06
15,2005,48.31
15,2010,43.81
15,2015,56.99
17,1985,44.45
17,1990,43.03
17,1995,40.70
17,2000,47.15
17,2005,48.30
17,2010,38.84
17,2015,50.01
19,1985,46.18
19,1990,38.12
19,1995,42.62
19,2000,45.09
19,2005,52.28
19,2010,42.59
19,2015,46.31
21,1985,39.90
21,1990,38.19
21,1995,42.97
21,2000,37.92
21,2005,51.59
21,2010,45.36
21,2015,53.13
23,1985,44.44
23,1990,39.78
23,1995,45.24
23,2000,38.70
23,2005,50.14
23,2010,42.63
23,2015,52.19
25,1985,47.08
25,1990,38.65
25,1995,48.03
25,2000,40.15
25,2005,64.20
25,2010,40.88
25,2015,51.66
27,1985,49.34
27,1990,36.76
27,1995,43.47
27,2000,45.08
27,2005,55.71
27,2010,43.75
27,2015,50.06
29,1985,44.56
29,1990,38.12
29,1995,53.48
29,2000,38.00
29,2005,48.87
29,2010,39.60
29,2015,44.16
31,1985,50.98
31,1990,40.63
31,1995,51.96
31,2000,38.73
31,2005,51.25
31,2010,41.63
31,2015,41.21
33,1985,46.96
33,1990,39.58
33,1995,53.47
33,2000,37.98
33,2005,50.69
33,2010,34.14
33,2015,51.25
35,1985,43.95
35,1990,44.20
35,1995,49.08
35,2000,37.90
35,2005,59.04
35,2010,47.82
35,2015,63.56
