county,year,temp
1,1985,66.38
1,1990,68.41
1,1995,66.06
1,2000,65.67
1,2005,66.28
1,2010,65.18
1,2015,67.97
3,1985,66.74
3,1990,68.43
3,1995,66.08
3,2000,65.92
3,2005,66.33
3,2010,65.13
3,2015,68.08
5,1985,66.60
5,1990,68.53
5,1995,66.18
5,2000,65.90
5,2005,66.45
5,2010,65.23
5,2015,68.13
7,1985,66.69
7,1990,68.78
7,1995,66.28
7,2000,66.14
7,2005,66.17
7,2010,65.26
7,2015,67.61
9,1985,63.50
9,1990,65.38
9,1995,63.34
9,2000,63.11
9,2005,63.37
9,2010,62.85
9,2015,65.15
11,1985,60.42
11,1990,62.03
11,1995,60.19
11,2000,60.22
11,2005,60.91
11,2010,60.27
11,2015,61.77
13,1985,60.74
13,1990,62.44
13,1995,60.63
13,2000,60.48
13,2005,60.97
13,2010,60.45
13,2015,62.20
15,1985,59.93
15,1990,62.13
15,1995,60.02
15,2000,60.29
15,2005,60.95
15,2010,60.34
15,2015,61.38
17,1985,65.82
17,1990,67.76
17,1995,65.42
17,2000,65.22
17,2005,65.63
17,2010,64.71
17,2015,67.38
19,1985,66.46
19,1990,68.17
19,1995,65.84
19,2000,65.58
19,2005,66.05
19,2010,64.72
19,2015,67.53
21,1985,63.52
21,1990,65.55
21,1995,63.52
21,2000,63.23
21,2005,63.56
21,2010,62.89
21,2015,65.16
23,1985,64.85
23,1990,66.60
23,1995,64.51
23,2000,64.43
23,2005,64.47
23,2010,63.91
23,2015,66.44
25,1985,66.99
25,1990,68.72
25,1995,66.55
25,2000,66.18
25,2005,66.59
25,2010,65.51
25,2015,69.51
27,1985,67.08
27,1990,68.54
27,1995,66.30
27,2000,65.85
27,2005,66.34
27,2010,65.15
27,2015,68.37
29,1985,66.50
29,1990,68.38
29,1995,66.18
29,2000,65.80
29,2005,66.54
29,2010,65.53
29,2015,68.12
31,1985,65.79
31,1990,67.56
31,1995,65.19
31,2000,64.83
31,2005,65.72
31,2010,64.76
