county,year,precip
1,1985,11.24
1,1990,11.10
1,1995,16.31
1,2000,12.71
1,2005,13.86
1,2010,15.40
1,2015,11.59
3,1985,25.71
3,1990,28.40
3,1995,41.43
3,2000,26.34
3,2005,32.09
3,2010,34.42
3,2015,28.05
5,1985,18.51
5,1990,17.25
5,1995,23.60
5,2000,16.70
5,2005,22.58
5,2010,20.97
5,2015,19.57
7,1985,20.42
7,1990,18.96
7,1995,27.00
7,2000,18.69
7,2005,26.98
7,2010,24.78
7,2015,21.96
9,1985,25.80
9,1990,38.24
9,1995,38.74
9,2000,29.46
9,2005,27.28
9,2010,32.44
9,2015,27.12
11,1985,13.05
11,1990,10.28
11,1995,18.18
11,2000,10.87
11,2005,16.49
11,2010,16.10
11,2015,14.66
13,1985,16.03
13,1990,15.88
13,1995,26.85
13,2000,17.14
13,2005,22.18
13,2010,20.73
13,2015,17.76
15,1985,24.30
15,1990,27.50
15,1995,41.96
15,2000,28.20
15,2005,31.09
15,2010,35.02
15,2015,28.07
17,1985,26.30
17,1990,43.13
17,1995,42.78
17,2000,29.98
17,2005,30.72
17,2010,41.66
17,2015,33.50
19,1985,18.71
19,1990,15.87
19,1995,26.89
19,2000,18.27
19,2005,23.85
19,2010,23.70
19,2015,23.28
21,1985,29.10
21,1990,47.86
21,1995,45.25
21,2000,30.11
21,2005,36.63
21,2010,40.34
21,2015,39.87
23,1985,13.57
23,1990,11.59
23,1995,19.14
23,2000,11.79
23,2005,15.62
23,2010,15.83
23,2015,13.42
25,1985,19.98
25,1990,19.85
25,1995,32.14
25,2000,22.62
25,2005,27.07
25,2010,25.04
25,2015,23.76
27,1985,8.97
27,1990,7.75
27,1995,13.07
27,2000,9.96
27,2005,11.44
27,2010,11.80
27,2015,9.58
29,1985,23.20
29,1990,20.52
29,1995,26.43
29,2000,19.69
29,2005,25.49
29,2010,25.00
29,2015,24.25
31,1985,13.47
31,1990,12.88
31,1995,21.39
31,2000,13.55
31,2005,22.74
31,2010,18.27
31,2015,17.37
33,1985,16.12
33,1990,15.19
33,1995,24.80
33,2000,15.34
33,2005,20.34
33,2010,18.74
33,2015,16.53
35,1985,38.63
35,1990,55.09
35,1995,55.03
35,2000,40.50
35,2005,37.54
35,2010,45.88
35,2015,38.85
37,1985,18.76
37,1990,20.93
37,1995,32.28
37,2000,18.74
37,2005,23.32
37,2010,25.99
37,2015,22.54
39,1985,16.58
39,1990,16.59
39,1995,26.31
39,2000,18.38
39,2005,22.75
39,2010,23.14
39,2015,18.74
41,1985,21.62
41,1990,20.30
41,1995,28.18
41,2000,20.76
41,2005,30.12
41,2010,26.18
41,2015,22.72
43,1985,20.11
43,1990,18.23
43,1995,27.62
43,2000,19.35
43,2005,25.64
43,2010,24.18
43,2015,20.53
45,1985,16.13
45,1990,17.54
45,1995,24.95
45,2000,19.65
45,2005,22.21
45,2010,24.93
45,2015,19.32
47,1985,9.93
47,1990,8.80
47,1995,16.64
47,2000,10.51
47,2005,13.97
47,2010,12.64
47,2015,11.74
49,1985,31.28
49,1990,38.32
49,1995,48.27
49,2000,32.58
49,2005,32.58
49,2010,37.61
49,2015,31.78
51,1985,9.84
51,1990,7.53
51,1995,14.66
51,2000,8.20
51,2005,12.36
51,2010,10.87
51,2015,10.03
53,1985,8.21
53,1990,7.71
53,1995,16.31
53,2000,8.41
53,2005,14.23
53,2010,12.16
53,2015,11.24
55,1985,25.06
55,1990,39.76
55,1995,38.63
55,2000,29.84
55,2005,28.51
55,2010,36.20
55,2015,29.06
57,1985,23.61
57,1990,36.70
57,1995,39.07
57,2000,28.08
57,2005,25.32
57,2010,32.09
57,2015,29.15
59,1985,17.70
59,1990,20.27
59,1995,28.61
59,2000,18.28
59,2005,20.85
59,2010,24.28
59,2015,21.10
61,1985,21.31
61,1990,27.80
61,1995,32.41
61,2000,24.38
61,2005,20.20
61,2010,28.14
61,2015,23.70
63,1985,9.64
63,1990,8.02
63,1995,16.45
63,2000,8.76
63,2005,13.90
63,2010,12.43
63,2015,11.71
65,1985,14.15
65,1990,12.18
65,1995,20.84
65,2000,13.48
65,2005,19.23
65,2010,17.89
65,2015,15.61
67,1985,8.15
67,1990,7.49
67,1995,14.19
67,2000,8.33
67,2005,13.92
67,2010,12.33
67,2015,10.53
69,1985,17.83
69,1990,22.76
69,1995,29.20
69,2000,20.46
69,2005,18.14
69,2010,24.62
69,2015,20.43
71,1985,16.44
71,1990,16.78
71,1995,21.41
71,2000,16.23
71,2005,25.73
71,2010,21.08
71,2015,22.73
73,1985,10.83
73,1990,10.97
73,1995,16.24
73,2000,11.52
73,2005,16.48
73,2010,14.95
73,2015,12.85
75,1985,10.88
75,1990,10.26
75,1995,16.10
75,2000,12.76
75,2005,17.05
75,2010,16.87
75,2015,13.17
77,1985,13.84
77,1990,13.15
77,1995,20.72
77,2000,13.34
77,2005,19.89
77,2010,17.47
77,2015,16.58
79,1985,39.59
79,1990,61.12
79,1995,55.61
79,2000,39.92
79,2005,40.86
79,2010,47.39
79,2015,39.37
81,1985,20.14
81,1990,18.39
81,1995,27.01
81,2000,22.30
81,2005,26.82
81,2010,30.12
81,2015,24.65
83,1985,10.69
83,1990,11.80
83,1995,18.32
83,2000,10.78
83,2005,16.79
83,2010,14.34
83,2015,13.58
85,1985,27.82
85,1990,30.84
85,1995,50.65
85,2000,30.09
85,2005,35.05
85,2010,37.43
85,2015,31.21
87,1985,17.40
87,1990,18.88
87,1995,27.02
87,2000,19.39
87,2005,24.47
87,2010,26.22
87,2015,19.06
