county,year,temp
1,1985,46.91
1,1990,51.67
1,1995,51.93
1,2000,51.97
1,2005,51.52
1,2010,51.59
1,2015,54.25
3,1985,39.28
3,1990,43.78
3,1995,44.07
3,2000,43.90
3,2005,43.64
3,2010,43.19
3,2015,46.68
5,1985,40.43
5,1990,44.89
5,1995,45.15
5,2000,45.77
5,2005,44.65
5,2010,44.25
5,2015,47.67
7,1985,36.62
7,1990,40.52
7,1995,40.94
7,2000,41.29
7,2005,40.47
7,2010,40.55
7,2015,43.22
9,1985,41.95
9,1990,45.77
9,1995,45.67
9,2000,44.72
9,2005,45.79
9,2010,46.01
9,2015,49.03
11,1985,39.60
11,1990,44.55
11,1995,44.66
11,2000,45.04
11,2005,43.85
11,2010,43.74
11,2015,47.18
13,1985,38.22
13,1990,41.85
13,1995,42.20
13,2000,42.90
13,2005,42.17
13,2010,41.51
13,2015,44.96
15,1985,40.01
15,1990,43.23
15,1995,43.68
15,2000,43.90
15,2005,43.64
15,2010,43.27
15,2015,46.27
17,1985,40.35
17,1990,43.41
17,1995,43.48
17,2000,42.61
17,2005,43.46
17,2010,43.68
17,2015,46.79
19,1985,38.03
19,1990,41.98
19,1995,42.18
19,2000,42.54
19,2005,41.77
19,2010,41.65
19,2015,44.37
21,1985,37.98
21,1990,41.04
21,1995,41.15
21,2000,40.13
21,2005,40.82
21,2010,41.33
21,2015,44.39
23,1985,36.98
23,1990,41.17
23,1995,41.55
23,2000,42.40
23,2005,41.11
23,2010,40.94
23,2015,44.60
25,1985,37.51
25,1990,40.85
25,1995,41.20
25,2000,41.87
25,2005,41.27
25,2010,40.62
25,2015,44.04
27,1985,47.04
27,1990,52.27
27,1995,52.33
27,2000,52.48
27,2005,51.57
27,2010,51.90
27,2015,54.48
29,1985,38.47
29,1990,41.91
29,1995,42.22
29,2000,42.61
29,2005,41.93
29,2010,41.57
29,2015,44.19
31,1985,41.65
31,1990,46.07
31,1995,46.58
31,2000,47.11
31,2005,46.22
31,2010,45.68
31,2015,48.35
33,1985,35.70
33,1990,39.83
33,1995,39.49
33,2000,40.62
33,2005,40.12
33,2010,39.97
33,2015,42.61
35,1985,41.01
35,1990,43.72
35,1995,43.66
35,2000,43.72
35,2005,44.22
35,2010,43.89
35,2015,46.94
37,1985,35.09
37,1990,37.86
37,1995,38.12
37,2000,38.80
37,2005,38.52
37,2010,37.65
37,2015,40.97
39,1985,42.47
39,1990,46.67
39,1995,46.98
39,2000,47.25
39,2005,46.86
39,2010,46.51
39,2015,50.11
41,1985,39.62
41,1990,43.94
41,1995,44.58
41,2000,45.26
41,2005,44.16
41,2010,44.02
41,2015,47.16
43,1985,35.33
43,1990,39.23
43,1995,39.23
43,2000,39.93
43,2005,39.74
43,2010,39.69
43,2015,42.28
45,1985,44.43
45,1990,49.38
45,1995,49.53
45,2000,49.55
45,2005,48.80
45,2010,48.84
45,2015,51.91
47,1985,43.49
47,1990,48.32
47,1995,48.80
47,2000,48.97
47,2005,48.22
47,2010,48.12
47,2015,50.97
49,1985,38.91
49,1990,41.88
49,1995,41.72
49,2000,41.93
49,2005,42.08
49,2010,41.98
49,2015,44.77
51,1985,38.22
51,1990,43.41
51,1995,43.17
51,2000,43.95
51,2005,42.93
51,2010,42.98
51,2015,46.26
53,1985,43.37
53,1990,48.41
53,1995,49.02
53,2000,49.42
53,2005,48.42
53,2010,48.36
53,2015,51.23
55,1985,42.28
55,1990,45.60
55,1995,45.60
55,2000,44.77
55,2005,45.73
55,2010,45.84
55,2015,48.91
57,1985,42.58
57,1990,46.65
57,1995,46.55
57,2000,45.47
57,2005,46.63
57,2010,46.57
57,2015,49.50
59,1985,35.96
59,1990,39.21
59,1995,39.03
59,2000,39.77
59,2005,39.62
59,2010,38.99
59,2015,42.07
61,1985,42.67
61,1990,46.10
61,1995,45.82
61,2000,45.10
61,2005,45.93
61,2010,45.86
61,2015,48.35
63,1985,41.27
63,1990,46.16
63,1995,46.66
63,2000,47.09
63,2005,46.15
63,2010,46.00
63,2015,48.88
65,1985,37.93
65,1990,42.47
65,1995,42.54
65,2000,42.97
65,2005,42.40
65,2010,41.98
65,2015,45.20
67,1985,41.16
67,1990,46.34
67,1995,46.88
67,2000,47.43
67,2005,46.15
67,2010,46.08
67,2015,49.25
69,1985,45.52
69,1990,49.32
69,1995,49.03
69,2000,48.12
69,2005,49.08
69,2010,48.92
69,2015,51.68
71,1985,41.45
71,1990,45.82
71,1995,46.03
71,2000,46.95
71,2005,45.85
71,2010,45.47
71,2015,48.25
73,1985,43.64
73,1990,47.28
73,1995,48.06
73,2000,48.28
73,2005,47.57
73,2010,47.24
73,2015,50.32
75,1985,46.18
75,1990,51.73
75,1995,51.54
75,2000,51.73
75,2005,50.78
75,2010,51.14
75,2015,54.09
77,1985,40.63
77,1990,45.72
77,1995,45.87
77,2000,46.39
77,2005,45.18
77,2010,45.00
77,2015,48.02
79,1985,39.38
79,1990,42.72
79,1995,42.67
79,2000,42.21
79,2005,43.05
79,2010,42.89
79,2015,46.13
81,1985,35.62
81,1990,39.30
81,1995,39.57
81,2000,39.98
81,2005,39.74
81,2010,39.48
81,2015,42.43
83,1985,42.72
83,1990,47.32
83,1995,48.02
83,2000,48.63
83,2005,47.68
83,2010,47.48
83,2015,50.25
85,1985,35.88
85,1990,39.18
85,1995,39.56
85,2000,39.64
85,2005,39.38
85,2010,39.12
85,2015,42.38
87,1985,43.17
87,1990,48.42
87,1995,48.26
87,2000,48.39
87,2005,47.59
87,2010,47.33
87,2015,50.95
