county,year,precip
1,1985,50.23
1,1990,45.28
1,1995,42.12
1,2000,34.00
1,2005,29.94
1,2010,49.56
1,2015,48.76
3,1985,54.01
3,1990,56.24
3,1995,43.80
3,2000,45.98
3,2005,42.83
3,2010,38.14
3,2015,56.75
5,1985,45.00
5,1990,52.25
5,1995,40.95
5,2000,46.55
5,2005,36.60
5,2010,44.41
5,2015,57.13
7,1985,39.76
7,1990,42.56
7,1995,32.74
7,2000,41.59
7,2005,25.47
7,2010,36.15
7,2015,41.14
9,1985,49.07
9,1990,46.25
9,1995,39.45
9,2000,31.99
9,2005,28.38
9,2010,50.55
9,2015,48.51
11,1985,41.42
11,1990,50.65
11,1995,37.53
11,2000,35.81
11,2005,22.09
11,2010,40.59
11,2015,43.67
13,1985,47.16
13,1990,45.65
13,1995,39.50
13,2000,40.28
13,2005,33.67
13,2010,43.20
13,2015,55.44
15,1985,40.43
15,1990,44.89
15,1995,36.22
15,2000,39.59
15,2005,24.49
15,2010,44.47
15,2015,47.50
17,1985,46.64
17,1990,49.96
17,1995,37.18
17,2000,34.29
17,2005,26.59
17,2010,49.08
17,2015,44.84
19,1985,45.55
19,1990,51.36
19,1995,36.11
19,2000,33.55
19,2005,36.33
19,2010,36.64
19,2015,47.27
21,1985,46.24
21,1990,47.01
21,1995,37.13
21,2000,38.86
21,2005,33.27
21,2010,44.58
21,2015,44.97
23,1985,49.01
23,1990,53.05
23,1995,38.07
23,2000,50.25
23,2005,38.97
23,2010,38.29
23,2015,44.55
25,1985,52.54
25,1990,51.96
25,1995,41.77
25,2000,49.51
25,2005,37.29
25,2010,38.75
25,2015,55.23
27,1985,45.41
27,1990,52.83
27,1995,44.12
27,2000,48.67
27,2005,38.89
27,2010,38.91
27,2015,52.12
29,1985,48.11
29,1990,49.66
29,1995,36.48
29,2000,47.82
29,2005,34.14
29,2010,38.79
29,2015,44.69
31,1985,39.31
31,1990,46.01
31,1995,34.93
31,2000,37.77
31,2005,25.21
31,2010,38.71
31,2015,41.23
33,1985,52.22
33,1990,53.70
33,1995,40.20
33,2000,51.11
33,2005,38.47
33,2010,38.78
33,2015,48.38
35,1985,48.92
35,1990,53.70
35,1995,40.48
35,2000,49.81
35,2005,35.80
35,2010,39.55
35,2015,47.20
37,1985,39.25
37,1990,43.31
37,1995,36.50
37,2000,38.65
37,2005,22.71
37,2010,36.44
37,2015,43.23
39,1985,44.00
39,1990,53.49
39,1995,37.30
39,2000,34.10
39,2005,32.50
39,2010,40.08
39,2015,46.38
41,1985,46.69
41,1990,48.31
41,1995,35.14
41,2000,38.67
41,2005,36.28
41,2010,38.35
41,2015,43.62
43,1985,38.06
43,1990,45.20
43,1995,37.11
43,2000,37.80
43,2005,24.51
43,2010,39.50
43,2015,42.74
45,1985,48.38
45,1990,51.84
45,1995,34.73
45,2000,42.06
45,2005,38.51
45,2010,35.79
45,2015,44.28
47,1985,54.98
47,1990,52.00
47,1995,41.97
47,2000,48.58
47,2005,38.51
47,2010,36.31
47,2015,54.26
49,1985,47.39
49,1990,54.12
49,1995,40.37
49,2000,49.55
49,2005,34.82
49,2010,40.80
49,2015,52.74
51,1985,46.73
51,1990,51.45
51,1995,40.91
51,2000,48.61
51,2005,37.21
51,2010,42.23
51,2015,56.63
53,1985,41.94
53,1990,48.59
53,1995,39.27
53,2000,32.12
53,2005,34.68
53,2010,35.75
53,2015,46.75
55,1985,51.26
55,1990,54.95
55,1995,41.94
55,2000,47.44
55,2005,38.86
55,2010,35.74
55,2015,56.69
57,1985,45.26
57,1990,50.08
57,1995,38.35
57,2000,33.64
57,2005,25.04
57,2010,49.47
57,2015,48.46
59,1985,57.58
59,1990,58.40
59,1995,43.94
59,2000,46.63
59,2005,40.62
59,2010,37.14
59,2015,58.97
61,1985,47.70
61,1990,46.54
61,1995,37.05
61,2000,38.76
61,2005,31.16
61,2010,44.92
61,2015,57.00
63,1985,37.30
63,1990,48.33
63,1995,34.86
63,2000,38.68
63,2005,27.37
63,2010,35.11
63,2015,44.30
65,1985,51.84
65,1990,55.23
65,1995,43.78
65,2000,45.41
65,2005,39.21
65,2010,36.14
65,2015,52.98
67,1985,46.31
67,1990,44.71
67,1995,43.79
67,2000,33.55
67,2005,29.55
67,2010,53.69
67,2015,45.91
69,1985,60.71
69,1990,59.40
69,1995,44.82
69,2000,44.41
69,2005,39.74
69,2010,35.13
69,2015,62.09
71,1985,39.52
71,1990,46.24
71,1995,38.55
71,2000,34.56
71,2005,26.83
71,2010,51.02
71,2015,44.76
73,1985,37.83
73,1990,49.53
73,1995,37.37
73,2000,36.43
73,2005,20.94
73,2010,44.80
73,2015,43.27
75,1985,40.28
75,1990,48.52
75,1995,37.05
75,2000,34.67
75,2005,33.89
75,2010,34.99
75,2015,49.42
77,1985,55.79
77,1990,58.50
77,1995,41.61
77,2000,45.78
77,2005,38.99
77,2010,34.85
77,2015,59.13
79,1985,52.38
79,1990,53.13
79,1995,40.03
79,2000,49.25
79,2005,36.34
79,2010,40.78
79,2015,50.89
81,1985,52.41
81,1990,55.03
81,1995,43.24
81,2000,45.44
81,2005,38.01
81,2010,35.66
81,2015,55.40
83,1985,47.53
83,1990,47.23
83,1995,40.75
83,2000,39.20
83,2005,34.23
83,2010,42.53
83,2015,53.72
85,1985,37.56
85,1990,39.71
85,1995,33.50
85,2000,36.31
85,2005,28.25
85,2010,47.67
85,2015,42.84
87,1985,56.45
87,1990,59.50
87,1995,45.15
87,2000,46.63
87,2005,41.72
87,2010,37.23
87,2015,58.85
89,1985,38.33
89,1990,43.29
89,1995,37.91
89,2000,38.41
89,2005,23.28
89,2010,37.29
89,2015,45.23
91,1985,40.42
91,1990,49.59
91,1995,37.92
91,2000,37.13
91,2005,30.92
91,2010,36.79
91,2015,47.53
93,1985,37.13
93,1990,47.98
93,1995,36.12
93,2000,39.31
93,2005,24.69
93,2010,37.26
93,2015,44.12
95,1985,42.05
95,1990,47.42
95,1995,38.18
95,2000,35.23
95,2005,24.50
95,2010,46.98
95,2015,42.76
97,1985,39.55
97,1990,42.07
97,1995,35.34
97,2000,41.71
97,2005,23.97
97,2010,33.53
97,2015,39.67
99,1985,39.34
99,1990,48.07
99,1995,35.90
99,2000,37.09
99,2005,23.62
99,2010,35.72
99,2015,44.23
101,1985,53.74
101,1990,55.78
101,1995,45.57
101,2000,49.41
101,2005,42.34
101,2010,39.52
101,2015,52.86
103,1985,41.24
103,1990,45.72
103,1995,38.20
103,2000,39.00
103,2005,23.88
103,2010,36.89
103,2015,45.30
105,1985,41.94
105,1990,48.00
105,1995,39.19
105,2000,33.17
105,2005,27.00
105,2010,34.04
105,2015,46.54
107,1985,41.57
107,1990,50.60
107,1995,37.97
107,2000,34.99
107,2005,29.95
107,2010,42.24
107,2015,45.88
109,1985,47.90
109,1990,48.46
109,1995,41.39
109,2000,34.41
109,2005,28.18
109,2010,52.65
109,2015,51.51
111,1985,38.92
111,1990,42.38
111,1995,33.52
111,2000,41.34
111,2005,25.23
111,2010,35.59
111,2015,41.60
113,1985,45.19
113,1990,51.83
113,1995,39.93
113,2000,33.61
113,2005,29.72
113,2010,35.86
113,2015,49.35
115,1985,45.53
115,1990,51.81
115,1995,35.21
115,2000,33.79
115,2005,34.58
115,2010,41.05
115,2015,42.11
117,1985,47.21
117,1990,48.97
117,1995,38.32
117,2000,40.26
117,2005,33.77
117,2010,43.74
117,2015,52.95
119,1985,46.62
119,1990,49.47
119,1995,42.11
119,2000,45.22
119,2005,38.94
119,2010,41.76
119,2015,54.78
121,1985,49.69
121,1990,53.22
121,1995,44.89
121,2000,48.26
121,2005,38.23
121,2010,37.66
121,2015,55.39
123,1985,41.94
123,1990,49.00
123,1995,39.34
123,2000,33.97
123,2005,23.17
123,2010,37.24
123,2015,47.63
125,1985,43.13
125,1990,51.63
125,1995,39.27
125,2000,33.51
125,2005,24.53
125,2010,47.91
125,2015,47.30
127,1985,56.41
127,1990,60.49
127,1995,44.36
127,2000,48.06
127,2005,41.49
127,2010,36.61
127,2015,57.71
129,1985,42.00
129,1990,51.31
129,1995,37.57
129,2000,33.65
129,2005,26.69
129,2010,44.26
129,2015,45.46
131,1985,35.08
131,1990,46.45
131,1995,36.57
131,2000,36.76
131,2005,23.99
131,2010,46.76
131,2015,42.18
133,1985,50.03
133,1990,51.94
133,1995,44.71
133,2000,42.33
133,2005,39.74
133,2010,37.90
133,2015,54.82
135,1985,45.52
135,1990,50.29
135,1995,38.14
135,2000,42.22
135,2005,35.32
135,2010,46.55
135,2015,51.39
137,1985,48.58
137,1990,51.11
137,1995,36.58
137,2000,35.93
137,2005,28.51
137,2010,48.16
