county,year,temp
1,1985,50.62
1,1990,54.34
1,1995,51.51
1,2000,52.81
1,2005,54.35
1,2010,52.96
1,2015,53.69
3,1985,56.12
3,1990,58.31
3,1995,56.90
3,2000,57.27
3,2005,58.67
3,2010,58.04
3,2015,57.82
5,1985,52.88
5,1990,55.68
5,1995,53.62
5,2000,54.11
5,2005,55.82
5,2010,54.93
5,2015,55.31
7,1985,46.23
7,1990,49.12
7,1995,47.38
7,2000,48.18
7,2005,49.46
7,2010,49.17
7,2015,48.18
9,1985,50.61
9,1990,54.19
9,1995,51.48
9,2000,52.68
9,2005,54.23
9,2010,52.86
9,2015,53.45
11,1985,47.83
11,1990,50.98
11,1995,48.93
11,2000,49.86
11,2005,51.37
11,2010,50.59
11,2015,49.62
13,1985,52.49
13,1990,55.72
13,1995,53.43
13,2000,54.31
13,2005,55.77
13,2010,54.70
13,2015,55.04
15,1985,45.96
15,1990,49.53
15,1995,47.77
15,2000,48.83
15,2005,50.03
15,2010,49.53
15,2015,48.95
17,1985,50.98
17,1990,54.29
17,1995,51.82
17,2000,52.79
17,2005,54.31
17,2010,52.97
17,2015,53.24
19,1985,50.23
19,1990,53.04
19,1995,51.37
19,2000,51.26
19,2005,52.89
19,2010,52.12
19,2015,52.27
21,1985,51.45
21,1990,54.35
21,1995,52.35
21,2000,52.72
21,2005,54.42
21,2010,53.43
21,2015,53.48
23,1985,52.10
23,1990,54.68
23,1995,52.96
23,2000,52.93
23,2005,54.27
23,2010,53.95
23,2015,53.73
25,1985,53.14
25,1990,55.95
25,1995,54.09
25,2000,53.99
25,2005,55.79
25,2010,55.12
25,2015,54.93
27,1985,53.57
27,1990,56.34
27,1995,54.36
27,2000,54.72
27,2005,56.47
27,2010,55.46
27,2015,56.06
29,1985,51.66
29,1990,54.22
29,1995,52.51
29,2000,52.34
29,2005,54.08
29,2010,53.46
29,2015,53.23
31,1985,48.27
31,1990,51.23
31,1995,49.43
31,2000,49.95
31,2005,51.12
31,2010,51.12
31,2015,50.23
33,1985,52.78
33,1990,55.56
33,1995,53.73
33,2000,53.78
33,2005,55.37
33,2010,54.87
33,2015,54.53
35,1985,52.23
35,1990,54.81
35,1995,53.03
35,2000,52.91
35,2005,54.61
35,2010,54.08
35,2015,53.69
37,1985,46.98
37,1990,50.02
37,1995,47.96
37,2000,48.63
37,2005,50.19
37,2010,49.62
37,2015,48.92
39,1985,50.13
39,1990,52.89
39,1995,50.78
39,2000,51.58
39,2005,52.79
39,2010,51.93
39,2015,52.46
41,1985,51.01
41,1990,53.84
41,1995,52.06
41,2000,51.97
41,2005,53.75
41,2010,53.06
41,2015,53.00
43,1985,47.75
43,1990,50.81
43,1995,49.02
43,2000,49.65
43,2005,50.93
43,2010,50.73
43,2015,49.67
45,1985,51.34
45,1990,53.95
45,1995,52.06
45,2000,52.08
45,2005,53.35
45,2010,53.13
45,2015,52.87
47,1985,54.11
47,1990,56.84
47,1995,55.07
47,2000,55.05
47,2005,56.64
47,2010,56.17
47,2015,56.15
49,1985,52.39
49,1990,55.30
49,1995,53.23
49,2000,53.35
49,2005,55.35
49,2010,54.61
49,2015,54.06
51,1985,52.46
51,1990,55.42
51,1995,53.37
51,2000,53.59
51,2005,55.56
51,2010,54.63
51,2015,54.53
53,1985,49.48
53,1990,52.31
53,1995,50.51
53,2000,50.60
53,2005,52.15
53,2010,51.25
53,2015,51.43
55,1985,54.11
55,1990,56.57
55,1995,55.24
55,2000,55.23
55,2005,56.84
55,2010,56.17
55,2015,56.50
57,1985,49.87
57,1990,52.81
57,1995,50.81
57,2000,51.62
57,2005,53.43
57,2010,52.03
57,2015,52.57
59,1985,54.98
59,1990,57.57
59,1995,56.03
59,2000,56.28
59,2005,57.77
59,2010,57.07
59,2015,57.01
61,1985,52.20
61,1990,55.23
61,1995,52.98
61,2000,53.81
61,2005,55.27
61,2010,54.11
61,2015,54.43
63,1985,48.87
63,1990,51.84
63,1995,49.76
63,2000,50.32
63,2005,51.82
63,2010,51.21
63,2015,50.69
65,1985,54.02
65,1990,56.69
65,1995,55.27
65,2000,55.14
65,2005,56.78
65,2010,56.30
65,2015,56.51
67,1985,49.99
67,1990,53.52
67,1995,50.96
67,2000,52.23
67,2005,53.82
67,2010,52.54
67,2015,52.82
69,1985,55.14
69,1990,57.66
69,1995,56.22
69,2000,56.52
69,2005,57.97
69,2010,57.13
69,2015,57.12
71,1985,49.18
71,1990,52.43
71,1995,50.08
71,2000,51.20
71,2005,52.57
71,2010,51.62
71,2015,51.67
73,1985,47.85
73,1990,51.04
73,1995,49.01
73,2000,50.02
73,2005,51.63
73,2010,50.65
73,2015,50.39
75,1985,49.50
75,1990,52.34
75,1995,50.53
75,2000,50.56
75,2005,52.17
75,2010,51.35
75,2015,51.05
77,1985,54.43
77,1990,57.04
77,1995,55.45
77,2000,55.78
77,2005,57.34
77,2010,56.64
77,2015,56.52
79,1985,52.70
79,1990,55.37
79,1995,53.50
79,2000,53.45
79,2005,55.00
79,2010,54.63
79,2015,54.28
81,1985,53.42
81,1990,56.27
81,1995,54.67
81,2000,54.59
81,2005,56.43
81,2010,55.47
81,2015,55.83
83,1985,52.88
83,1990,55.98
83,1995,53.62
83,2000,54.47
83,2005,55.82
83,2010,54.88
83,2015,55.22
85,1985,45.68
85,1990,48.86
85,1995,47.18
85,2000,48.23
85,2005,49.25
85,2010,48.97
85,2015,48.42
87,1985,54.95
87,1990,57.40
87,1995,56.08
87,2000,56.51
87,2005,57.94
87,2010,57.06
87,2015,57.22
89,1985,47.20
89,1990,50.03
89,1995,48.19
89,2000,49.06
89,2005,50.40
89,2010,49.98
89,2015,49.02
91,1985,49.45
91,1990,52.03
91,1995,50.01
91,2000,50.53
91,2005,52.02
91,2010,51.24
91,2015,50.68
93,1985,48.22
93,1990,51.27
93,1995,49.29
93,2000,49.88
93,2005,51.41
93,2010,50.92
93,2015,49.92
95,1985,48.60
95,1990,51.56
95,1995,49.42
95,2000,50.33
95,2005,52.07
95,2010,50.98
95,2015,50.90
97,1985,46.62
97,1990,49.73
97,1995,47.83
97,2000,48.85
97,2005,49.82
97,2010,49.90
97,2015,48.60
99,1985,48.48
99,1990,51.53
99,1995,49.36
99,2000,50.04
99,2005,51.57
99,2010,50.78
99,2015,50.32
101,1985,53.54
101,1990,56.33
101,1995,54.38
101,2000,54.52
101,2005,56.13
101,2010,55.62
101,2015,55.22
103,1985,46.88
103,1990,50.03
103,1995,48.05
103,2000,48.89
103,2005,50.42
103,2010,49.77
103,2015,49.38
105,1985,49.14
105,1990,52.09
105,1995,50.08
105,2000,50.60
105,2005,52.07
105,2010,51.20
105,2015,51.34
107,1985,50.62
107,1990,53.47
107,1995,51.27
107,2000,52.26
107,2005,53.42
107,2010,52.38
107,2015,53.03
109,1985,49.49
109,1990,52.94
109,1995,50.44
109,2000,51.56
109,2005,53.18
109,2010,51.87
109,2015,52.23
111,1985,46.34
111,1990,49.03
111,1995,47.25
111,2000,48.24
111,2005,49.26
111,2010,49.05
111,2015,48.31
113,1985,49.51
113,1990,52.33
113,1995,50.29
113,2000,51.01
113,2005,52.24
113,2010,51.48
113,2015,52.07
115,1985,50.88
115,1990,53.49
115,1995,51.54
115,2000,52.12
115,2005,53.54
115,2010,52.67
115,2015,52.92
117,1985,52.20
117,1990,55.03
117,1995,52.87
117,2000,53.70
117,2005,55.10
117,2010,54.07
117,2015,54.37
119,1985,53.62
119,1990,56.41
119,1995,54.33
119,2000,55.02
119,2005,56.50
119,2010,55.66
119,2015,56.30
121,1985,53.00
121,1990,55.92
121,1995,54.05
121,2000,53.96
121,2005,55.97
121,2010,54.92
121,2015,55.07
123,1985,48.95
123,1990,51.83
123,1995,49.93
123,2000,50.92
123,2005,52.07
123,2010,51.32
123,2015,51.04
125,1985,50.71
125,1990,53.61
125,1995,51.57
125,2000,52.37
125,2005,54.00
125,2010,52.73
125,2015,53.33
127,1985,55.99
127,1990,58.31
127,1995,56.82
127,2000,57.23
127,2005,58.70
127,2010,57.91
127,2015,58.22
129,1985,50.92
129,1990,53.89
129,1995,51.70
129,2000,52.54
129,2005,53.93
129,2010,52.86
129,2015,53.32
131,1985,48.43
131,1990,51.53
131,1995,49.27
131,2000,50.40
131,2005,51.87
131,2010,50.87
131,2015,50.91
133,1985,54.39
133,1990,57.42
133,1995,55.19
133,2000,55.83
133,2005,57.46
133,2010,56.62
