county,year,precip
1,1985,36.59
1,1990,49.67
1,1995,33.52
1,2000,38.06
1,2005,38.65
1,2010,38.56
1,2015,50.69
3,1985,39.07
3,1990,49.79
3,1995,31.63
3,2000,38.50
3,2005,33.93
3,2010,33.70
3,2015,44.30
5,1985,47.22
5,1990,49.64
5,1995,44.69
5,2000,49.45
5,2005,47.08
5,2010,37.50
5,2015,52.19
7,1985,43.49
7,1990,50.62
7,1995,34.38
7,2000,35.31
7,2005,34.72
7,2010,37.53
7,2015,48.10
9,1985,42.91
9,1990,53.46
9,1995,31.99
9,2000,38.22
9,2005,40.69
9,2010,39.42
9,2015,47.05
11,1985,46.49
11,1990,52.98
11,1995,31.03
11,2000,37.01
11,2005,44.01
11,2010,36.92
11,2015,46.10
13,1985,49.43
13,1990,50.23
13,1995,43.33
13,2000,50.47
13,2005,49.65
13,2010,38.83
13,2015,50.20
15,1985,39.74
15,1990,51.55
15,1995,31.41
15,2000,34.51
15,2005,37.15
15,2010,40.16
15,2015,44.62
17,1985,41.46
17,1990,52.06
17,1995,33.52
17,2000,36.40
17,2005,37.00
17,2010,39.58
17,2015,44.06
19,1985,41.69
19,1990,56.52
19,1995,44.47
19,2000,49.07
19,2005,43.80
19,2010,39.58
19,2015,60.30
21,1985,52.07
21,1990,53.80
21,1995,36.95
21,2000,47.37
21,2005,46.03
21,2010,37.43
21,2015,43.83
23,1985,45.09
23,1990,52.20
23,1995,30.67
23,2000,36.23
23,2005,41.92
23,2010,41.47
23,2015,46.25
25,1985,51.60
25,1990,59.77
25,1995,47.60
25,2000,52.76
25,2005,41.07
25,2010,40.38
25,2015,61.79
27,1985,51.47
27,1990,57.37
27,1995,45.12
27,2000,52.33
27,2005,44.69
27,2010,39.67
27,2015,51.29
29,1985,44.70
29,1990,58.38
29,1995,43.93
29,2000,48.64
29,2005,42.01
29,2010,36.68
29,2015,48.91
31,1985,47.54
31,1990,54.22
31,1995,44.61
31,2000,49.58
31,2005,45.22
31,2010,39.40
31,2015,48.94
33,1985,43.60
33,1990,49.84
33,1995,34.18
33,2000,38.48
33,2005,32.85
33,2010,32.94
33,2015,36.44
35,1985,41.56
35,1990,55.46
35,1995,33.45
35,2000,41.79
35,2005,44.51
35,2010,38.52
35,2015,46.54
37,1985,52.09
37,1990,60.59
37,1995,46.85
37,2000,53.25
37,2005,42.99
37,2010,41.20
37,2015,60.28
39,1985,39.97
39,1990,50.40
39,1995,34.09
39,2000,36.94
39,2005,34.22
39,2010,31.51
39,2015,38.10
41,1985,45.36
41,1990,57.20
41,1995,39.40
41,2000,45.02
41,2005,45.46
41,2010,40.00
41,2015,47.42
43,1985,38.82
43,1990,55.83
43,1995,44.55
43,2000,48.85
43,2005,44.05
43,2010,39.96
43,2015,62.89
45,1985,45.32
45,1990,53.07
45,1995,33.62
45,2000,37.20
45,2005,39.71
45,2010,38.50
45,2015,46.64
47,1985,46.10
47,1990,60.03
47,1995,44.12
47,2000,47.67
47,2005,44.55
47,2010,37.90
47,2015,45.43
49,1985,42.39
49,1990,56.54
49,1995,35.72
49,2000,38.73
49,2005,35.19
