county,year,temp
1,1985,49.94
1,1990,52.01
1,1995,49.93
1,2000,50.32
1,2005,51.20
1,2010,51.52
1,2015,50.62
3,1985,49.67
3,1990,51.43
3,1995,49.56
3,2000,49.81
3,2005,50.70
3,2010,51.30
3,2015,50.07
5,1985,52.33
5,1990,54.57
5,1995,52.79
5,2000,52.98
5,2005,54.30
5,2010,53.49
5,2015,53.91
7,1985,49.36
7,1990,51.94
7,1995,50.39
7,2000,50.20
7,2005,51.69
7,2010,51.18
7,2015,50.67
9,1985,50.38
9,1990,52.46
9,1995,50.59
9,2000,50.67
9,2005,51.62
9,2010,51.74
9,2015,51.10
11,1985,49.84
11,1990,52.28
11,1995,50.51
11,2000,50.42
11,2005,51.65
11,2010,51.34
11,2015,51.04
13,1985,51.70
13,1990,53.95
13,1995,52.15
13,2000,52.33
13,2005,53.84
13,2010,53.03
13,2015,53.12
15,1985,49.88
15,1990,52.14
15,1995,50.48
15,2000,50.58
15,2005,51.66
15,2010,51.44
15,2015,51.02
17,1985,49.63
17,1990,51.69
17,1995,50.05
17,2000,50.15
17,2005,51.42
17,2010,51.28
17,2015,50.78
19,1985,54.05
19,1990,56.46
19,1995,54.46
19,2000,54.66
19,2005,55.98
19,2010,55.68
19,2015,55.81
21,1985,51.83
21,1990,54.17
21,1995,52.30
21,2000,52.28
21,2005,53.66
21,2010,53.13
21,2015,53.34
23,1985,49.73
23,1990,52.11
23,1995,50.42
23,2000,50.26
23,2005,51.59
23,2010,51.29
23,2015,50.97
25,1985,53.96
25,1990,55.84
25,1995,54.12
25,2000,54.09
25,2005,55.79
25,2010,55.33
25,2015,55.53
27,1985,52.86
27,1990,55.44
27,1995,53.63
27,2000,53.83
27,2005,55.20
27,2010,54.70
27,2015,54.73
29,1985,52.62
29,1990,54.99
29,1995,52.74
29,2000,53.04
29,2005,54.10
29,2010,53.67
29,2015,53.97
31,1985,51.80
31,1990,53.98
31,1995,52.03
31,2000,52.25
31,2005,53.47
31,2010,53.20
31,2015,53.24
33,1985,48.80
33,1990,50.61
33,1995,48.82
33,2000,49.01
33,2005,49.77
33,2010,50.53
33,2015,49.31
35,1985,50.35
35,1990,52.57
35,1995,50.68
35,2000,50.68
35,2005,51.68
35,2010,51.62
35,2015,51.47
37,1985,53.56
37,1990,55.72
37,1995,53.93
37,2000,54.19
37,2005,55.62
37,2010,55.14
37,2015,55.35
39,1985,48.26
39,1990,50.38
39,1995,48.79
39,2000,48.90
39,2005,49.95
39,2010,50.54
39,2015,49.34
41,1985,50.94
41,1990,53.21
41,1995,51.05
41,2000,51.17
41,2005,52.38
41,2010,52.02
41,2015,52.35
43,1985,54.13
43,1990,56.60
43,1995,54.65
43,2000,54.53
43,2005,55.94
43,2010,55.97
43,2015,56.14
45,1985,50.46
45,1990,53.09
45,1995,51.17
45,2000,51.09
45,2005,52.66
45,2010,51.98
45,2015,51.80
47,1985,51.77
47,1990,53.87
47,1995,51.86
47,2000,52.08
47,2005,53.20
47,2010,52.63
47,2015,53.20
49,1985,48.95
49,1990,51.04
49,1995,49.43
49,2000,49.33
49,2005,50.86
49,2010,51.02
49,2015,50.17
51,1985,54.22
51,1990,56.93
51,1995,55.40
51,2000,54.95
51,2005,56.84
51,2010,56.34
51,2015,56.25
53,1985,50.44
53,1990,52.33
53,1995,50.72
53,2000,50.32
53,2005,51.53
53,2010,51.65
53,2015,50.82
55,1985,52.17
55,1990,54.51
55,1995,52.74
55,2000,52.87
55,2005,54.28
55,2010,53.79
55,2015,53.72
57,1985,50.59
57,1990,52.80
57,1995,50.96
57,2000,50.92
57,2005,52.15
57,2010,51.91
57,2015,51.57
59,1985,50.84
59,1990,53.27
59,1995,51.17
59,2000,51.32
59,2005,52.47
59,2010,52.38
59,2015,52.15
61,1985,54.32
61,1990,56.52
61,1995,54.66
61,2000,54.48
61,2005,56.05
61,2010,55.94
61,2015,56.22
63,1985,50.46
63,1990,52.82
63,1995,50.88
63,2000,50.96
63,2005,52.32
63,2010,51.87
63,2015,51.43
65,1985,50.09
65,1990,52.52
65,1995,50.38
65,2000,50.29
65,2005,51.73
65,2010,51.48
65,2015,51.30
67,1985,50.10
67,1990,51.88
67,1995,50.23
67,2000,50.23
67,2005,51.57
67,2010,51.31
67,2015,50.91
69,1985,50.10
69,1990,51.86
69,1995,50.22
69,2000,50.25
69,2005,51.21
69,2010,51.47
69,2015,50.13
71,1985,52.73
71,1990,55.05
71,1995,53.28
71,2000,53.35
71,2005,54.82
71,2010,54.01
71,2015,54.33
73,1985,49.33
73,1990,51.58
73,1995,50.32
73,2000,50.06
73,2005,51.35
73,2010,50.98
73,2015,50.45
75,1985,50.04
75,1990,52.30
75,1995,50.11
75,2000,50.46
75,2005,51.33
75,2010,51.53
75,2015,51.08
77,1985,53.27
77,1990,55.48
77,1995,53.44
77,2000,53.93
77,2005,55.18
77,2010,54.67
77,2015,54.82
79,1985,52.73
79,1990,54.99
79,1995,53.05
79,2000,53.33
79,2005,54.70
79,2010,54.12
79,2015,54.30
81,1985,51.37
81,1990,53.59
81,1995,51.64
81,2000,51.95
81,2005,53.23
81,2010,52.71
81,2015,52.73
83,1985,53.28
83,1990,56.14
83,1995,54.31
83,2000,54.35
83,2005,55.96
83,2010,55.37
83,2015,55.22
85,1985,48.77
85,1990,50.88
85,1995,49.18
85,2000,49.17
85,2005,50.24
85,2010,50.70
85,2015,49.53
87,1985,48.32
87,1990,50.28
87,1995,48.50
87,2000,48.86
87,2005,49.77
87,2010,50.26
87,2015,49.01
89,1985,48.82
89,1990,51.45
89,1995,49.59
89,2000,49.92
89,2005,51.32
89,2010,51.03
89,2015,50.13
91,1985,48.49
91,1990,50.77
91,1995,49.28
91,2000,49.47
91,2005,50.54
91,2010,50.73
91,2015,49.45
93,1985,52.31
93,1990,54.57
93,1995,52.79
93,2000,52.74
93,2005,54.34
93,2010,53.83
