county,year,precip
1,1985,29.39
1,1990,33.99
1,1995,32.29
1,2000,25.10
1,2005,27.46
1,2010,47.81
1,2015,50.36
3,1985,31.35
3,1990,34.75
3,1995,34.18
3,2000,27.31
3,2005,28.01
3,2010,45.81
3,2015,50.54
5,1985,33.40
5,1990,36.54
5,1995,31.84
5,2000,38.88
5,2005,32.03
5,2010,42.04
5,2015,36.75
7,1985,36.33
7,1990,43.79
7,1995,35.14
7,2000,33.10
7,2005,28.24
7,2010,59.61
7,2015,51.77
9,1985,27.65
9,1990,34.97
9,1995,30.19
9,2000,22.55
9,2005,29.77
9,2010,46.78
9,2015,51.22
11,1985,30.34
11,1990,43.67
11,1995,31.09
11,2000,32.89
11,2005,28.29
11,2010,40.83
11,2015,42.34
13,1985,31.29
13,1990,42.70
13,1995,30.24
13,2000,33.30
13,2005,31.08
13,2010,43.13
13,2015,38.98
15,1985,25.78
15,1990,42.11
15,1995,30.26
15,2000,23.93
15,2005,32.25
15,2010,48.19
15,2015,47.82
17,1985,32.05
17,1990,44.04
17,1995,31.38
17,2000,34.89
17,2005,35.40
17,2010,41.51
17,2015,38.53
19,1985,31.32
19,1990,40.78
19,1995,28.66
19,2000,33.69
19,2005,27.63
19,2010,43.24
19,2015,37.90
21,1985,30.23
21,1990,35.57
21,1995,31.54
21,2000,22.54
21,2005,29.99
21,2010,37.27
21,2015,39.09
23,1985,30.83
23,1990,43.95
23,1995,28.34
23,2000,31.41
23,2005,34.79
23,2010,40.03
23,2015,40.35
25,1985,25.70
25,1990,37.61
25,1995,30.38
25,2000,23.49
25,2005,32.24
25,2010,41.93
25,2015,42.88
27,1985,26.75
27,1990,39.52
27,1995,28.36
27,2000,21.42
27,2005,28.86
27,2010,41.39
27,2015,50.24
29,1985,27.96
29,1990,32.42
29,1995,32.34
29,2000,25.24
29,2005,27.50
29,2010,43.93
29,2015,47.26
31,1985,36.07
31,1990,49.29
31,1995,32.95
31,2000,35.53
31,2005,22.46
31,2010,44.78
31,2015,43.50
33,1985,29.24
33,1990,42.44
33,1995,33.26
33,2000,31.96
33,2005,39.63
33,2010,34.87
33,2015,39.51
35,1985,30.54
35,1990,31.43
35,1995,29.52
35,2000,23.00
35,2005,30.45
35,2010,38.77
35,2015,38.51
37,1985,31.99
37,1990,42.88
37,1995,31.31
37,2000,37.78
37,2005,38.32
37,2010,38.08
37,2015,35.39
39,1985,33.64
39,1990,40.49
39,1995,36.38
39,2000,28.92
39,2005,28.15
39,2010,49.27
39,2015,45.32
41,1985,32.70
41,1990,28.00
41,1995,32.15
41,2000,25.83
41,2005,30.27
41,2010,39.60
41,2015,34.32
43,1985,32.66
43,1990,36.36
43,1995,30.21
43,2000,35.68
43,2005,30.54
43,2010,41.68
