county,year,temp
1,1985,46.44
1,1990,50.21
1,1995,48.02
1,2000,49.75
1,2005,50.19
1,2010,48.60
1,2015,50.32
3,1985,47.17
3,1990,50.87
3,1995,48.78
3,2000,50.34
3,2005,51.14
3,2010,49.19
3,2015,50.90
5,1985,44.02
5,1990,47.36
5,1995,45.69
5,2000,46.49
5,2005,47.54
5,2010,47.17
5,2015,47.36
7,1985,48.28
7,1990,52.10
7,1995,49.62
7,2000,51.24
7,2005,51.97
7,2010,50.65
7,2015,51.47
9,1985,45.82
9,1990,49.36
9,1995,47.37
9,2000,49.00
9,2005,49.52
9,2010,47.58
9,2015,49.29
11,1985,45.44
11,1990,49.12
11,1995,47.00
11,2000,48.23
11,2005,49.12
11,2010,48.34
11,2015,48.51
13,1985,44.81
13,1990,48.55
13,1995,46.33
13,2000,47.78
13,2005,48.27
13,2010,47.43
13,2015,48.28
15,1985,46.21
15,1990,49.75
15,1995,47.34
15,2000,49.12
15,2005,49.73
15,2010,48.18
15,2015,49.40
17,1985,44.17
17,1990,47.74
17,1995,45.45
17,2000,47.02
17,2005,47.57
17,2010,46.68
17,2015,47.80
19,1985,44.24
19,1990,48.18
19,1995,46.03
19,2000,47.45
19,2005,48.19
19,2010,47.43
19,2015,47.70
21,1985,44.36
21,1990,47.83
21,1995,45.73
21,2000,46.89
21,2005,48.40
21,2010,46.46
21,2015,48.26
23,1985,44.62
23,1990,48.32
23,1995,45.88
23,2000,47.39
23,2005,47.98
23,2010,47.06
23,2015,47.93
25,1985,45.33
25,1990,48.96
25,1995,46.60
25,2000,48.12
25,2005,48.98
25,2010,47.23
25,2015,48.93
27,1985,45.66
27,1990,49.16
27,1995,47.03
27,2000,48.73
27,2005,49.42
27,2010,47.35
27,2015,49.03
29,1985,46.71
29,1990,50.30
29,1995,48.43
29,2000,50.00
29,2005,50.54
29,2010,48.70
29,2015,50.32
31,1985,46.90
31,1990,50.36
31,1995,48.15
31,2000,49.24
31,2005,50.38
31,2010,49.31
31,2015,49.11
33,1985,43.76
33,1990,47.24
33,1995,44.97
33,2000,46.33
33,2005,47.39
33,2010,45.98
33,2015,47.29
35,1985,44.68
35,1990,48.09
35,1995,45.96
35,2000,47.19
35,2005,48.77
35,2010,46.61
35,2015,48.41
37,1985,43.63
37,1990,46.94
37,1995,44.52
37,2000,45.85
37,2005,46.63
37,2010,45.65
37,2015,46.70
39,1985,47.55
39,1990,51.29
39,1995,48.83
39,2000,50.45
39,2005,51.36
39,2010,49.76
39,2015,51.16
41,1985,43.59
41,1990,47.30
41,1995,45.17
41,2000,46.08
41,2005,47.82
41,2010,45.99
41,2015,48.08
43,1985,44.60
43,1990,47.92
43,1995,45.63
43,2000,46.93
43,2005,47.71
43,2010,47.10
43,2015,47.33
45,1985,47.02
45,1990,50.25
45,1995,48.26
45,2000,49.21
45,2005,50.45
45,2010,49.54
45,2015,49.79
47,1985,45.96
47,1990,49.20
47,1995,47.18
47,2000,48.65
47,2005,49.53
47,2010,47.50
47,2015,49.25
49,1985,47.00
49,1990,50.71
49,1995,48.32
49,2000,49.93
49,2005,50.65
49,2010,48.90
49,2015,50.29
51,1985,48.54
51,1990,52.35
51,1995,49.80
51,2000,51.28
51,2005,52.21
51,2010,50.81
51,2015,51.89
53,1985,48.17
53,1990,51.78
53,1995,49.41
53,2000,50.92
53,2005,51.75
53,2010,50.35
53,2015,51.96
55,1985,44.48
55,1990,48.08
55,1995,45.97
55,2000,47.17
55,2005,48.08
55,2010,47.31
55,2015,47.56
57,1985,49.03
57,1990,52.23
57,1995,49.97
57,2000,51.21
57,2005,52.45
57,2010,51.43
57,2015,51.18
59,1985,42.98
59,1990,46.75
59,1995,44.48
59,2000,45.57
59,2005,47.17
59,2010,45.43
59,2015,47.22
61,1985,45.19
61,1990,48.49
61,1995,46.72
61,2000,47.52
61,2005,48.66
61,2010,48.00
61,2015,48.01
63,1985,43.07
63,1990,46.92
63,1995,44.71
63,2000,45.83
63,2005,47.26
63,2010,45.47
63,2015,47.31
65,1985,43.76
65,1990,47.36
65,1995,45.03
65,2000,46.46
65,2005,47.17
65,2010,46.33
65,2015,47.12
67,1985,43.87
67,1990,47.38
67,1995,45.03
67,2000,46.62
67,2005,47.35
67,2010,46.27
67,2015,47.28
69,1985,44.35
69,1990,47.88
69,1995,45.38
69,2000,46.88
69,2005,47.78
69,2010,46.71
69,2015,47.66
71,1985,49.09
71,1990,52.58
71,1995,50.76
71,2000,52.39
71,2005,53.03
71,2010,51.33
71,2015,52.47
73,1985,46.09
73,1990,49.79
73,1995,47.39
73,2000,49.05
73,2005,49.75
73,2010,47.83
73,2015,49.30
75,1985,44.95
75,1990,48.60
75,1995,46.18
75,2000,47.77
75,2005,48.34
75,2010,47.28
75,2015,48.37
77,1985,46.19
77,1990,49.93
77,1995,47.73
77,2000,49.32
77,2005,49.86
77,2010,48.07
77,2015,49.80
79,1985,45.38
79,1990,48.64
79,1995,46.20
79,2000,47.88
79,2005,48.70
79,2010,47.61
79,2015,48.14
81,1985,43.52
81,1990,47.21
81,1995,44.89
81,2000,46.12
81,2005,47.51
81,2010,45.79
81,2015,47.19
83,1985,45.24
83,1990,48.56
83,1995,46.07
83,2000,47.70
83,2005,48.46
83,2010,47.33
83,2015,48.25
85,1985,46.98
85,1990,50.75
85,1995,48.83
85,2000,50.18
85,2005,51.17
85,2010,49.01
85,2015,51.01
87,1985,48.62
87,1990,52.15
87,1995,49.76
87,2000,51.13
87,2005,52.32
87,2010,50.85
87,2015,50.30
89,1985,42.57
89,1990,45.83
89,1995,43.64
89,2000,44.93
89,2005,45.89
89,2010,44.95
89,2015,46.03
91,1985,44.60
91,1990,48.22
91,1995,45.69
91,2000,47.22
91,2005,48.34
91,2010,46.72
91,2015,48.03
93,1985,45.36
93,1990,48.67
93,1995,46.64
93,2000,47.98
93,2005,49.39
93,2010,47.25
93,2015,48.63
95,1985,46.48
95,1990,49.81
95,1995,47.93
95,2000,49.22
95,2005,50.08
95,2010,48.97
95,2015,49.72
97,1985,46.34
97,1990,49.43
97,1995,47.70
97,2000,48.53
97,2005,49.63
97,2010,49.00
97,2015,49.05
99,1985,46.66
99,1990,50.50
99,1995,48.29
99,2000,49.81
99,2005,50.43
99,2010,49.24
99,2015,50.18
101,1985,48.27
101,1990,52.00
101,1995,49.27
101,2000,50.69
101,2005,51.97
101,2010,50.53
101,2015,50.43
103,1985,46.96
103,1990,50.42
103,1995,48.45
103,2000,49.42
103,2005,50.62
103,2010,49.55
103,2015,49.58
105,1985,45.75
105,1990,49.20
105,1995,47.23
105,2000,48.24
105,2005,49.32
105,2010,48.33
105,2015,48.79
107,1985,47.27
107,1990,50.87
107,1995,48.67
107,2000,50.05
107,2005,51.14
107,2010,49.78
107,2015,50.48
109,1985,43.43
109,1990,47.33
109,1995,45.08
109,2000,46.23
109,2005,47.48
109,2010,45.97
109,2015,47.59
111,1985,49.82
111,1990,53.16
111,1995,50.70
111,2000,52.05
111,2005,53.39
111,2010,52.12
111,2015,51.76
113,1985,45.63
113,1990,49.46
113,1995,47.31
113,2000,48.31
113,2005,49.37
113,2010,48.43
113,2015,48.79
115,1985,48.36
115,1990,51.88
115,1995,49.56
115,2000,50.83
115,2005,51.92
115,2010,50.94
115,2015,50.58
117,1985,47.68
117,1990,51.57
117,1995,49.00
117,2000,50.69
117,2005,51.53
117,2010,50.04
117,2015,51.08
119,1985,43.35
119,1990,47.07
119,1995,44.99
119,2000,46.20
119,2005,47.88
119,2010,45.99
119,2015,47.82
121,1985,47.35
121,1990,50.96
121,1995,48.54
121,2000,50.29
121,2005,50.97
121,2010,49.26
121,2015,50.86
123,1985,47.47
123,1990,51.19
123,1995,48.81
123,2000,50.40
123,2005,51.12
123,2010,49.89
123,2015,51.16
125,1985,47.81
125,1990,51.63
125,1995,49.20
125,2000,50.77
125,2005,51.50
125,2010,50.20
125,2015,51.00
127,1985,45.64
127,1990,49.41
127,1995,47.03
127,2000,48.58
127,2005,49.29
127,2010,48.07
127,2015,49.29
129,1985,48.51
129,1990,51.97
129,1995,50.22
129,2000,51.72
129,2005,52.43
129,2010,50.63
129,2015,52.00
131,1985,42.92
131,1990,46.38
131,1995,43.98
131,2000,45.60
131,2005,46.51
131,2010,45.34
131,2015,46.58
133,1985,46.69
133,1990,50.02
133,1995,48.12
133,2000,49.59
133,2005,50.65
133,2010,48.58
133,2015,50.09
135,1985,48.02
135,1990,51.85
135,1995,49.31
135,2000,50.92
135,2005,51.57
135,2010,50.28
135,2015,51.31
137,1985,47.88
137,1990,51.40
137,1995,49.48
137,2000,51.04
137,2005,51.76
137,2010,49.82
137,2015,51.45
139,1985,47.88
139,1990,51.33
139,1995,49.09
139,2000,50.26
139,2005,51.44
139,2010,50.40
139,2015,49.62
141,1985,43.88
141,1990,47.43
141,1995,44.97
141,2000,46.15
141,2005,47.84
141,2010,45.98
141,2015,47.85
143,1985,43.08
143,1990,46.57
143,1995,44.33
143,2000,45.54
143,2005,47.10
143,2010,45.42
143,2015,46.90
145,1985,48.34
145,1990,51.82
145,1995,50.00
145,2000,51.54
145,2005,52.30
145,2010,50.44
145,2015,52.23
147,1985,43.80
147,1990,47.48
147,1995,45.17
147,2000,46.44
147,2005,47.68
147,2010,45.99
147,2015,48.32
149,1985,44.98
149,1990,48.63
149,1995,46.62
149,2000,47.88
149,2005,49.34
149,2010,47.18
149,2015,49.19
151,1985,44.64
151,1990,48.18
151,1995,45.77
151,2000,47.23
151,2005,48.46
151,2010,46.67
151,2015,48.29
153,1985,47.46
153,1990,50.94
153,1995,48.79
153,2000,50.33
153,2005,51.08
153,2010,49.43
153,2015,50.38
155,1985,47.64
155,1990,51.18
155,1995,49.36
155,2000,50.73
155,2005,51.49
155,2010,49.62
155,2015,51.24
157,1985,46.19
157,1990,49.77
157,1995,47.67
157,2000,49.09
157,2005,49.76
157,2010,48.71
157,2015,49.60
159,1985,47.88
159,1990,51.25
159,1995,49.09
159,2000,50.72
159,2005,51.46
159,2010,50.12
159,2015,51.32
161,1985,45.04
161,1990,48.57
161,1995,46.45
161,2000,47.93
161,2005,49.02
161,2010,46.91
161,2015,48.63
163,1985,47.48
163,1990,50.91
163,1995,48.75
163,2000,49.90
163,2005,51.27
163,2010,50.23
163,2015,50.34
165,1985,46.32
165,1990,49.85
165,1995,47.88
165,2000,49.36
165,2005,49.97
165,2010,48.04
165,2015,50.04
167,1985,44.08
167,1990,47.77
