county,year,precip
1,1985,56.46
1,1990,46.49
1,1995,37.66
1,2000,30.93
1,2005,38.41
1,2010,43.30
1,2015,45.60
3,1985,54.49
3,1990,40.72
3,1995,34.43
3,2000,25.92
3,2005,39.62
3,2010,43.97
3,2015,42.40
5,1985,46.74
5,1990,35.88
5,1995,42.17
5,2000,28.14
5,2005,39.85
5,2010,39.84
5,2015,41.56
7,1985,33.50
7,1990,22.23
7,1995,31.63
7,2000,34.95
7,2005,27.09
7,2010,28.33
7,2015,35.68
9,1985,29.22
9,1990,28.04
9,1995,25.30
9,2000,28.20
9,2005,24.81
9,2010,25.96
9,2015,24.95
11,1985,56.33
11,1990,45.73
11,1995,41.80
11,2000,32.55
11,2005,36.25
11,2010,44.55
11,2015,48.99
13,1985,41.13
13,1990,34.36
13,1995,40.57
13,2000,28.98
13,2005,35.10
13,2010,37.58
13,2015,42.49
15,1985,44.76
15,1990,28.94
15,1995,41.32
15,2000,34.04
15,2005,39.34
15,2010,33.05
15,2015,39.02
17,1985,48.72
17,1990,31.94
17,1995,37.77
17,2000,28.07
17,2005,41.56
17,2010,37.59
17,2015,38.07
19,1985,52.04
19,1990,36.21
19,1995,40.36
19,2000,35.61
19,2005,37.17
19,2010,34.83
19,2015,40.80
21,1985,63.24
21,1990,50.89
21,1995,39.40
21,2000,40.01
21,2005,34.01
21,2010,39.79
21,2015,55.86
23,1985,18.16
23,1990,20.51
23,1995,21.26
23,2000,16.55
23,2005,21.27
23,2010,18.20
23,2015,21.02
25,1985,26.34
25,1990,18.96
25,1995,22.74
25,2000,26.61
25,2005,25.97
25,2010,21.22
25,2015,32.06
27,1985,33.17
27,1990,31.11
27,1995,35.67
27,2000,22.42
27,2005,31.35
27,2010,33.33
27,2015,36.12
29,1985,29.10
29,1990,27.59
29,1995,30.31
29,2000,20.63
29,2005,29.38
29,2010,33.24
29,2015,31.58
31,1985,53.24
31,1990,39.85
31,1995,32.74
31,2000,26.23
31,2005,44.00
31,2010,41.22
31,2015,43.38
33,1985,30.21
33,1990,20.87
33,1995,26.20
33,2000,29.68
33,2005,26.45
33,2010,22.30
33,2015,31.47
35,1985,44.04
35,1990,27.79
35,1995,38.78
35,2000,35.24
35,2005,34.20
35,2010,33.55
35,2015,39.50
37,1985,59.62
37,1990,50.32
37,1995,44.14
37,2000,37.25
37,2005,35.10
37,2010,39.27
37,2015,52.51
39,1985,21.90
39,1990,21.48
39,1995,20.19
39,2000,17.32
39,2005,24.56
39,2010,22.76
39,2015,22.87
41,1985,38.22
41,1990,30.12
41,1995,39.69
41,2000,25.29
41,2005,36.07
41,2010,32.04
41,2015,36.32
43,1985,46.10
43,1990,36.14
43,1995,39.86
43,2000,31.84
43,2005,37.84
43,2010,38.47
43,2015,43.10
45,1985,51.82
45,1990,38.88
45,1995,36.62
45,2000,28.27
45,2005,42.04
45,2010,38.41
45,2015,45.37
47,1985,25.29
47,1990,21.62
47,1995,25.64
47,2000,27.87
47,2005,23.56
47,2010,26.53
47,2015,28.28
49,1985,50.08
49,1990,34.44
49,1995,39.41
49,2000,36.11
49,2005,38.53
49,2010,36.31
49,2015,41.54
51,1985,23.99
51,1990,25.47
51,1995,23.25
51,2000,22.75
51,2005,22.75
51,2010,21.12
51,2015,21.90
53,1985,32.65
53,1990,30.93
53,1995,27.72
53,2000,27.57
53,2005,24.94
53,2010,26.23
53,2015,28.50
55,1985,19.80
55,1990,21.08
55,1995,20.23
55,2000,19.17
55,2005,19.78
55,2010,15.15
55,2015,26.43
57,1985,24.61
57,1990,19.96
57,1995,22.50
57,2000,23.62
57,2005,24.18
57,2010,24.45
57,2015,30.35
59,1985,51.12
59,1990,39.60
59,1995,35.31
59,2000,26.27
59,2005,44.33
59,2010,41.69
59,2015,42.59
61,1985,39.07
61,1990,32.21
61,1995,41.10
61,2000,25.17
61,2005,36.54
61,2010,33.49
61,2015,38.07
63,1985,18.79
63,1990,24.23
63,1995,21.50
63,2000,19.33
63,2005,22.15
63,2010,19.52
63,2015,21.22
65,1985,21.12
65,1990,24.26
65,1995,26.21
65,2000,20.14
65,2005,25.04
65,2010,19.56
65,2015,22.04
67,1985,17.87
67,1990,22.86
67,1995,17.54
67,2000,17.92
67,2005,19.01
67,2010,13.85
67,2015,26.57
69,1985,24.71
69,1990,20.89
69,1995,19.83
69,2000,19.50
69,2005,20.68
69,2010,17.96
69,2015,31.51
71,1985,15.98
71,1990,17.42
71,1995,19.27
71,2000,15.79
71,2005,19.02
71,2010,16.73
71,2015,22.92
73,1985,50.49
73,1990,34.16
73,1995,36.46
73,2000,31.29
73,2005,43.27
73,2010,37.34
73,2015,37.74
75,1985,17.35
75,1990,19.97
75,1995,17.35
75,2000,16.56
75,2005,17.27
75,2010,12.59
75,2015,23.29
77,1985,32.90
77,1990,24.14
77,1995,34.09
77,2000,38.43
77,2005,29.58
77,2010,31.03
77,2015,39.54
79,1985,39.19
79,1990,28.28
79,1995,38.51
79,2000,30.82
79,2005,38.99
79,2010,32.41
79,2015,39.30
81,1985,20.70
81,1990,24.01
81,1995,18.01
81,2000,18.86
81,2005,20.39
81,2010,15.20
81,2015,31.35
83,1985,21.88
83,1990,21.26
83,1995,22.37
83,2000,22.65
83,2005,22.36
83,2010,19.84
83,2015,30.04
85,1985,41.28
85,1990,34.70
85,1995,43.52
85,2000,26.94
85,2005,38.46
85,2010,37.60
85,2015,41.54
87,1985,48.72
87,1990,38.59
87,1995,38.61
87,2000,31.02
87,2005,44.69
87,2010,39.97
87,2015,43.41
89,1985,29.87
89,1990,26.35
89,1995,25.97
89,2000,17.42
89,2005,27.27
89,2010,28.14
89,2015,31.77
91,1985,49.59
91,1990,41.13
91,1995,36.15
91,2000,30.66
91,2005,41.72
91,2010,41.64
91,2015,46.96
93,1985,17.42
93,1990,22.00
93,1995,19.93
93,2000,17.80
93,2005,19.93
93,2010,14.54
93,2015,23.74
95,1985,36.28
95,1990,22.94
95,1995,34.48
95,2000,35.53
95,2005,31.03
95,2010,33.12
95,2015,35.68
97,1985,28.57
97,1990,20.34
97,1995,25.93
97,2000,31.21
97,2005,26.00
97,2010,25.69
97,2015,29.60
99,1985,57.74
99,1990,45.26
99,1995,41.48
99,2000,41.44
99,2005,35.88
99,2010,38.21
99,2015,52.71
101,1985,18.83
101,1990,23.54
101,1995,20.81
101,2000,19.71
101,2005,21.65
101,2010,16.56
101,2015,26.27
103,1985,51.50
103,1990,39.84
103,1995,36.45
103,2000,31.84
103,2005,43.63
103,2010,39.81
103,2015,43.93
105,1985,31.12
105,1990,29.29
105,1995,30.19
105,2000,25.17
105,2005,28.24
105,2010,28.44
105,2015,26.60
107,1985,54.72
107,1990,42.35
107,1995,34.48
107,2000,27.04
107,2005,39.49
107,2010,42.88
107,2015,47.62
109,1985,17.47
109,1990,20.79
109,1995,19.61
109,2000,17.21
109,2005,21.70
109,2010,17.61
109,2015,21.66
111,1985,49.04
111,1990,34.91
111,1995,37.75
111,2000,25.36
111,2005,43.14
111,2010,37.71
111,2015,39.03
113,1985,36.09
113,1990,26.64
113,1995,37.45
113,2000,30.49
113,2005,32.34
113,2010,30.53
113,2015,35.23
115,1985,42.20
115,1990,29.67
115,1995,39.54
115,2000,27.54
115,2005,39.43
115,2010,35.46
115,2015,38.74
117,1985,37.47
117,1990,32.85
117,1995,34.99
117,2000,24.70
117,2005,32.23
117,2010,34.83
117,2015,38.10
119,1985,22.47
119,1990,19.12
119,1995,20.49
119,2000,21.29
119,2005,23.00
119,2010,20.61
119,2015,35.32
121,1985,52.69
121,1990,41.67
121,1995,34.98
121,2000,26.67
121,2005,40.97
121,2010,42.63
121,2015,47.12
