county,year,temp
1,1985,53.79
1,1990,57.12
1,1995,55.52
1,2000,56.65
1,2005,57.18
1,2010,56.34
1,2015,56.96
3,1985,53.10
3,1990,56.69
3,1995,54.96
3,2000,55.99
3,2005,56.68
3,2010,55.80
3,2015,56.55
5,1985,50.82
5,1990,54.82
5,1995,52.78
5,2000,54.31
5,2005,54.72
5,2010,53.72
5,2015,55.01
7,1985,55.42
7,1990,58.06
7,1995,56.14
7,2000,57.52
7,2005,58.15
7,2010,57.74
7,2015,58.40
9,1985,52.85
9,1990,55.78
9,1995,54.04
9,2000,55.38
9,2005,55.84
9,2010,55.27
9,2015,56.77
11,1985,53.94
11,1990,57.77
11,1995,55.83
11,2000,56.95
11,2005,57.57
11,2010,56.76
11,2015,57.43
13,1985,50.10
13,1990,54.06
13,1995,51.96
13,2000,53.57
13,2005,54.12
13,2010,52.88
13,2015,54.32
15,1985,53.83
15,1990,57.03
15,1995,55.18
15,2000,56.89
15,2005,57.23
15,2010,56.74
15,2015,57.49
17,1985,52.46
17,1990,56.29
17,1995,54.05
17,2000,56.12
17,2005,56.21
17,2010,55.61
17,2015,56.35
19,1985,55.84
19,1990,58.80
19,1995,56.97
19,2000,58.13
19,2005,58.62
19,2010,58.01
19,2015,58.23
21,1985,56.23
21,1990,59.13
21,1995,57.51
21,2000,58.06
21,2005,59.10
21,2010,58.18
21,2015,58.56
23,1985,49.74
23,1990,51.99
23,1995,51.35
23,2000,52.84
23,2005,53.27
23,2010,52.27
23,2015,53.69
25,1985,55.07
25,1990,57.14
25,1995,55.58
25,2000,57.27
25,2005,57.77
25,2010,57.13
25,2015,58.10
27,1985,51.47
27,1990,55.30
27,1995,53.06
27,2000,55.17
27,2005,55.28
27,2010,54.47
27,2015,55.38
29,1985,51.00
29,1990,55.00
29,1995,52.84
29,2000,54.92
29,2005,55.04
29,2010,53.97
29,2015,55.33
31,1985,53.12
31,1990,56.53
31,1995,54.77
31,2000,56.15
31,2005,56.35
31,2010,55.49
31,2015,57.24
33,1985,55.15
33,1990,57.51
33,1995,55.75
33,2000,57.07
33,2005,57.82
33,2010,57.31
33,2015,58.13
35,1985,55.44
35,1990,58.19
35,1995,56.47
35,2000,57.76
35,2005,58.23
35,2010,57.87
35,2015,58.29
37,1985,55.04
37,1990,58.38
37,1995,56.76
37,2000,57.52
37,2005,58.23
37,2010,57.34
37,2015,58.02
39,1985,49.53
39,1990,52.52
39,1995,51.47
39,2000,53.13
39,2005,53.33
39,2010,52.54
39,2015,54.07
41,1985,52.29
41,1990,56.22
41,1995,54.02
41,2000,56.13
41,2005,56.19
41,2010,55.46
41,2015,56.80
43,1985,50.61
43,1990,54.54
43,1995,52.52
43,2000,53.97
43,2005,54.50
43,2010,53.28
43,2015,54.57
45,1985,52.19
45,1990,56.02
45,1995,53.98
45,2000,55.73
45,2005,55.74
45,2010,55.12
45,2015,56.33
47,1985,53.46
47,1990,55.81
47,1995,54.28
47,2000,55.78
47,2005,56.37
47,2010,55.97
47,2015,56.58
49,1985,54.54
49,1990,57.96
49,1995,55.99
49,2000,57.41
49,2005,57.65
49,2010,57.17
49,2015,57.77
51,1985,51.84
51,1990,54.92
51,1995,53.58
51,2000,55.22
51,2005,55.61
51,2010,55.05
51,2015,56.50
53,1985,52.35
53,1990,55.73
53,1995,53.95
53,2000,55.53
53,2005,55.71
53,2010,55.29
53,2015,57.07
55,1985,52.53
55,1990,54.26
55,1995,53.42
55,2000,55.24
55,2005,55.73
55,2010,55.27
55,2015,56.17
57,1985,53.54
57,1990,55.39
57,1995,54.29
57,2000,55.63
57,2005,56.68
57,2010,55.73
57,2015,56.72
59,1985,52.40
59,1990,56.33
59,1995,54.45
59,2000,56.02
59,2005,56.08
59,2010,55.47
59,2015,56.70
61,1985,51.77
61,1990,55.65
61,1995,53.30
61,2000,55.60
61,2005,55.52
61,2010,54.88
61,2015,56.18
63,1985,51.31
63,1990,53.91
63,1995,52.77
63,2000,54.36
63,2005,54.86
63,2010,54.21
63,2015,55.48
65,1985,51.00
65,1990,54.17
65,1995,52.88
65,2000,54.52
65,2005,54.87
65,2010,54.24
65,2015,55.39
67,1985,53.77
67,1990,54.86
67,1995,54.45
67,2000,56.18
67,2005,56.05
67,2010,55.86
67,2015,56.71
69,1985,53.27
69,1990,54.82
69,1995,53.95
69,2000,55.43
69,2005,56.38
69,2010,55.46
69,2015,56.50
71,1985,50.61
71,1990,52.88
71,1995,52.07
71,2000,53.83
71,2005,54.15
71,2010,53.88
71,2015,54.18
73,1985,53.67
73,1990,56.93
73,1995,55.19
73,2000,56.79
73,2005,56.77
73,2010,56.09
73,2015,57.52
75,1985,52.50
75,1990,53.95
75,1995,53.67
75,2000,55.22
75,2005,55.40
75,2010,55.09
75,2015,55.66
77,1985,55.87
77,1990,58.94
77,1995,56.97
77,2000,58.32
77,2005,58.61
77,2010,58.17
77,2015,58.68
79,1985,53.85
79,1990,56.99
79,1995,54.98
79,2000,56.70
79,2005,56.98
79,2010,56.76
79,2015,57.52
81,1985,53.57
81,1990,54.81
81,1995,54.24
81,2000,55.66
81,2005,56.04
81,2010,55.74
81,2015,56.82
83,1985,53.48
83,1990,55.29
83,1995,54.18
83,2000,55.60
83,2005,56.47
83,2010,55.72
83,2015,56.78
85,1985,50.95
85,1990,54.66
85,1995,52.53
85,2000,54.30
85,2005,54.46
85,2010,53.66
85,2015,54.93
87,1985,51.61
87,1990,55.35
87,1995,53.30
87,2000,54.93
87,2005,55.02
87,2010,54.23
87,2015,55.52
89,1985,49.82
89,1990,53.51
89,1995,51.78
89,2000,53.69
89,2005,54.02
89,2010,52.95
89,2015,54.42
91,1985,52.01
91,1990,56.09
91,1995,54.20
91,2000,55.51
91,2005,55.78
91,2010,55.00
91,2015,56.07
93,1985,52.49
93,1990,54.16
93,1995,53.57
93,2000,55.49
93,2005,55.51
93,2010,55.28
93,2015,56.02
95,1985,54.90
95,1990,58.00
95,1995,55.65
95,2000,57.27
95,2005,57.63
95,2010,57.30
95,2015,57.75
97,1985,53.92
97,1990,56.29
97,1995,54.57
97,2000,55.98
97,2005,56.77
97,2010,56.33
97,2015,56.93
99,1985,56.29
99,1990,59.01
99,1995,57.23
99,2000,58.08
99,2005,58.83
99,2010,58.11
99,2015,58.57
101,1985,51.97
101,1990,54.01
101,1995,52.89
101,2000,54.65
101,2005,55.12
101,2010,54.66
101,2015,55.80
103,1985,51.88
103,1990,55.77
103,1995,53.77
103,2000,55.26
103,2005,55.54
103,2010,54.78
103,2015,55.82
105,1985,51.87
105,1990,55.50
105,1995,53.63
105,2000,55.43
105,2005,55.39
105,2010,55.07
105,2015,56.60
107,1985,53.44
107,1990,57.10
107,1995,55.21
107,2000,56.31
107,2005,56.90
107,2010,56.09
107,2015,56.74
109,1985,50.87
109,1990,53.57
109,1995,52.31
109,2000,53.88
109,2005,54.37
109,2010,53.87
109,2015,55.26
111,1985,52.47
111,1990,56.16
111,1995,53.98
111,2000,55.88
111,2005,55.95
111,2010,55.23
111,2015,56.53
113,1985,53.12
113,1990,56.68
113,1995,54.62
113,2000,56.15
113,2005,56.62
113,2010,56.18
113,2015,57.02
115,1985,52.66
115,1990,56.43
115,1995,54.31
115,2000,56.23
115,2005,56.44
115,2010,55.73
115,2015,56.60
117,1985,50.12
117,1990,53.92
117,1995,51.83
117,2000,53.75
117,2005,54.18
117,2010,52.99
117,2015,53.64
119,1985,54.98
119,1990,56.47
119,1995,55.49
119,2000,56.90
119,2005,57.30
119,2010,56.60
119,2015,57.78
121,1985,52.60
121,1990,56.49
121,1995,54.52
121,2000,55.91
121,2005,56.03
121,2010,55.37
121,2015,56.34
123,1985,51.12
123,1990,54.82
123,1995,52.91
123,2000,54.88
123,2005,54.95
123,2010,54.25
123,2015,55.66
125,1985,56.32
125,1990,59.18
125,1995,57.26
125,2000,58.21
125,2005,58.80
125,2010,58.38
125,2015,58.80
127,1985,51.66
127,1990,55.64
127,1995,53.32
127,2000,55.47
127,2005,55.52
127,2010,54.86
127,2015,56.02
129,1985,54.18
129,1990,55.51
129,1995,55.23
129,2000,56.52
129,2005,56.49
129,2010,56.34
129,2015,56.84
131,1985,49.88
131,1990,53.67
131,1995,51.49
131,2000,53.37
131,2005,53.72
131,2010,52.57
131,2015,53.50
133,1985,54.88
133,1990,57.97
133,1995,56.40
133,2000,57.34
133,2005,57.85
133,2010,57.17
133,2015,57.69
135,1985,52.83
135,1990,54.98
135,1995,53.70
135,2000,55.27
135,2005,55.83
135,2010,55.35
135,2015,56.51
137,1985,49.97
137,1990,53.28
137,1995,51.99
137,2000,53.78
137,2005,53.78
137,2010,53.08
137,2015,54.31
139,1985,52.13
139,1990,55.95
139,1995,54.00
