county,year,precip
1,1985,44.07
1,1990,56.42
1,1995,52.22
1,2000,45.04
1,2005,37.87
1,2010,52.66
1,2015,64.41
3,1985,40.01
3,1990,56.10
3,1995,50.30
3,2000,44.02
3,2005,43.86
3,2010,49.51
3,2015,57.47
5,1985,40.94
5,1990,56.34
5,1995,49.18
5,2000,44.78
5,2005,34.34
5,2010,40.64
5,2015,62.44
7,1985,53.90
7,1990,58.00
7,1995,43.97
7,2000,49.50
7,2005,42.88
7,2010,37.49
7,2015,56.25
9,1985,42.07
9,1990,54.40
9,1995,50.86
9,2000,43.40
9,2005,44.09
9,2010,51.18
9,2015,59.18
11,1985,39.74
11,1990,53.53
11,1995,45.75
11,2000,43.40
11,2005,38.37
11,2010,44.85
11,2015,59.82
13,1985,42.32
13,1990,55.88
13,1995,49.99
13,2000,44.60
13,2005,41.10
13,2010,52.41
13,2015,57.06
15,1985,42.98
15,1990,57.93
15,1995,43.01
15,2000,46.33
15,2005,40.22
15,2010,36.58
15,2015,50.20
17,1985,38.16
17,1990,52.69
17,1995,46.12
17,2000,43.95
17,2005,34.37
17,2010,43.00
17,2015,60.18
19,1985,42.42
19,1990,50.61
19,1995,44.69
19,2000,41.20
19,2005,37.80
19,2010,45.54
19,2015,47.83
21,1985,39.79
21,1990,57.72
21,1995,52.74
21,2000,38.84
21,2005,33.32
21,2010,45.64
21,2015,54.62
23,1985,40.97
23,1990,56.14
23,1995,44.73
23,2000,48.42
23,2005,38.62
23,2010,35.08
23,2015,54.38
25,1985,46.09
25,1990,52.78
25,1995,47.38
25,2000,44.58
25,2005,38.71
25,2010,44.63
25,2015,53.87
27,1985,45.57
27,1990,56.77
27,1995,49.49
27,2000,48.61
27,2005,42.85
27,2010,37.74
27,2015,61.02
29,1985,39.65
29,1990,56.12
29,1995,50.81
29,2000,43.94
29,2005,38.17
29,2010,38.10
29,2015,57.51
31,1985,44.29
31,1990,54.50
31,1995,48.61
31,2000,46.60
31,2005,41.60
31,2010,45.54
31,2015,62.37
33,1985,55.95
33,1990,58.66
33,1995,46.40
33,2000,46.40
33,2005,41.50
33,2010,39.10
33,2015,58.70
35,1985,53.68
35,1990,66.09
35,1995,46.63
35,2000,50.31
35,2005,43.20
35,2010,40.64
35,2015,61.19
37,1985,41.55
37,1990,56.52
37,1995,45.34
37,2000,46.66
37,2005,39.85
37,2010,33.92
37,2015,48.35
39,1985,52.74
39,1990,62.15
39,1995,43.99
39,2000,53.41
39,2005,44.27
39,2010,38.53
39,2015,57.70
41,1985,42.59
41,1990,58.96
41,1995,43.27
41,2000,52.65
