county,year,temp
1,1985,55.33
1,1990,57.35
1,1995,55.73
1,2000,55.79
1,2005,56.84
1,2010,55.85
1,2015,56.64
3,1985,56.73
3,1990,59.02
3,1995,57.24
3,2000,57.54
3,2005,58.42
3,2010,57.79
3,2015,58.46
5,1985,54.33
5,1990,56.66
5,1995,54.52
5,2000,54.81
5,2005,56.16
5,2010,55.42
5,2015,55.91
7,1985,56.54
7,1990,58.81
7,1995,57.13
7,2000,57.52
7,2005,58.94
7,2010,58.35
7,2015,58.54
9,1985,56.59
9,1990,58.66
9,1995,56.85
9,2000,57.04
9,2005,57.87
9,2010,57.34
9,2015,58.08
11,1985,54.26
11,1990,56.75
11,1995,54.52
11,2000,54.74
11,2005,55.83
11,2010,55.04
11,2015,54.98
13,1985,54.01
13,1990,56.47
13,1995,54.38
13,2000,54.78
13,2005,55.55
13,2010,54.21
13,2015,55.48
15,1985,53.28
15,1990,55.65
15,1995,53.48
15,2000,53.85
15,2005,54.82
15,2010,54.38
15,2015,54.63
17,1985,53.78
17,1990,56.04
17,1995,54.06
17,2000,54.24
17,2005,55.37
17,2010,54.74
17,2015,55.16
19,1985,54.01
19,1990,56.73
19,1995,54.08
19,2000,54.54
19,2005,55.61
19,2010,55.08
19,2015,55.48
21,1985,54.47
21,1990,56.59
21,1995,54.70
21,2000,54.98
21,2005,56.09
21,2010,54.91
21,2015,55.60
23,1985,53.45
23,1990,55.60
23,1995,53.66
23,2000,53.75
23,2005,55.02
23,2010,54.79
23,2015,54.63
25,1985,54.75
25,1990,57.41
25,1995,55.15
25,2000,55.50
25,2005,56.67
25,2010,55.25
25,2015,56.52
27,1985,55.25
27,1990,57.16
27,1995,55.38
27,2000,55.62
27,2005,56.73
27,2010,56.28
27,2015,57.05
29,1985,55.22
29,1990,57.49
29,1995,55.63
29,2000,55.57
29,2005,56.78
29,2010,56.57
29,2015,56.98
31,1985,56.43
31,1990,58.45
31,1995,56.92
31,2000,56.93
31,2005,58.16
31,2010,57.55
31,2015,58.02
33,1985,55.84
33,1990,58.46
33,1995,57.02
33,2000,57.29
33,2005,58.59
33,2010,57.94
33,2015,57.55
35,1985,56.97
35,1990,59.21
35,1995,57.49
35,2000,58.12
35,2005,59.11
35,2010,58.51
35,2015,58.71
37,1985,53.62
37,1990,55.82
37,1995,53.76
37,2000,54.04
37,2005,55.19
37,2010,54.77
37,2015,54.62
39,1985,56.82
39,1990,59.12
39,1995,57.18
39,2000,57.77
39,2005,59.16
39,2010,58.52
39,2015,58.65
41,1985,54.02
41,1990,56.05
41,1995,54.09
41,2000,54.55
41,2005,55.62
41,2010,55.08
41,2015,55.48
43,1985,53.45
43,1990,56.08
43,1995,53.70
43,2000,54.12
43,2005,55.13
43,2010,54.61
43,2015,54.64
45,1985,54.60
45,1990,56.55
45,1995,54.65
45,2000,55.00
45,2005,56.11
45,2010,54.79
45,2015,55.53
47,1985,56.29
47,1990,58.67
47,1995,57.26
47,2000,57.37
47,2005,58.63
47,2010,58.00
47,2015,58.17
49,1985,54.12
49,1990,56.49
49,1995,54.46
49,2000,54.67
49,2005,55.88
49,2010,54.99
49,2015,55.53
51,1985,54.84
51,1990,56.88
51,1995,54.72
51,2000,55.31
51,2005,56.09
51,2010,54.88
51,2015,56.70
53,1985,55.61
53,1990,57.66
53,1995,55.61
53,2000,55.96
53,2005,57.07
53,2010,55.93
53,2015,57.47
55,1985,55.60
55,1990,58.08
55,1995,56.59
55,2000,56.90
55,2005,58.35
55,2010,57.67
55,2015,57.41
57,1985,56.52
57,1990,58.53
57,1995,56.49
57,2000,56.77
57,2005,57.51
57,2010,56.64
57,2015,57.87
59,1985,55.75
59,1990,57.99
59,1995,56.37
59,2000,56.40
59,2005,57.87
59,2010,57.29
59,2015,57.44
61,1985,56.35
61,1990,58.24
61,1995,56.56
61,2000,56.86
61,2005,57.82
61,2010,57.28
61,2015,58.10
63,1985,53.64
63,1990,56.31
63,1995,54.02
63,2000,54.36
63,2005,55.45
63,2010,54.76
63,2015,54.79
65,1985,54.88
65,1990,57.12
65,1995,55.12
65,2000,55.45
65,2005,56.47
65,2010,55.34
65,2015,56.00
67,1985,53.69
67,1990,56.07
67,1995,54.08
67,2000,54.36
67,2005,55.68
67,2010,54.91
67,2015,55.43
69,1985,53.82
69,1990,56.18
69,1995,53.98
69,2000,54.20
69,2005,55.25
69,2010,54.71
