county,year,precip
1,1985,67.83
1,1990,54.49
1,1995,70.62
1,2000,42.45
1,2005,47.93
1,2010,45.17
1,2015,69.45
3,1985,70.65
3,1990,55.84
3,1995,72.97
3,2000,44.60
3,2005,46.14
3,2010,43.03
3,2015,63.95
5,1985,62.40
5,1990,56.82
5,1995,71.73
5,2000,47.51
5,2005,51.98
5,2010,50.63
5,2015,75.91
7,1985,64.21
7,1990,57.99
7,1995,64.96
7,2000,46.62
7,2005,52.17
7,2010,49.09
7,2015,74.15
9,1985,63.38
9,1990,57.95
9,1995,69.03
9,2000,43.55
9,2005,50.87
9,2010,47.45
9,2015,68.31
11,1985,64.15
11,1990,58.39
11,1995,70.19
11,2000,48.82
11,2005,47.58
11,2010,39.32
11,2015,61.90
13,1985,54.63
13,1990,64.41
13,1995,54.45
13,2000,53.58
13,2005,41.29
13,2010,32.88
13,2015,68.01
15,1985,49.39
15,1990,63.60
15,1995,45.53
15,2000,58.07
15,2005,33.71
15,2010,31.77
15,2015,67.73
17,1985,46.77
17,1990,62.68
17,1995,44.42
17,2000,56.44
17,2005,32.80
17,2010,32.05
17,2015,66.51
19,1985,62.60
19,1990,56.55
19,1995,65.84
19,2000,47.54
19,2005,46.99
19,2010,39.27
19,2015,67.31
21,1985,55.38
21,1990,64.43
21,1995,53.28
21,2000,49.04
21,2005,36.37
21,2010,31.43
21,2015,62.41
23,1985,59.78
23,1990,56.06
23,1995,65.13
23,2000,47.84
23,2005,46.01
23,2010,41.49
23,2015,68.53
25,1985,61.61
25,1990,59.86
25,1995,61.59
25,2000,47.91
25,2005,44.55
25,2010,40.97
25,2015,63.81
27,1985,55.33
27,1990,65.46
27,1995,47.10
27,2000,61.56
27,2005,33.73
27,2010,34.77
27,2015,66.97
29,1985,62.52
29,1990,58.74
29,1995,63.82
29,2000,47.75
29,2005,43.23
29,2010,44.65
29,2015,63.20
31,1985,50.41
31,1990,65.12
31,1995,51.06
31,2000,52.15
31,2005,36.68
31,2010,31.09
31,2015,69.27
33,1985,62.63
33,1990,60.10
33,1995,76.47
33,2000,43.03
33,2005,50.40
33,2010,51.59
33,2015,73.70
35,1985,49.23
35,1990,65.36
35,1995,51.60
35,2000,50.11
35,2005,40.73
35,2010,31.82
35,2015,60.36
37,1985,63.87
37,1990,64.35
37,1995,74.56
37,2000,44.09
37,2005,49.06
37,2010,49.86
37,2015,73.18
39,1985,69.73
39,1990,54.44
39,1995,73.75
39,2000,44.47
39,2005,47.81
39,2010,41.79
39,2015,66.91
41,1985,55.59
41,1990,65.28
41,1995,53.91
41,2000,47.50
41,2005,42.32
41,2010,33.63
41,2015,60.67
43,1985,60.49
43,1990,60.62
43,1995,63.31
43,2000,48.04
43,2005,43.03
43,2010,36.41
43,2015,68.71
45,1985,59.92
45,1990,50.03
45,1995,65.68
45,2000,44.57
45,2005,47.24
45,2010,49.33
45,2015,72.75
47,1985,64.40
47,1990,55.90
47,1995,71.59
47,2000,44.24
47,2005,47.59
47,2010,49.49
47,2015,73.90
49,1985,57.04
49,1990,64.35
49,1995,54.40
49,2000,53.07
49,2005,40.74
49,2010,34.14
49,2015,66.02
51,1985,67.01
51,1990,53.72
51,1995,63.32
51,2000,45.75
51,2005,57.82
51,2010,51.45
51,2015,63.38
53,1985,68.88
53,1990,54.39
53,1995,68.36
53,2000,44.86
53,2005,48.00
53,2010,44.29
53,2015,68.62
55,1985,63.91
55,1990,53.27
55,1995,72.23
55,2000,44.19
55,2005,44.91
55,2010,46.00
55,2015,68.83
57,1985,67.80
57,1990,52.65
57,1995,59.47
57,2000,48.85
57,2005,59.42
57,2010,54.82
57,2015,68.02
59,1985,61.57
59,1990,60.93
59,1995,61.89
59,2000,45.57
59,2005,44.57
59,2010,38.18
59,2015,63.67
61,1985,54.77
61,1990,65.30
61,1995,51.35
61,2000,55.04
61,2005,40.25
61,2010,36.27
61,2015,66.36
63,1985,63.54
63,1990,61.70
63,1995,75.00
63,2000,43.54
63,2005,51.06
63,2010,51.71
63,2015,74.55
65,1985,51.66
65,1990,66.95
65,1995,52.47
65,2000,47.36
65,2005,41.56
65,2010,35.06
65,2015,60.82
67,1985,48.72
67,1990,67.90
67,1995,49.97
67,2000,52.33
67,2005,36.68
67,2010,33.50
67,2015,57.01
69,1985,56.50
69,1990,57.80
69,1995,54.95
69,2000,50.28
69,2005,39.86
69,2010,31.24
69,2015,70.59
71,1985,63.79
71,1990,53.95
71,1995,70.29
71,2000,46.24
71,2005,57.71
71,2010,53.48
71,2015,63.86
73,1985,52.44
73,1990,65.91
73,1995,48.32
73,2000,51.28
73,2005,35.08
73,2010,37.25
73,2015,59.83
75,1985,64.60
75,1990,46.80
75,1995,57.32
75,2000,42.21
75,2005,57.13
75,2010,52.63
75,2015,61.82
77,1985,63.84
77,1990,57.05
77,1995,74.69
77,2000,41.27
77,2005,47.98
77,2010,47.20
77,2015,68.77
79,1985,64.04
79,1990,58.81
79,1995,70.54
79,2000,45.90
79,2005,46.19
79,2010,40.45
79,2015,69.52
81,1985,52.02
81,1990,61.39
81,1995,52.31
81,2000,52.22
81,2005,37.84
81,2010,30.05
81,2015,66.83
83,1985,51.04
83,1990,66.76
83,1995,50.42
83,2000,50.41
83,2005,37.67
83,2010,32.49
83,2015,58.42
85,1985,52.09
85,1990,58.90
85,1995,55.21
85,2000,49.04
85,2005,38.70
85,2010,32.41
85,2015,70.51
87,1985,65.77
87,1990,50.28
87,1995,61.09
87,2000,40.37
87,2005,58.70
87,2010,52.41
87,2015,60.53
89,1985,66.27
89,1990,58.36
89,1995,65.47
89,2000,46.60
89,2005,57.77
89,2010,53.98
89,2015,66.79
91,1985,65.94
91,1990,66.38
91,1995,74.73
91,2000,44.18
91,2005,49.97
91,2010,51.61
91,2015,74.52
93,1985,63.04
93,1990,58.24
93,1995,69.58
93,2000,45.80
93,2005,55.47
93,2010,53.39
93,2015,74.27
95,1985,64.67
95,1990,58.08
95,1995,70.38
95,2000,45.86
95,2005,58.32
95,2010,51.71
95,2015,73.00
97,1985,66.57
97,1990,56.18
97,1995,70.55
97,2000,43.99
97,2005,45.46
97,2010,44.13
97,2015,66.77
99,1985,65.82
99,1990,53.75
99,1995,70.17
99,2000,45.18
99,2005,46.49
99,2010,47.14
99,2015,71.48
101,1985,64.31
101,1990,52.32
101,1995,62.56
101,2000,45.51
101,2005,49.53
101,2010,47.12
101,2015,72.35
103,1985,62.61
103,1990,56.55
103,1995,78.61
103,2000,42.83
103,2005,56.45
103,2010,49.23
103,2015,68.33
105,1985,62.56
105,1990,62.56
105,1995,73.63
105,2000,44.04
105,2005,52.29
105,2010,50.14
105,2015,73.56
107,1985,59.49
107,1990,62.43
107,1995,55.89
107,2000,47.14
107,2005,43.04
107,2010,39.87
107,2015,60.48
109,1985,68.01
109,1990,53.29
109,1995,59.14
109,2000,49.48
109,2005,55.11
109,2010,48.77
109,2015,68.03
111,1985,51.21
111,1990,67.25
111,1995,49.28
111,2000,53.53
111,2005,36.13
111,2010,38.79
111,2015,61.31
113,1985,62.56
113,1990,48.92
113,1995,65.43
113,2000,42.13
113,2005,42.53
113,2010,48.14
113,2015,69.17
115,1985,62.17
115,1990,55.95
115,1995,69.33
115,2000,49.49
115,2005,45.84
115,2010,35.89
115,2015,69.72
117,1985,59.11
117,1990,61.28
117,1995,70.08
117,2000,42.50
117,2005,51.07
117,2010,51.50
117,2015,70.59
119,1985,54.63
119,1990,63.67
119,1995,48.66
119,2000,59.95
119,2005,33.70
119,2010,32.36
119,2015,68.18
121,1985,61.73
121,1990,59.03
