county,year,temp
1,1985,68.04
1,1990,69.33
1,1995,68.33
1,2000,68.77
1,2005,68.82
1,2010,67.40
1,2015,69.26
3,1985,67.23
3,1990,68.62
3,1995,67.55
3,2000,67.94
3,2005,68.05
3,2010,66.92
3,2015,67.80
5,1985,67.53
5,1990,69.21
5,1995,67.98
5,2000,68.48
5,2005,68.69
5,2010,67.15
5,2015,69.85
7,1985,68.01
7,1990,69.64
7,1995,68.52
7,2000,68.98
7,2005,69.11
7,2010,67.63
7,2015,70.49
9,1985,66.71
9,1990,68.14
9,1995,66.85
9,2000,67.19
9,2005,67.58
9,2010,66.63
9,2015,67.88
11,1985,66.67
11,1990,68.01
11,1995,67.04
11,2000,67.60
11,2005,67.81
11,2010,66.88
11,2015,67.84
13,1985,63.82
13,1990,65.35
13,1995,64.58
13,2000,64.77
13,2005,65.34
13,2010,64.71
13,2015,66.03
15,1985,64.02
15,1990,65.60
15,1995,64.62
15,2000,65.17
15,2005,65.94
15,2010,65.10
15,2015,65.68
17,1985,64.46
17,1990,66.08
17,1995,65.17
17,2000,65.70
17,2005,66.38
17,2010,65.53
17,2015,66.03
19,1985,67.53
19,1990,68.75
19,1995,68.13
19,2000,68.48
19,2005,68.72
19,2010,67.86
19,2015,69.05
21,1985,64.66
21,1990,66.29
21,1995,65.30
21,2000,65.78
21,2005,66.07
21,2010,65.47
21,2015,66.17
23,1985,68.27
23,1990,69.50
23,1995,68.71
23,2000,69.09
23,2005,69.29
23,2010,68.24
23,2015,69.67
25,1985,65.64
25,1990,67.19
25,1995,65.90
25,2000,66.41
25,2005,66.65
25,2010,65.88
25,2015,67.12
27,1985,63.20
27,1990,64.83
27,1995,63.65
27,2000,64.07
27,2005,64.78
27,2010,63.88
27,2015,64.59
29,1985,66.07
29,1990,67.57
29,1995,66.11
29,2000,66.64
29,2005,66.87
29,2010,65.98
29,2015,67.38
31,1985,64.49
31,1990,66.03
31,1995,65.32
31,2000,65.92
31,2005,66.26
31,2010,65.50
31,2015,66.18
33,1985,66.99
33,1990,68.62
33,1995,67.26
33,2000,67.82
33,2005,68.10
33,2010,66.64
33,2015,68.96
35,1985,64.20
35,1990,66.07
35,1995,64.67
35,2000,64.98
35,2005,65.68
35,2010,64.83
35,2015,66.36
37,1985,66.08
37,1990,67.73
37,1995,66.31
37,2000,66.89
37,2005,67.12
37,2010,65.75
37,2015,68.18
39,1985,67.28
39,1990,68.67
39,1995,67.58
39,2000,67.91
39,2005,68.08
39,2010,66.78
39,2015,68.19
41,1985,64.70
41,1990,66.59
41,1995,65.39
41,2000,65.96
41,2005,66.32
41,2010,65.68
41,2015,66.82
43,1985,65.52
43,1990,66.97
43,1995,66.02
43,2000,66.53
43,2005,66.69
43,2010,66.16
43,2015,67.07
45,1985,68.39
45,1990,69.55
45,1995,68.56
45,2000,68.91
45,2005,69.32
45,2010,67.63
45,2015,70.06
47,1985,67.62
47,1990,69.14
47,1995,67.88
47,2000,68.43
47,2005,68.67
47,2010,67.20
47,2015,69.51
49,1985,63.87
49,1990,65.54
49,1995,64.58
49,2000,64.82
49,2005,65.23
49,2010,64.67
49,2015,65.77
51,1985,68.90
51,1990,70.33
51,1995,69.33
51,2000,69.87
51,2005,70.00
51,2010,68.12
51,2015,70.92
53,1985,68.04
53,1990,69.27
53,1995,68.34
53,2000,68.78
53,2005,68.89
53,2010,67.70
53,2015,68.92
55,1985,68.02
55,1990,69.33
55,1995,68.32
55,2000,68.61
55,2005,68.91
55,2010,67.35
55,2015,69.62
57,1985,69.18
57,1990,70.45
57,1995,69.38
57,2000,69.99
57,2005,70.07
57,2010,68.14
57,2015,71.18
59,1985,65.47
59,1990,66.92
59,1995,65.88
59,2000,66.38
59,2005,66.42
59,2010,65.81
59,2015,66.93
61,1985,63.46
61,1990,65.15
61,1995,64.08
61,2000,64.33
61,2005,64.96
61,2010,64.23
61,2015,65.27
63,1985,67.01
63,1990,68.57
63,1995,67.38
63,2000,67.90
63,2005,68.14
63,2010,66.61
63,2015,69.11
65,1985,64.43
65,1990,66.35
65,1995,65.08
65,2000,65.48
65,2005,65.88
65,2010,65.31
65,2015,67.46
67,1985,63.94
67,1990,65.70
67,1995,64.52
67,2000,64.74
67,2005,65.64
67,2010,64.55
67,2015,65.17
69,1985,65.25
69,1990,66.63
69,1995,65.92
69,2000,66.38
69,2005,66.44
69,2010,66.10
69,2015,67.21
71,1985,68.17
71,1990,69.56
71,1995,68.57
71,2000,68.97
71,2005,69.14
71,2010,67.60
71,2015,70.41
73,1985,64.23
73,1990,66.03
73,1995,64.94
73,2000,65.28
73,2005,65.78
73,2010,65.04
73,2015,65.35
75,1985,69.11
75,1990,70.42
75,1995,69.34
75,2000,69.99
75,2005,70.05
75,2010,68.59
75,2015,71.66
77,1985,67.09
77,1990,68.52
77,1995,67.27
77,2000,67.83
77,2005,67.97
77,2010,66.89
77,2015,68.75
79,1985,66.33
79,1990,67.65
79,1995,66.66
79,2000,67.05
79,2005,67.37
79,2010,66.44
79,2015,67.69
81,1985,64.40
81,1990,65.94
81,1995,65.36
81,2000,65.64
81,2005,65.97
81,2010,65.49
81,2015,66.59
83,1985,64.53
83,1990,66.34
83,1995,65.14
83,2000,65.54
83,2005,66.12
83,2010,65.41
83,2015,66.07
85,1985,65.00
85,1990,66.37
85,1995,65.73
85,2000,66.29
85,2005,66.19
85,2010,65.70
85,2015,66.78
87,1985,68.22
87,1990,69.59
87,1995,68.59
87,2000,69.15
87,2005,69.24
87,2010,67.66
87,2015,70.48
89,1985,68.64
89,1990,70.11
89,1995,69.08
89,2000,69.55
89,2005,69.69
89,2010,67.95
89,2015,70.64
91,1985,65.76
91,1990,67.46
91,1995,66.10
91,2000,66.65
91,2005,66.93
91,2010,65.53
91,2015,68.22
93,1985,67.97
93,1990,69.60
93,1995,68.44
93,2000,68.82
93,2005,69.00
93,2010,67.47
93,2015,70.33
95,1985,68.02
95,1990,69.52
95,1995,68.50
95,2000,68.93
95,2005,69.04
95,2010,67.47
95,2015,70.17
97,1985,67.44
97,1990,68.71
97,1995,67.65
97,2000,68.02
97,2005,68.27
97,2010,66.93
97,2015,68.76
99,1985,67.95
99,1990,69.30
99,1995,68.27
99,2000,68.63
99,2005,68.98
99,2010,67.37
99,2015,69.74
101,1985,68.40
101,1990,69.70
101,1995,68.83
101,2000,69.26
101,2005,69.43
101,2010,67.97
101,2015,70.38
103,1985,67.02
103,1990,68.37
103,1995,67.17
103,2000,67.57
103,2005,67.79
103,2010,66.36
103,2015,69.13
105,1985,66.34
105,1990,67.85
105,1995,66.62
105,2000,67.25
105,2005,67.48
105,2010,65.94
105,2015,68.75
107,1985,64.58
107,1990,66.82
107,1995,65.45
107,2000,66.10
107,2005,66.07
107,2010,65.45
107,2015,67.34
109,1985,69.11
109,1990,70.47
109,1995,69.51
109,2000,70.07
109,2005,70.11
109,2010,68.51
109,2015,71.32
111,1985,63.55
111,1990,65.33
111,1995,64.16
111,2000,64.37
111,2005,65.18
111,2010,64.24
111,2015,64.92
113,1985,68.58
113,1990,69.65
113,1995,68.65
113,2000,68.98
113,2005,69.20
113,2010,68.02
113,2015,70.20
115,1985,65.83
115,1990,67.22
115,1995,66.17
115,2000,66.77
115,2005,66.88
115,2010,66.21
115,2015,67.31
117,1985,66.02
117,1990,67.36
117,1995,66.11
117,2000,66.67
117,2005,66.93
117,2010,65.47
117,2015,68.09
119,1985,63.62
119,1990,65.13
119,1995,64.17
119,2000,64.62
119,2005,65.47
119,2010,64.62
119,2015,65.24
121,1985,67.33
121,1990,68.92
121,1995,67.48
121,2000,68.12
121,2005,68.32
121,2010,67.01
121,2015,69.12
123,1985,64.09
123,1990,65.96
123,1995,64.63
123,2000,64.85
123,2005,65.61
123,2010,64.71
123,2015,65.88
125,1985,66.49
125,1990,67.97
125,1995,66.70
125,2000,67.32
125,2005,67.41
125,2010,66.34
125,2015,68.30
127,1985,64.72
127,1990,66.26
127,1995,65.35
127,2000,65.72
127,2005,65.99
127,2010,65.53
127,2015,66.58
