county,year,precip
1,1985,35.49
1,1990,53.79
1,1995,42.56
1,2000,45.76
1,2005,63.41
1,2010,54.06
1,2015,42.67
3,1985,32.15
3,1990,46.87
3,1995,37.77
3,2000,39.20
3,2005,56.32
3,2010,42.45
3,2015,38.90
5,1985,35.56
5,1990,51.71
5,1995,43.54
5,2000,46.54
5,2005,68.36
5,2010,55.11
5,2015,43.39
7,1985,39.05
7,1990,53.18
7,1995,47.36
7,2000,47.38
7,2005,61.19
7,2010,52.66
7,2015,44.26
9,1985,38.53
9,1990,53.53
9,1995,46.74
9,2000,43.74
9,2005,65.68
9,2010,53.67
9,2015,45.68
11,1985,33.25
11,1990,53.75
11,1995,41.63
11,2000,45.94
11,2005,64.36
11,2010,51.50
11,2015,42.61
13,1985,36.24
13,1990,51.65
13,1995,45.09
13,2000,46.22
13,2005,70.07
13,2010,62.09
13,2015,45.16
15,1985,33.79
15,1990,52.20
15,1995,43.66
15,2000,45.80
15,2005,69.39
15,2010,57.46
15,2015,42.71
17,1985,36.20
17,1990,52.97
17,1995,44.24
17,2000,46.97
17,2005,61.12
17,2010,52.57
17,2015,44.28
19,1985,34.18
19,1990,51.09
19,1995,40.44
19,2000,41.08
19,2005,64.44
19,2010,47.10
19,2015,44.30
21,1985,36.14
21,1990,52.53
21,1995,41.96
21,2000,42.26
21,2005,60.77
21,2010,47.32
21,2015,44.49
23,1985,34.50
23,1990,53.43
23,1995,43.83
23,2000,45.59
23,2005,70.35
23,2010,55.64
23,2015,42.23
25,1985,37.28
25,1990,51.19
25,1995,45.08
25,2000,43.83
25,2005,56.90
25,2010,47.81
25,2015,43.10
27,1985,36.67
27,1990,51.45
27,1995,42.85
27,2000,43.83
27,2005,68.01
27,2010,55.81
27,2015,43.57
29,1985,37.62
29,1990,53.98
29,1995,47.38
29,2000,43.66
29,2005,66.31
29,2010,55.24
29,2015,47.67
31,1985,36.90
31,1990,49.98
31,1995,45.46
31,2000,49.27
31,2005,67.57
31,2010,56.64
31,2015,41.56
