county,year,temp
1,1985,43.27
1,1990,45.69
1,1995,44.23
1,2000,43.79
1,2005,44.78
1,2010,47.35
1,2015,44.61
3,1985,37.27
3,1990,39.60
3,1995,38.45
3,2000,38.68
3,2005,39.71
3,2010,42.83
3,2015,38.88
5,1985,44.18
5,1990,46.51
5,1995,44.90
5,2000,44.62
5,2005,45.34
5,2010,48.07
5,2015,45.23
7,1985,38.30
7,1990,40.93
7,1995,39.47
7,2000,39.21
7,2005,40.23
7,2010,42.63
7,2015,39.44
9,1985,42.90
9,1990,45.26
9,1995,43.73
9,2000,43.88
9,2005,44.52
9,2010,47.27
9,2015,43.65
11,1985,42.93
11,1990,45.60
11,1995,43.83
11,2000,43.59
11,2005,44.44
11,2010,47.24
11,2015,44.05
13,1985,43.52
13,1990,45.94
13,1995,44.44
13,2000,44.31
13,2005,44.63
13,2010,47.15
13,2015,43.99
15,1985,43.78
15,1990,46.12
15,1995,44.63
15,2000,44.38
15,2005,44.96
15,2010,47.55
15,2015,44.68
17,1985,40.47
17,1990,43.07
17,1995,41.70
17,2000,41.12
17,2005,42.28
17,2010,44.53
17,2015,41.72
19,1985,40.94
19,1990,43.35
19,1995,41.77
19,2000,41.89
19,2005,42.82
19,2010,45.83
19,2015,42.18
21,1985,38.11
21,1990,40.68
21,1995,39.12
21,2000,39.03
21,2005,40.08
21,2010,42.94
21,2015,39.62
23,1985,44.03
23,1990,46.42
23,1995,44.98
23,2000,44.61
23,2005,45.25
23,2010,48.08
23,2015,45.23
25,1985,38.17
25,1990,40.91
25,1995,39.41
25,2000,39.21
25,2005,40.23
25,2010,42.86
25,2015,39.79
27,1985,42.74
27,1990,45.25
27,1995,43.52
27,2000,43.56
27,2005,44.18
27,2010,46.95
27,2015,43.32
29,1985,41.98
29,1990,44.52
29,1995,42.95
29,2000,43.45
29,2005,44.07
29,2010,46.70
29,2015,43.12
31,1985,44.96
31,1990,47.28
31,1995,45.60
31,2000,45.57
31,2005,46.02
31,2010,48.64
31,2015,45.47
