county,year,precip
1,1985,39.67
1,1990,41.51
1,1995,38.03
1,2000,36.55
1,2005,36.75
1,2010,36.74
1,2015,39.53
3,1985,39.15
3,1990,46.25
3,1995,40.14
3,2000,45.84
3,2005,44.71
3,2010,42.72
3,2015,48.36
5,1985,39.39
5,1990,50.83
5,1995,41.07
5,2000,43.70
5,2005,49.88
5,2010,43.49
5,2015,48.70
9,1985,43.68
9,1990,49.44
9,1995,40.10
9,2000,47.21
9,2005,44.33
9,2010,41.62
9,2015,50.04
11,1985,38.30
11,1990,45.18
11,1995,39.54
11,2000,45.92
11,2005,46.11
11,2010,44.28
11,2015,46.02
13,1985,38.14
13,1990,44.95
13,1995,40.85
13,2000,41.80
13,2005,45.68
13,2010,40.23
13,2015,46.18
15,1985,38.92
15,1990,48.54
15,1995,40.54
15,2000,45.53
15,2005,44.85
15,2010,44.95
15,2015,48.64
17,1985,41.50
17,1990,45.49
17,1995,39.47
17,2000,45.21
17,2005,41.57
17,2010,39.05
17,2015,46.58
19,1985,40.97
19,1990,45.31
19,1995,39.16
19,2000,46.78
19,2005,43.39
19,2010,41.46
19,2015,47.74
21,1985,37.73
21,1990,45.40
21,1995,37.67
21,2000,42.81
21,2005,41.56
21,2010,38.21
21,2015,43.64
23,1985,52.33
23,1990,50.84
23,1995,42.08
23,2000,43.01
23,2005,43.33
23,2010,43.67
23,2015,47.30
25,1985,40.09
25,1990,51.18
25,1995,42.21
25,2000,44.81
25,2005,47.85
25,2010,43.33
25,2015,49.69
27,1985,39.28
27,1990,47.39
27,1995,41.76
27,2000,41.46
27,2005,46.47
27,2010,41.63
27,2015,49.68
29,1985,37.46
29,1990,47.43
29,1995,41.14
29,2000,46.35
29,2005,44.77
29,2010,45.81
29,2015,49.09
31,1985,37.37
31,1990,47.16
31,1995,39.85
31,2000,40.61
31,2005,43.60
31,2010,38.83
31,2015,45.24
33,1985,39.29
33,1990,46.56
33,1995,41.81
33,2000,44.04
33,2005,44.21
33,2010,40.11
33,2015,46.68
35,1985,37.23
35,1990,47.70
35,1995,40.94
35,2000,46.68
35,2005,44.86
35,2010,46.51
35,2015,47.09
37,1985,41.24
37,1990,49.08
37,1995,38.15
37,2000,47.31
37,2005,44.19
37,2010,41.18
37,2015,50.18
39,1985,43.41
39,1990,40.94
39,1995,36.51
39,2000,44.50
39,2005,43.82
39,2010,38.56
39,2015,49.17
41,1985,39.32
41,1990,48.52
41,1995,40.14
41,2000,44.77
41,2005,46.08
41,2010,45.95
41,2015,47.66
43,1985,38.23
43,1990,42.72
43,1995,35.89
43,2000,39.89
43,2005,36.40
43,2010,32.51
43,2015,35.00
45,1985,42.59
45,1990,40.26
45,1995,37.42
45,2000,45.37
45,2005,44.53
45,2010,38.52
45,2015,49.56
47,1985,45.78
47,1990,40.49
47,1995,36.07
47,2000,43.63
47,2005,44.88
47,2010,37.01
47,2015,50.18
510,1985,39.01
510,1990,49.44
510,1995,38.09
510,2000,43.44
510,2005,49.76
510,2010,44.38
510,2015,49.20
511,1985,37.28
511,1990,45.75
511,1995,40.68
511,2000,41.26
511,2005,44.69
511,2010,38.97
511,2015,44.72
