county,year,temp
1,1985,51.84
1,1990,53.51
1,1995,51.34
1,2000,51.75
1,2005,52.63
1,2010,52.73
1,2015,52.55
3,1985,56.60
3,1990,58.39
3,1995,56.06
3,2000,55.71
3,2005,56.84
3,2010,57.65
3,2015,57.22
5,1985,54.19
5,1990,56.01
5,1995,53.76
5,2000,53.51
5,2005,54.75
5,2010,55.61
5,2015,54.84
9,1985,56.78
9,1990,58.38
9,1995,56.14
9,2000,55.87
9,2005,56.70
9,2010,57.51
9,2015,57.10
11,1985,55.42
11,1990,57.47
11,1995,55.57
11,2000,55.09
11,2005,56.14
11,2010,56.87
11,2015,56.30
13,1985,52.86
13,1990,54.72
13,1995,52.25
13,2000,52.18
13,2005,53.43
13,2010,54.22
13,2015,53.55
15,1985,54.50
15,1990,56.12
15,1995,54.27
15,2000,53.95
15,2005,55.02
15,2010,55.97
15,2015,54.95
17,1985,56.81
17,1990,58.42
17,1995,56.26
17,2000,56.07
17,2005,57.01
17,2010,57.73
17,2015,57.87
19,1985,56.67
19,1990,58.53
19,1995,56.51
19,2000,55.93
19,2005,57.04
19,2010,57.67
19,2015,57.15
21,1985,53.18
21,1990,55.26
21,1995,52.78
21,2000,52.81
21,2005,54.01
21,2010,54.68
21,2015,54.01
23,1985,47.39
23,1990,49.61
23,1995,47.12
23,2000,47.51
23,2005,48.40
23,2010,47.88
23,2015,48.46
25,1985,54.48
25,1990,55.98
25,1995,54.14
25,2000,53.84
25,2005,54.94
25,2010,55.85
25,2015,54.52
27,1985,54.07
27,1990,56.19
27,1995,53.67
27,2000,53.45
27,2005,54.52
27,2010,55.66
27,2015,54.95
29,1985,55.77
29,1990,57.42
29,1995,55.63
29,2000,54.51
29,2005,55.82
29,2010,56.87
29,2015,56.21
31,1985,54.36
31,1990,56.44
31,1995,54.03
31,2000,53.89
31,2005,54.89
31,2010,55.96
31,2015,55.28
33,1985,56.14
33,1990,57.93
33,1995,55.58
33,2000,55.24
33,2005,56.29
33,2010,57.20
33,2015,56.86
35,1985,55.79
35,1990,57.57
35,1995,55.67
35,2000,54.68
35,2005,55.95
35,2010,56.91
35,2015,56.33
37,1985,57.03
37,1990,58.77
37,1995,56.68
37,2000,56.28
37,2005,57.06
37,2010,57.88
37,2015,57.47
39,1985,57.32
39,1990,58.99
39,1995,57.02
39,2000,56.33
39,2005,57.21
39,2010,57.91
39,2015,58.02
41,1985,56.43
41,1990,58.16
41,1995,56.31
41,2000,55.77
41,2005,56.84
41,2010,57.53
41,2015,56.76
43,1985,52.88
43,1990,54.82
43,1995,52.35
43,2000,52.62
43,2005,53.80
43,2010,54.14
43,2015,53.78
45,1985,56.47
45,1990,58.38
45,1995,56.19
45,2000,55.77
45,2005,56.70
45,2010,57.28
45,2015,57.41
47,1985,56.72
47,1990,58.53
47,1995,56.34
47,2000,55.89
47,2005,56.77
47,2010,57.43
47,2015,57.62
510,1985,56.15
510,1990,58.01
510,1995,55.77
510,2000,55.46
510,2005,56.60
510,2010,57.59
510,2015,56.84
511,1985,56.31
511,1990,58.05
511,1995,55.78
511,2000,55.42
511,2005,56.47
511,2010,57.38
511,2015,57.07
