county,year,precip
1,1985,41.25
1,1990,40.93
1,1995,37.85
1,2000,42.95
1,2005,51.71
1,2010,50.56
1,2015,44.88
3,1985,40.09
3,1990,56.86
3,1995,42.60
3,2000,54.23
3,2005,53.89
3,2010,45.32
3,2015,41.55
5,1985,41.09
5,1990,48.82
5,1995,39.66
5,2000,48.15
5,2005,59.30
5,2010,53.58
5,2015,42.61
7,1985,42.14
7,1990,44.02
7,1995,39.98
7,2000,43.26
7,2005,49.26
7,2010,52.93
7,2015,43.69
9,1985,39.58
9,1990,48.31
9,1995,39.63
9,2000,51.04
9,2005,55.06
9,2010,52.51
9,2015,38.18
11,1985,40.99
11,1990,55.67
11,1995,45.47
11,2000,53.88
11,2005,58.48
11,2010,45.64
11,2015,43.49
13,1985,42.92
13,1990,54.85
13,1995,43.80
13,2000,50.40
13,2005,56.96
13,2010,47.33
13,2015,41.03
15,1985,41.63
15,1990,55.02
15,1995,44.59
15,2000,52.99
15,2005,56.99
15,2010,45.68
15,2015,42.80
17,1985,38.92
17,1990,50.53
17,1995,39.24
17,2000,48.61
17,2005,56.35
17,2010,50.90
17,2015,38.20
19,1985,39.69
19,1990,39.01
19,1995,36.45
19,2000,41.32
19,2005,42.60
19,2010,45.05
19,2015,38.10
21,1985,38.56
21,1990,52.04
21,1995,38.73
21,2000,49.51
21,2005,59.40
21,2010,54.37
21,2015,39.23
23,1985,40.27
23,1990,48.80
23,1995,40.61
23,2000,50.08
23,2005,60.07
23,2010,54.62
23,2015,44.37
25,1985,38.33
25,1990,49.23
25,1995,37.91
25,2000,49.71
25,2005,54.65
25,2010,54.31
25,2015,38.53
27,1985,40.68
27,1990,53.97
27,1995,42.06
27,2000,49.37
27,2005,59.05
27,2010,49.29
27,2015,40.77
