county,year,temp
1,1985,49.45
1,1990,51.42
1,1995,50.09
1,2000,49.77
1,2005,50.25
1,2010,52.29
1,2015,51.12
3,1985,44.44
3,1990,46.99
3,1995,44.90
3,2000,44.44
3,2005,45.67
3,2010,47.40
3,2015,45.61
5,1985,49.44
5,1990,51.78
5,1995,50.00
5,2000,49.88
5,2005,50.50
5,2010,52.44
5,2015,50.73
7,1985,50.14
7,1990,52.01
7,1995,50.77
7,2000,50.21
7,2005,50.73
7,2010,52.79
7,2015,51.37
9,1985,47.73
9,1990,50.09
9,1995,48.28
9,2000,48.30
9,2005,48.82
9,2010,51.12
9,2015,48.89
11,1985,45.64
11,1990,48.12
11,1995,46.17
11,2000,45.78
11,2005,47.13
11,2010,48.75
11,2015,46.69
13,1985,47.12
13,1990,49.86
13,1995,47.65
13,2000,47.09
13,2005,48.35
13,2010,50.28
13,2015,48.18
15,1985,46.53
15,1990,49.14
15,1995,47.04
15,2000,46.53
15,2005,47.98
15,2010,49.57
15,2015,47.52
17,1985,47.81
17,1990,50.15
17,1995,48.41
17,2000,48.25
17,2005,48.93
17,2010,51.16
17,2015,48.95
19,1985,49.28
19,1990,51.06
19,1995,49.95
19,2000,49.47
19,2005,49.93
19,2010,51.78
19,2015,51.01
21,1985,48.71
21,1990,51.02
21,1995,49.21
21,2000,49.10
21,2005,49.65
21,2010,51.73
21,2015,50.03
23,1985,49.42
23,1990,51.66
23,1995,49.93
23,2000,49.82
23,2005,50.23
23,2010,52.38
23,2015,50.85
25,1985,48.98
25,1990,51.32
25,1995,49.52
25,2000,49.42
25,2005,49.93
25,2010,52.22
25,2015,50.57
27,1985,46.37
27,1990,48.90
27,1995,46.92
27,2000,46.79
27,2005,47.65
27,2010,49.68
27,2015,47.63
