county,year,precip
1,1985,34.15
1,1990,34.54
1,1995,28.98
1,2000,28.97
1,2005,29.08
1,2010,27.39
1,2015,26.25
3,1985,37.02
3,1990,27.31
3,1995,34.46
3,2000,29.74
3,2005,29.25
3,2010,38.03
3,2015,33.58
5,1985,39.41
5,1990,43.54
5,1995,32.44
5,2000,45.40
5,2005,30.53
5,2010,36.09
5,2015,34.39
7,1985,33.74
7,1990,31.70
7,1995,27.74
7,2000,25.54
7,2005,28.27
7,2010,27.78
7,2015,25.56
9,1985,41.11
9,1990,36.43
9,1995,36.17
9,2000,29.25
9,2005,32.17
9,2010,29.08
9,2015,32.46
11,1985,38.46
11,1990,36.01
11,1995,28.87
11,2000,31.19
11,2005,29.61
11,2010,28.41
11,2015,30.34
13,1985,43.36
13,1990,29.33
13,1995,33.59
13,2000,30.28
13,2005,32.04
13,2010,33.32
13,2015,28.71
15,1985,39.83
15,1990,43.80
15,1995,32.30
15,2000,45.02
15,2005,31.26
15,2010,33.38
15,2015,34.89
17,1985,39.73
17,1990,37.49
17,1995,28.20
17,2000,31.58
17,2005,30.36
17,2010,26.20
17,2015,31.17
19,1985,43.50
19,1990,39.41
19,1995,36.78
19,2000,30.31
19,2005,27.36
19,2010,30.09
19,2015,32.31
21,1985,39.74
21,1990,51.20
21,1995,35.75
21,2000,41.09
21,2005,30.63
21,2010,34.93
21,2015,35.15
23,1985,40.40
23,1990,44.03
23,1995,33.31
23,2000,40.70
23,2005,31.67
23,2010,37.25
23,2015,35.68
25,1985,42.92
25,1990,43.90
25,1995,31.47
25,2000,43.65
25,2005,27.50
25,2010,34.74
25,2015,35.72
27,1985,39.78
27,1990,49.02
27,1995,35.60
27,2000,42.66
27,2005,32.07
27,2010,34.62
27,2015,37.07
29,1985,40.43
29,1990,35.39
29,1995,34.29
29,2000,26.86
29,2005,31.59
29,2010,28.25
29,2015,32.52
31,1985,37.80
31,1990,32.69
31,1995,34.87
31,2000,23.54
31,2005,28.49
31,2010,28.67
31,2015,30.14
33,1985,38.51
33,1990,34.76
33,1995,41.60
33,2000,24.38
33,2005,26.63
33,2010,31.31
33,2015,30.81
35,1985,38.94
35,1990,36.46
35,1995,29.29
35,2000,31.11
35,2005,30.04
35,2010,28.28
35,2015,30.83
37,1985,39.06
37,1990,38.10
37,1995,28.83
37,2000,35.86
37,2005,30.39
37,2010,27.71
37,2015,32.26
39,1985,38.32
39,1990,35.47
39,1995,33.69
39,2000,28.23
39,2005,31.29
39,2010,27.33
39,2015,31.36
41,1985,33.22
41,1990,28.96
41,1995,29.10
41,2000,29.28
41,2005,26.22
41,2010,35.30
41,2015,30.23
43,1985,37.11
43,1990,29.13
43,1995,33.42
43,2000,30.77
43,2005,28.06
43,2010,36.42
43,2015,31.31
45,1985,39.97
45,1990,40.76
45,1995,29.50
45,2000,40.83
45,2005,28.39
45,2010,32.05
45,2015,34.42
47,1985,40.96
47,1990,32.79
47,1995,33.67
47,2000,24.95
47,2005,29.63
47,2010,29.73
47,2015,32.53
49,1985,38.94
49,1990,35.09
49,1995,27.30
49,2000,37.10
49,2005,30.13
49,2010,27.96
49,2015,30.06
51,1985,38.06
51,1990,36.39
51,1995,28.00
51,2000,30.89
51,2005,30.31
51,2010,28.08
51,2015,29.95
53,1985,40.60
53,1990,30.40
53,1995,35.13
53,2000,31.46
53,2005,34.02
53,2010,36.80
53,2015,33.48
55,1985,41.11
55,1990,35.76
55,1995,36.71
55,2000,29.73
55,2005,26.90
55,2010,29.57
55,2015,30.14
57,1985,37.38
57,1990,37.32
57,1995,28.65
57,2000,35.30
57,2005,31.05
57,2010,28.33
57,2015,31.30
59,1985,37.51
59,1990,42.42
59,1995,33.15
59,2000,41.92
59,2005,32.06
59,2010,36.63
59,2015,34.15
