county,year,temp
1,1985,42.68
1,1990,44.70
1,1995,43.01
1,2000,44.05
1,2005,44.98
1,2010,46.12
1,2015,44.29
3,1985,39.85
3,1990,41.81
3,1995,40.99
3,2000,41.63
3,2005,43.03
3,2010,44.28
3,2015,40.97
5,1985,47.82
5,1990,49.55
5,1995,48.06
5,2000,48.89
5,2005,49.64
5,2010,50.44
5,2015,49.05
7,1985,42.52
7,1990,44.51
7,1995,42.98
7,2000,44.01
7,2005,44.96
7,2010,46.27
7,2015,44.32
9,1985,42.83
9,1990,44.86
9,1995,43.64
9,2000,44.68
9,2005,45.67
9,2010,46.66
9,2015,44.29
11,1985,44.47
11,1990,46.49
11,1995,45.02
11,2000,46.09
11,2005,46.75
11,2010,48.30
11,2015,46.05
13,1985,37.69
13,1990,40.67
13,1995,39.34
13,2000,40.09
13,2005,41.40
13,2010,42.55
13,2015,39.63
15,1985,47.27
15,1990,48.92
15,1995,47.22
15,2000,47.91
15,2005,48.72
15,2010,49.50
15,2015,48.18
17,1985,45.88
17,1990,47.92
17,1995,46.14
17,2000,47.15
17,2005,47.76
17,2010,49.20
17,2015,47.96
19,1985,43.22
19,1990,45.12
19,1995,44.07
19,2000,45.37
19,2005,46.68
19,2010,47.32
19,2015,45.46
21,1985,48.42
21,1990,50.47
21,1995,48.99
21,2000,49.34
21,2005,50.39
21,2010,51.02
21,2015,49.39
23,1985,48.06
23,1990,49.71
23,1995,47.78
23,2000,48.07
23,2005,49.23
23,2010,49.88
23,2015,48.49
25,1985,47.40
25,1990,49.10
25,1995,47.36
25,2000,47.81
25,2005,48.82
25,2010,49.69
25,2015,48.36
27,1985,47.98
27,1990,49.81
27,1995,48.36
27,2000,48.76
27,2005,49.78
27,2010,50.33
27,2015,48.92
29,1985,42.67
29,1990,44.63
29,1995,43.68
29,2000,44.65
29,2005,45.61
29,2010,46.64
29,2015,44.02
31,1985,41.81
31,1990,43.89
31,1995,42.72
31,2000,43.70
31,2005,44.70
31,2010,45.70
31,2015,43.19
33,1985,39.15
33,1990,41.55
33,1995,40.61
33,2000,41.36
33,2005,42.61
33,2010,43.75
33,2015,40.68
35,1985,43.38
35,1990,45.47
35,1995,44.12
35,2000,45.09
35,2005,45.93
35,2010,47.19
35,2015,45.52
37,1985,46.78
37,1990,48.81
37,1995,46.81
37,2000,47.48
37,2005,48.53
37,2010,49.38
37,2015,47.83
39,1985,42.05
39,1990,44.03
39,1995,42.57
39,2000,43.59
39,2005,44.67
39,2010,45.72
39,2015,43.38
41,1985,40.55
41,1990,42.72
41,1995,41.88
41,2000,42.62
41,2005,44.10
41,2010,45.31
41,2015,42.21
43,1985,38.84
43,1990,41.45
43,1995,40.39
43,2000,40.88
43,2005,42.57
43,2010,43.75
43,2015,41.72
45,1985,46.90
45,1990,48.75
45,1995,46.92
45,2000,47.57
45,2005,48.53
45,2010,49.30
45,2015,47.96
47,1985,41.71
47,1990,43.63
47,1995,42.80
47,2000,43.64
47,2005,44.86
47,2010,45.72
47,2015,43.25
49,1985,46.33
49,1990,48.51
49,1995,46.53
