county,year,precip
1,1985,33.54
1,1990,28.51
1,1995,29.93
1,2000,28.43
1,2005,31.99
1,2010,31.31
1,2015,29.86
3,1985,35.52
3,1990,35.18
3,1995,34.32
3,2000,27.31
3,2005,36.67
3,2010,35.52
3,2015,34.98
5,1985,31.90
5,1990,20.03
5,1995,24.95
5,2000,28.52
5,2005,28.55
5,2010,33.02
5,2015,26.13
7,1985,28.39
7,1990,18.64
7,1995,26.43
7,2000,28.87
7,2005,26.05
7,2010,27.71
7,2015,24.77
9,1985,33.65
9,1990,34.24
9,1995,29.48
9,2000,24.18
9,2005,34.35
9,2010,36.03
9,2015,32.92
11,1985,24.84
11,1990,21.44
11,1995,31.92
11,2000,24.13
11,2005,27.31
11,2010,30.12
11,2015,23.37
13,1985,31.43
13,1990,34.48
13,1995,30.86
13,2000,33.45
13,2005,38.59
13,2010,42.04
13,2015,36.77
15,1985,31.72
15,1990,30.25
15,1995,33.41
15,2000,29.06
15,2005,34.64
15,2010,37.61
15,2015,29.69
17,1985,32.25
17,1990,32.74
17,1995,31.47
17,2000,27.69
17,2005,31.70
17,2010,33.58
17,2015,30.79
19,1985,34.65
19,1990,33.78
19,1995,30.46
19,2000,26.07
19,2005,37.78
19,2010,36.01
19,2015,34.49
21,1985,32.16
21,1990,22.54
21,1995,31.22
21,2000,29.10
21,2005,29.59
21,2010,29.88
21,2015,27.46
23,1985,29.05
23,1990,28.20
23,1995,31.48
23,2000,22.67
23,2005,33.69
23,2010,35.62
23,2015,27.40
25,1985,34.67
25,1990,34.35
25,1995,38.24
25,2000,26.75
25,2005,34.40
25,2010,36.06
25,2015,34.82
27,1985,24.43
27,1990,17.09
27,1995,24.89
27,2000,31.48
27,2005,31.33
27,2010,32.15
27,2015,21.70
29,1985,30.20
29,1990,18.37
29,1995,27.35
29,2000,28.79
29,2005,24.98
29,2010,29.13
29,2015,24.78
31,1985,32.68
31,1990,31.05
31,1995,28.31
31,2000,28.32
31,2005,30.51
31,2010,28.29
31,2015,36.23
33,1985,33.37
33,1990,26.35
33,1995,33.32
33,2000,28.20
33,2005,39.45
33,2010,38.78
33,2015,33.70
35,1985,33.34
35,1990,25.19
35,1995,32.28
35,2000,27.62
35,2005,31.19
35,2010,31.19
35,2015,26.66
37,1985,31.12
37,1990,33.57
37,1995,30.35
37,2000,31.26
