county,year,temp
1,1985,37.59
1,1990,40.98
1,1995,38.93
1,2000,40.93
1,2005,42.12
1,2010,42.42
1,2015,42.33
3,1985,41.87
3,1990,45.73
3,1995,43.34
3,2000,44.66
3,2005,46.19
3,2010,45.75
3,2015,46.47
5,1985,37.17
5,1990,41.31
5,1995,38.73
5,2000,40.38
5,2005,41.71
5,2010,41.58
5,2015,42.70
7,1985,35.67
7,1990,39.63
7,1995,37.38
7,2000,39.18
7,2005,40.56
7,2010,40.89
7,2015,41.32
9,1985,40.13
9,1990,43.77
9,1995,41.70
9,2000,43.01
9,2005,44.73
9,2010,44.35
9,2015,44.78
11,1985,40.88
11,1990,44.94
11,1995,42.45
11,2000,43.67
11,2005,45.42
11,2010,43.80
11,2015,46.08
13,1985,42.87
13,1990,46.80
13,1995,44.62
13,2000,45.44
13,2005,46.96
13,2010,45.53
13,2015,47.07
15,1985,42.56
15,1990,46.38
15,1995,44.36
15,2000,45.21
15,2005,46.82
15,2010,45.12
15,2015,46.97
17,1985,37.41
17,1990,40.69
17,1995,38.53
17,2000,40.38
17,2005,41.38
17,2010,41.97
17,2015,41.50
19,1985,42.33
19,1990,46.25
19,1995,44.00
19,2000,45.08
19,2005,46.73
19,2010,45.97
19,2015,46.56
21,1985,37.48
21,1990,41.04
21,1995,38.79
21,2000,40.71
21,2005,41.90
21,2010,42.29
21,2015,43.00
23,1985,41.45
23,1990,45.39
23,1995,43.30
23,2000,44.40
23,2005,45.86
23,2010,44.66
23,2015,46.69
25,1985,40.96
25,1990,44.98
25,1995,42.65
25,2000,44.03
25,2005,45.58
25,2010,45.03
25,2015,45.79
27,1985,38.73
27,1990,43.20
27,1995,40.30
27,2000,41.64
27,2005,43.29
27,2010,42.78
27,2015,44.04
29,1985,35.88
29,1990,40.24
29,1995,37.84
29,2000,39.61
29,2005,40.97
29,2010,40.86
29,2015,41.69
31,1985,34.21
31,1990,36.87
31,1995,35.68
31,2000,36.98
31,2005,37.85
31,2010,39.27
31,2015,37.18
33,1985,41.88
33,1990,45.91
33,1995,43.77
33,2000,44.95
33,2005,46.56
33,2010,44.93
33,2015,46.38
35,1985,38.45
35,1990,41.88
35,1995,39.73
35,2000,41.48
35,2005,43.10
35,2010,43.09
35,2015,43.52
37,1985,42.89
37,1990,46.53
37,1995,44.37
37,2000,45.57
37,2005,46.81
37,2010,46.34
37,2015,46.99
39,1985,41.75
39,1990,45.54
39,1995,43.30
39,2000,44.43
39,2005,45.52
39,2010,44.44
39,2015,45.42
41,1985,38.72
41,1990,42.73
41,1995,40.22
41,2000,41.62
41,2005,43.00
41,2010,42.71
41,2015,43.89
43,1985,42.86
43,1990,46.88
43,1995,44.64
43,2000,45.67
43,2005,47.07
43,2010,45.58
43,2015,46.99
45,1985,42.65
45,1990,46.00
45,1995,43.86
45,2000,44.85
45,2005,45.94
45,2010,45.32
45,2015,45.62
47,1985,42.48
47,1990,46.11
47,1995,43.94
47,2000,45.17
47,2005,46.32
47,2010,45.08
47,2015,46.39
49,1985,42.47
49,1990,46.03
49,1995,43.90
49,2000,44.93
49,2005,45.97
49,2010,45.53
49,2015,46.27
51,1985,39.56
51,1990,43.68
51,1995,41.00
51,2000,42.47
51,2005,43.89
51,2010,43.29
51,2015,44.86
53,1985,42.31
53,1990,46.27
53,1995,44.00
53,2000,45.18
53,2005,46.82
53,2010,46.29
53,2015,46.84
55,1985,43.62
55,1990,47.11
55,1995,45.29
55,2000,45.98
55,2005,47.07
55,2010,46.88
55,2015,47.22
57,1985,36.69
57,1990,40.66
57,1995,38.36
57,2000,40.13
57,2005,41.52
57,2010,41.65
57,2015,42.70
59,1985,40.67
59,1990,44.58
59,1995,42.32
59,2000,43.62
59,2005,45.31
59,2010,44.79
59,2015,45.78
61,1985,36.15
61,1990,39.47
61,1995,37.82
61,2000,39.57
61,2005,40.67
61,2010,41.17
61,2015,41.12
63,1985,42.24
63,1990,46.13
63,1995,43.94
63,2000,45.12
63,2005,46.64
63,2010,45.02
63,2015,46.44
65,1985,38.73
65,1990,42.82
65,1995,40.88
65,2000,42.40
65,2005,43.93
65,2010,43.66
65,2015,44.52
67,1985,40.87
67,1990,44.69
67,1995,42.51
67,2000,43.61
67,2005,45.14
67,2010,44.17
67,2015,45.59
69,1985,35.32
69,1990,39.28
69,1995,37.15
69,2000,39.27
69,2005,39.88
69,2010,40.72
69,2015,41.50
71,1985,34.84
71,1990,38.64
71,1995,36.64
71,2000,38.68
71,2005,39.68
71,2010,40.35
71,2015,40.18
73,1985,41.67
73,1990,45.57
73,1995,43.52
73,2000,44.70
73,2005,46.25
73,2010,44.62
73,2015,46.71
75,1985,34.93
75,1990,37.98
75,1995,36.28
75,2000,37.87
75,2005,38.86
75,2010,39.90
75,2015,38.71
77,1985,34.77
77,1990,38.66
77,1995,36.70
77,2000,38.35
77,2005,39.48
77,2010,40.50
77,2015,40.43
79,1985,42.64
79,1990,46.56
79,1995,44.12
79,2000,45.07
79,2005,46.50
79,2010,45.62
79,2015,46.62
81,1985,41.17
81,1990,45.10
81,1995,42.51
81,2000,44.06
81,2005,45.42
81,2010,43.81
81,2015,45.77
83,1985,42.13
83,1990,46.28
83,1995,43.70
83,2000,45.16
83,2005,46.41
83,2010,44.86
83,2015,47.10
85,1985,41.86
85,1990,45.44
85,1995,43.53
85,2000,44.87
85,2005,45.93
85,2010,44.93
85,2015,45.73
87,1985,36.58
87,1990,41.11
87,1995,38.45
87,2000,40.18
87,2005,41.33
87,2010,40.93
87,2015,42.08
89,1985,35.83
89,1990,40.23
89,1995,37.83
89,2000,39.89
89,2005,40.29
89,2010,41.08
89,2015,41.41
91,1985,42.55
91,1990,46.76
91,1995,44.50
91,2000,45.55
91,2005,46.95
91,2010,45.45
91,2015,46.93
93,1985,40.98
93,1990,44.72
93,1995,42.81
93,2000,43.93
93,2005,45.33
93,2010,44.35
93,2015,45.38
95,1985,39.16
95,1990,42.93
95,1995,40.89
95,2000,42.47
95,2005,44.02
95,2010,43.81
95,2015,44.50
97,1985,39.46
97,1990,43.05
97,1995,40.94
97,2000,42.35
97,2005,43.92
97,2010,43.73
97,2015,44.25
99,1985,41.95
99,1990,45.56
99,1995,43.48
99,2000,44.58
99,2005,45.66
99,2010,44.62
99,2015,45.67
101,1985,41.64
101,1990,45.57
101,1995,43.28
101,2000,44.53
101,2005,46.07
101,2010,44.50
101,2015,46.28
103,1985,42.64
103,1990,46.41
103,1995,44.31
103,2000,45.16
103,2005,46.60
103,2010,45.55
103,2015,46.46
105,1985,42.25
105,1990,45.88
105,1995,43.81
105,2000,45.00
105,2005,46.52
105,2010,44.81
105,2015,46.27
107,1985,38.12
107,1990,42.59
107,1995,39.94
107,2000,41.38
107,2005,42.48
107,2010,42.17
107,2015,43.27
109,1985,42.26
109,1990,45.79
109,1995,43.70
109,2000,44.67
109,2005,45.88
109,2010,45.08
109,2015,45.56
111,1985,38.36
111,1990,42.23
111,1995,39.65
111,2000,41.42
111,2005,42.73
111,2010,42.48
111,2015,43.75
113,1985,36.13
113,1990,40.61
113,1995,37.99
113,2000,40.11
113,2005,40.70
113,2010,40.98
113,2015,41.53
115,1985,38.33
115,1990,42.21
115,1995,40.08
115,2000,41.78
115,2005,43.01
115,2010,43.08
115,2015,43.49
117,1985,41.64
117,1990,45.26
117,1995,42.93
117,2000,44.32
117,2005,45.64
117,2010,43.98
117,2015,46.22
119,1985,37.16
119,1990,41.48
119,1995,38.83
119,2000,40.79
119,2005,41.53
119,2010,41.46
119,2015,42.41
121,1985,39.51
121,1990,43.82
121,1995,41.32
121,2000,42.72
121,2005,44.01
121,2010,43.40
121,2015,44.73
123,1985,42.58
123,1990,46.56
123,1995,44.18
123,2000,45.52
123,2005,46.80
123,2010,46.48
123,2015,46.73
125,1985,36.67
125,1990,41.01
125,1995,38.37
125,2000,40.46
125,2005,41.15
125,2010,41.14
125,2015,41.90
127,1985,42.21
127,1990,46.37
127,1995,44.20
127,2000,45.12
127,2005,46.73
127,2010,45.28
127,2015,47.44
129,1985,41.77
129,1990,45.70
129,1995,43.73
129,2000,44.59
129,2005,46.18
129,2010,44.87
129,2015,46.88
131,1985,42.47
131,1990,46.15
131,1995,43.83
131,2000,44.81
131,2005,46.24
131,2010,45.25
131,2015,46.33
133,1985,42.44
133,1990,46.22
