county,year,precip
1,1985,61.18
1,1990,61.03
1,1995,60.55
1,2000,45.87
1,2005,42.75
1,2010,46.03
1,2015,57.69
3,1985,46.93
3,1990,55.73
3,1995,50.17
3,2000,43.70
3,2005,50.70
3,2010,54.28
3,2015,61.16
5,1985,67.40
5,1990,65.58
5,1995,66.13
5,2000,45.89
5,2005,50.31
5,2010,45.84
5,2015,72.00
7,1985,48.00
7,1990,58.25
7,1995,54.66
7,2000,49.86
7,2005,53.15
7,2010,44.07
7,2015,58.56
9,1985,49.63
9,1990,62.12
9,1995,48.83
9,2000,40.78
9,2005,46.21
9,2010,50.44
9,2015,57.87
11,1985,43.26
11,1990,63.72
11,1995,49.66
11,2000,50.22
11,2005,40.55
11,2010,35.31
11,2015,61.56
13,1985,44.19
13,1990,59.12
13,1995,56.10
13,2000,48.19
13,2005,45.70
13,2010,41.45
13,2015,60.86
15,1985,47.91
15,1990,60.82
15,1995,55.19
15,2000,47.83
15,2005,46.41
15,2010,41.03
15,2015,56.20
17,1985,48.09
17,1990,61.70
17,1995,56.24
17,2000,47.25
17,2005,49.97
17,2010,42.21
17,2015,61.68
19,1985,43.98
19,1990,54.74
19,1995,55.62
19,2000,49.36
19,2005,54.99
19,2010,43.02
19,2015,55.41
21,1985,59.00
21,1990,61.56
21,1995,54.42
21,2000,45.63
21,2005,47.08
21,2010,41.62
21,2015,58.87
23,1985,55.96
23,1990,56.32
23,1995,59.17
23,2000,41.21
23,2005,55.79
23,2010,42.49
23,2015,60.01
25,1985,45.43
25,1990,57.95
25,1995,55.34
25,2000,41.93
25,2005,54.35
25,2010,41.97
25,2015,56.24
27,1985,39.77
27,1990,63.26
27,1995,42.47
27,2000,44.35
27,2005,35.71
27,2010,41.32
27,2015,56.23
29,1985,56.78
29,1990,63.96
29,1995,57.36
29,2000,45.98
29,2005,49.99
29,2010,44.54
29,2015,60.98
31,1985,61.53
31,1990,64.73
31,1995,55.05
31,2000,42.74
31,2005,58.88
31,2010,42.67
31,2015,59.35
33,1985,45.83
33,1990,64.76
33,1995,47.70
33,2000,39.81
33,2005,40.86
33,2010,43.79
33,2015,57.44
35,1985,58.77
35,1990,62.34
35,1995,60.96
35,2000,41.26
35,2005,55.08
35,2010,44.39
35,2015,65.72
37,1985,58.01
37,1990,64.53
37,1995,59.40
37,2000,45.03
37,2005,50.72
37,2010,41.99
37,2015,62.01
39,1985,70.99
39,1990,59.73
39,1995,72.91
39,2000,42.58
39,2005,64.59
39,2010,52.83
39,2015,70.60
41,1985,65.80
41,1990,61.76
41,1995,63.09
41,2000,42.31
41,2005,58.56
41,2010,46.30
41,2015,64.55
43,1985,47.21
43,1990,59.19
43,1995,58.28
43,2000,48.21
43,2005,45.59
43,2010,39.37
43,2015,54.43
45,1985,73.66
45,1990,54.79
45,1995,83.90
45,2000,44.16
45,2005,56.58
45,2010,54.01
45,2015,67.97
47,1985,74.12
47,1990,55.64
47,1995,82.82
47,2000,43.92
47,2005,67.55
47,2010,61.27
47,2015,73.03
49,1985,51.37
49,1990,62.52
49,1995,57.20
49,2000,44.62
49,2005,46.41
49,2010,40.55
49,2015,59.57
51,1985,49.45
51,1990,59.65
51,1995,51.89
51,2000,48.64
51,2005,46.73
51,2010,39.73
51,2015,56.87
53,1985,44.84
53,1990,58.67
53,1995,54.50
53,2000,49.04
53,2005,40.88
53,2010,38.30
53,2015,58.24
55,1985,48.31
55,1990,62.55
55,1995,50.83
55,2000,47.01
55,2005,41.53
55,2010,32.36
55,2015,60.41
57,1985,46.50
57,1990,66.27
57,1995,56.09
57,2000,46.30
57,2005,54.41
57,2010,47.73
57,2015,65.62
59,1985,70.57
59,1990,60.14
59,1995,77.77
59,2000,42.54
59,2005,69.88
59,2010,61.76
59,2015,73.99
61,1985,55.83
61,1990,58.00
61,1995,57.15
61,2000,43.26
61,2005,55.50
61,2010,44.85
61,2015,59.12
63,1985,59.06
63,1990,61.66
63,1995,56.73
63,2000,45.21
63,2005,47.74
63,2010,43.06
63,2015,57.98
65,1985,60.40
65,1990,66.44
65,1995,54.73
65,2000,45.61
65,2005,57.04
65,2010,47.16
65,2015,58.34
67,1985,57.49
67,1990,61.73
67,1995,55.62
67,2000,42.13
67,2005,57.16
67,2010,43.42
67,2015,61.16
69,1985,50.67
69,1990,59.48
69,1995,53.08
69,2000,41.82
69,2005,56.05
69,2010,44.66
69,2015,57.04
71,1985,47.39
71,1990,62.00
71,1995,52.52
71,2000,44.21
71,2005,46.78
71,2010,47.01
71,2015,64.05
73,1985,60.76
73,1990,63.66
73,1995,59.33
73,2000,42.87
73,2005,54.34
73,2010,46.01
73,2015,63.73
75,1985,53.27
75,1990,57.72
75,1995,55.14
75,2000,41.12
75,2005,55.17
75,2010,42.37
75,2015,60.17
77,1985,57.56
77,1990,67.25
77,1995,57.06
77,2000,46.66
77,2005,53.91
77,2010,46.61
77,2015,58.27
79,1985,47.75
79,1990,60.80
79,1995,61.74
79,2000,44.40
79,2005,54.24
79,2010,42.70
79,2015,57.38
81,1985,46.78
81,1990,60.90
81,1995,55.10
81,2000,47.79
81,2005,52.67
81,2010,46.60
81,2015,65.44
83,1985,45.35
83,1990,59.46
83,1995,54.94
83,2000,48.05
83,2005,44.48
83,2010,36.08
83,2015,55.85
85,1985,59.87
85,1990,68.11
85,1995,58.18
85,2000,44.66
85,2005,53.90
85,2010,44.57
85,2015,60.78
87,1985,45.36
87,1990,58.95
87,1995,57.93
87,2000,40.32
87,2005,55.33
87,2010,44.36
87,2015,54.94
89,1985,52.02
89,1990,58.34
89,1995,54.98
89,2000,44.66
89,2005,52.21
89,2010,40.83
89,2015,55.16
91,1985,62.10
91,1990,64.03
91,1995,58.47
91,2000,46.00
91,2005,50.52
91,2010,49.70
91,2015,60.01
93,1985,46.68
93,1990,63.15
93,1995,48.68
93,2000,40.11
93,2005,45.00
93,2010,49.96
93,2015,58.25
95,1985,49.59
95,1990,62.87
95,1995,60.28
95,2000,44.67
95,2005,55.37
95,2010,44.93
95,2015,58.89
97,1985,45.89
97,1990,58.62
97,1995,57.80
97,2000,49.04
97,2005,48.08
97,2010,42.48
97,2015,57.08
99,1985,50.72
99,1990,61.22
99,1995,59.95
99,2000,43.99
99,2005,55.93
99,2010,41.96
99,2015,56.76
101,1985,53.42
101,1990,58.27
101,1995,60.30
101,2000,42.20
101,2005,55.21
101,2010,43.12
101,2015,60.91
103,1985,46.72
103,1990,57.59
103,1995,56.32
103,2000,41.30
103,2005,55.82
103,2010,47.32
103,2015,52.49
105,1985,43.81
105,1990,56.11
105,1995,56.51
105,2000,42.13
105,2005,55.29
105,2010,42.01
105,2015,55.52
107,1985,47.19
107,1990,64.21
107,1995,50.74
107,2000,41.37
107,2005,39.03
