county,year,temp
1,1985,65.45
1,1990,67.17
1,1995,65.62
1,2000,66.38
1,2005,66.29
1,2010,65.42
1,2015,67.10
3,1985,59.38
3,1990,61.84
3,1995,60.04
3,2000,60.72
3,2005,60.64
3,2010,60.10
3,2015,60.75
5,1985,65.04
5,1990,66.98
5,1995,65.38
5,2000,65.91
5,2005,66.05
5,2010,64.91
5,2015,67.56
7,1985,62.45
7,1990,64.21
7,1995,62.50
7,2000,63.37
7,2005,63.25
7,2010,62.64
7,2015,64.65
9,1985,59.62
9,1990,61.73
9,1995,60.07
9,2000,61.07
9,2005,61.10
9,2010,60.57
9,2015,61.35
11,1985,62.45
11,1990,64.44
11,1995,62.97
11,2000,63.24
11,2005,63.80
11,2010,63.44
11,2015,63.95
13,1985,61.31
13,1990,63.39
13,1995,61.77
13,2000,62.52
13,2005,62.50
13,2010,61.91
13,2015,63.03
15,1985,62.07
15,1990,63.99
15,1995,62.71
15,2000,63.50
15,2005,63.50
15,2010,63.04
15,2015,64.72
17,1985,61.22
17,1990,63.58
17,1995,61.78
17,2000,62.72
17,2005,62.54
17,2010,61.88
17,2015,63.00
19,1985,61.61
19,1990,63.68
19,1995,61.72
19,2000,62.84
19,2005,62.54
19,2010,62.05
19,2015,63.93
21,1985,64.34
21,1990,66.48
21,1995,65.27
21,2000,65.66
21,2005,65.62
21,2010,64.94
21,2015,67.42
23,1985,63.95
23,1990,65.66
23,1995,64.15
23,2000,64.68
23,2005,64.64
23,2010,63.64
23,2015,66.02
25,1985,61.75
25,1990,64.04
25,1995,62.05
25,2000,63.17
25,2005,62.92
25,2010,62.46
25,2015,63.97
27,1985,61.78
27,1990,63.65
27,1995,62.47
27,2000,62.89
27,2005,63.61
27,2010,62.97
27,2015,63.43
29,1985,64.30
29,1990,66.42
29,1995,64.98
29,2000,65.36
29,2005,65.37
29,2010,64.41
29,2015,67.04
31,1985,64.67
31,1990,66.19
31,1995,65.06
31,2000,65.16
31,2005,65.49
31,2010,64.09
31,2015,67.16
33,1985,60.72
33,1990,63.13
33,1995,61.50
33,2000,62.28
33,2005,62.93
33,2010,62.19
33,2015,62.58
35,1985,65.42
35,1990,66.88
35,1995,65.68
35,2000,65.97
35,2005,66.10
35,2010,64.92
35,2015,67.45
37,1985,64.80
37,1990,66.78
37,1995,65.19
37,2000,65.71
37,2005,65.68
37,2010,64.80
37,2015,67.03
39,1985,66.16
39,1990,67.47
39,1995,66.17
39,2000,66.67
39,2005,66.62
39,2010,65.43
39,2015,67.73
41,1985,65.62
41,1990,67.03
41,1995,65.60
41,2000,66.13
41,2005,65.99
41,2010,65.07
41,2015,67.21
43,1985,61.86
43,1990,63.80
43,1995,62.47
43,2000,63.15
43,2005,63.12
43,2010,62.69
43,2015,63.87
45,1985,66.44
45,1990,67.89
45,1995,66.83
45,2000,67.21
45,2005,67.52
45,2010,65.98
45,2015,68.55
47,1985,66.47
47,1990,67.90
47,1995,66.67
47,2000,67.12
47,2005,67.27
47,2010,65.76
47,2015,67.98
49,1985,64.03
49,1990,65.92
49,1995,64.77
49,2000,65.04
49,2005,65.21
49,2010,64.46
49,2015,66.95
51,1985,63.24
51,1990,64.85
51,1995,63.36
51,2000,64.25
51,2005,64.23
