county,year,precip
1,1985,45.16
1,1990,36.71
1,1995,42.86
1,2000,29.16
1,2005,33.38
1,2010,56.23
1,2015,51.00
3,1985,38.67
3,1990,34.61
3,1995,39.67
3,2000,33.50
3,2005,37.21
3,2010,41.64
3,2015,46.96
5,1985,33.98
5,1990,30.07
5,1995,34.16
5,2000,26.29
5,2005,32.27
5,2010,37.94
5,2015,42.11
7,1985,49.22
7,1990,45.48
7,1995,42.44
7,2000,38.87
7,2005,31.30
7,2010,53.73
7,2015,51.39
9,1985,59.08
9,1990,63.33
9,1995,43.66
9,2000,40.36
9,2005,34.08
9,2010,42.97
9,2015,68.30
11,1985,61.03
11,1990,53.42
11,1995,44.54
11,2000,37.11
11,2005,34.38
11,2010,40.80
11,2015,57.00
13,1985,55.98
13,1990,45.01
13,1995,38.18
13,2000,30.94
13,2005,37.90
13,2010,43.29
13,2015,51.66
15,1985,56.38
15,1990,49.96
15,1995,43.60
15,2000,33.66
15,2005,34.80
15,2010,45.16
15,2015,50.41
17,1985,53.74
17,1990,56.27
17,1995,43.74
17,2000,40.27
17,2005,42.27
17,2010,39.87
17,2015,61.75
19,1985,53.59
19,1990,51.02
19,1995,46.21
19,2000,39.08
19,2005,37.66
19,2010,51.63
19,2015,50.24
21,1985,47.40
21,1990,38.71
21,1995,39.16
21,2000,33.84
21,2005,39.09
21,2010,40.65
21,2015,45.05
23,1985,48.10
23,1990,57.31
23,1995,40.20
23,2000,39.09
23,2005,37.65
23,2010,36.41
23,2015,67.11
25,1985,42.04
25,1990,39.80
25,1995,38.33
25,2000,35.20
25,2005,36.06
25,2010,47.37
25,2015,48.31
27,1985,53.52
27,1990,50.09
27,1995,41.71
27,2000,43.16
27,2005,37.42
27,2010,48.82
27,2015,52.58
29,1985,56.65
29,1990,56.65
29,1995,43.02
29,2000,28.75
29,2005,36.22
29,2010,45.00
29,2015,55.58
31,1985,53.46
31,1990,56.69
31,1995,44.04
31,2000,40.42
31,2005,43.53
31,2010,38.89
31,2015,59.18
33,1985,48.04
33,1990,43.88
33,1995,42.35
33,2000,31.56
33,2005,35.77
33,2010,47.03
33,2015,43.80
35,1985,50.67
35,1990,58.74
35,1995,44.30
35,2000,40.02
35,2005,40.29
35,2010,36.59
35,2015,62.70
37,1985,53.08
37,1990,44.53
37,1995,37.93
37,2000,32.10
37,2005,37.67
37,2010,46.64
37,2015,46.23
39,1985,58.05
39,1990,48.80
39,1995,43.04
39,2000,33.16
39,2005,30.36
39,2010,48.26
39,2015,57.29
41,1985,49.95
41,1990,43.11
41,1995,42.51
41,2000,33.76
41,2005,33.00
41,2010,49.25
41,2015,45.19
43,1985,50.93
43,1990,60.85
43,1995,42.28
43,2000,38.34
43,2005,34.82
43,2010,47.20
43,2015,66.97
45,1985,45.59
45,1990,41.88
45,1995,43.11
45,2000,30.46
45,2005,28.56
45,2010,58.82
45,2015,48.36
47,1985,48.73
47,1990,44.29
47,1995,37.15
47,2000,33.79
47,2005,39.91
47,2010,43.50
47,2015,48.93
49,1985,45.93
49,1990,41.70
49,1995,37.34
49,2000,35.43
49,2005,37.75
49,2010,44.49
49,2015,50.69
51,1985,53.97
51,1990,51.69
51,1995,39.22
51,2000,38.22
51,2005,42.87
51,2010,46.15
51,2015,51.08
53,1985,53.57
53,1990,47.39
53,1995,46.10
53,2000,37.52
53,2005,38.04
53,2010,48.71
53,2015,50.18
55,1985,58.89
55,1990,52.99
55,1995,44.96
55,2000,33.02
55,2005,42.90
55,2010,43.64
55,2015,55.84
57,1985,59.00
57,1990,58.82
57,1995,42.40
57,2000,36.26
57,2005,31.20
57,2010,45.60
57,2015,59.41
59,1985,56.73
59,1990,59.66
59,1995,39.53
59,2000,30.88
59,2005,37.30
59,2010,44.70
59,2015,61.92
61,1985,35.80
61,1990,37.79
61,1995,38.87
61,2000,34.19
61,2005,31.13
61,2010,46.91
61,2015,47.00
63,1985,36.53
63,1990,35.87
63,1995,38.01
63,2000,34.40
63,2005,36.03
63,2010,46.32
63,2015,50.69
65,1985,61.94
65,1990,55.34
65,1995,45.39
65,2000,31.94
65,2005,41.65
65,2010,40.05
65,2015,57.97
67,1985,54.97
67,1990,57.72
67,1995,40.34
67,2000,35.84
67,2005,41.19
67,2010,43.42
67,2015,63.61
69,1985,47.08
69,1990,61.51
69,1995,42.00
69,2000,43.64
69,2005,38.61
69,2010,36.11
69,2015,60.03
71,1985,52.43
71,1990,50.86
71,1995,42.64
71,2000,39.73
71,2005,40.31
71,2010,44.95
71,2015,54.77
73,1985,55.75
73,1990,47.65
73,1995,42.05
73,2000,38.39
73,2005,42.25
73,2010,51.18
73,2015,58.03
75,1985,34.14
75,1990,36.55
75,1995,40.06
75,2000,32.67
75,2005,33.15
75,2010,43.57
75,2015,50.60
77,1985,54.63
77,1990,62.46
77,1995,41.65
77,2000,35.51
77,2005,33.33
77,2010,48.58
77,2015,63.61
79,1985,37.00
79,1990,38.43
79,1995,41.50
79,2000,32.66
79,2005,29.04
79,2010,47.80
79,2015,48.13
81,1985,34.62
81,1990,40.64
81,1995,39.90
81,2000,31.29
81,2005,29.47
81,2010,48.45
81,2015,47.20
83,1985,59.00
83,1990,46.53
83,1995,42.52
83,2000,32.74
83,2005,34.84
83,2010,43.98
83,2015,49.06
85,1985,57.02
85,1990,52.73
85,1995,41.14
85,2000,32.54
85,2005,35.74
85,2010,47.91
85,2015,55.81
87,1985,40.05
87,1990,32.87
87,1995,38.78
87,2000,31.30
87,2005,36.42
87,2010,36.83
87,2015,43.23
89,1985,51.88
89,1990,48.25
89,1995,47.79
89,2000,37.18
89,2005,34.42
89,2010,51.95
89,2015,48.53
91,1985,52.31
91,1990,58.15
91,1995,40.90
91,2000,38.62
91,2005,40.85
91,2010,39.19
91,2015,62.39
93,1985,61.71
93,1990,57.62
93,1995,45.64
93,2000,35.47
93,2005,41.18
93,2010,38.53
93,2015,61.09
95,1985,50.38
95,1990,44.44
95,1995,37.91
95,2000,32.82
95,2005,39.36
95,2010,45.78
95,2015,47.72
97,1985,62.78
97,1990,57.39
97,1995,41.00
97,2000,40.36
97,2005,33.64
97,2010,40.94
97,2015,59.77
99,1985,51.93
99,1990,51.90
99,1995,45.57
99,2000,40.00
99,2005,38.55
99,2010,38.27
99,2015,53.68
101,1985,55.69
101,1990,47.58
101,1995,39.84
101,2000,34.43
101,2005,33.25
101,2010,47.59
101,2015,49.42
103,1985,45.61
103,1990,38.48
103,1995,43.28
103,2000,30.72
103,2005,30.14
103,2010,53.05
103,2015,51.73
105,1985,58.76
105,1990,59.55
105,1995,41.79
105,2000,28.88
105,2005,38.21
105,2010,42.15
105,2015,62.66
107,1985,52.17
107,1990,46.95
107,1995,40.42
107,2000,33.91
107,2005,35.73
107,2010,46.95
107,2015,49.17
109,1985,58.32
109,1990,61.16
109,1995,41.06
109,2000,37.22
109,2005,35.87
109,2010,43.51
109,2015,65.53
111,1985,49.41
111,1990,41.77
111,1995,43.38
111,2000,31.62
111,2005,28.70
111,2010,50.05
111,2015,50.40
113,1985,50.34
113,1990,46.86
113,1995,39.14
113,2000,39.89
113,2005,35.83
113,2010,44.15
113,2015,58.60
115,1985,44.54
115,1990,40.27
115,1995,43.56
115,2000,34.03
115,2005,30.91
115,2010,49.05
115,2015,46.05
117,1985,42.09
117,1990,39.32
117,1995,42.07
117,2000,33.60
117,2005,31.45
117,2010,48.75
117,2015,46.25
119,1985,59.88
119,1990,60.03
119,1995,42.63
119,2000,41.25
119,2005,34.61
119,2010,42.25
119,2015,62.92
121,1985,48.13
121,1990,42.29
121,1995,44.54
121,2000,32.69
121,2005,34.73
121,2010,50.84
121,2015,47.03
123,1985,59.49
123,1990,58.25
123,1995,42.80
123,2000,37.87
123,2005,41.79
123,2010,38.93
123,2015,60.04
125,1985,57.47
125,1990,51.04
125,1995,44.27
125,2000,31.91
125,2005,41.22
125,2010,47.74
125,2015,54.23
127,1985,50.60
127,1990,44.01
127,1995,42.39
127,2000,34.03
127,2005,28.83
127,2010,51.94
127,2015,50.95
129,1985,35.63
129,1990,40.29
129,1995,40.69
129,2000,30.50
129,2005,27.42
129,2010,51.04
129,2015,49.59
131,1985,56.63
131,1990,54.90
131,1995,42.17
131,2000,29.77
131,2005,38.83
131,2010,46.09
131,2015,52.78
133,1985,52.97
133,1990,59.34
133,1995,41.37
133,2000,51.17
133,2005,41.54
133,2010,37.06
133,2015,57.99
135,1985,53.73
135,1990,52.52
135,1995,42.43
135,2000,37.06
135,2005,42.19
135,2010,47.46
135,2015,51.53
137,1985,48.81
