county,year,temp
1,1985,49.23
1,1990,53.23
1,1995,50.58
1,2000,51.88
1,2005,53.07
1,2010,51.71
1,2015,52.89
3,1985,50.06
3,1990,53.94
3,1995,51.90
3,2000,53.38
3,2005,53.86
3,2010,52.55
3,2015,53.82
5,1985,49.59
5,1990,53.09
5,1995,51.04
5,2000,52.71
5,2005,53.29
5,2010,51.78
5,2015,53.25
7,1985,51.79
7,1990,55.14
7,1995,52.48
7,2000,53.44
7,2005,54.91
7,2010,53.62
7,2015,54.69
9,1985,54.93
9,1990,57.92
9,1995,56.08
9,2000,56.93
9,2005,58.09
9,2010,57.11
9,2015,57.33
11,1985,55.14
11,1990,58.40
11,1995,56.44
11,2000,57.40
11,2005,58.19
11,2010,57.21
11,2015,57.83
13,1985,53.84
13,1990,57.11
13,1995,55.14
13,2000,56.22
13,2005,56.83
13,2010,56.08
13,2015,56.77
15,1985,53.59
15,1990,56.86
15,1995,54.55
15,2000,55.54
15,2005,56.43
15,2010,55.47
15,2015,56.60
17,1985,55.24
17,1990,57.54
17,1995,55.97
17,2000,56.45
17,2005,57.84
17,2010,56.88
17,2015,56.61
19,1985,52.51
19,1990,55.71
19,1995,53.51
19,2000,54.48
19,2005,55.61
19,2010,54.45
19,2015,55.64
21,1985,50.82
21,1990,54.71
21,1995,52.74
21,2000,54.16
21,2005,54.68
21,2010,53.58
21,2015,54.83
23,1985,57.06
23,1990,59.28
23,1995,57.83
23,2000,58.13
23,2005,59.49
23,2010,58.81
23,2015,58.59
25,1985,50.37
25,1990,54.18
25,1995,52.19
25,2000,53.41
25,2005,54.12
25,2010,52.83
25,2015,54.18
27,1985,52.83
27,1990,55.79
27,1995,53.62
27,2000,54.48
27,2005,55.77
27,2010,54.62
27,2015,55.71
29,1985,53.88
29,1990,57.27
29,1995,55.14
29,2000,56.25
29,2005,57.12
29,2010,56.07
29,2015,57.32
31,1985,55.42
31,1990,57.72
31,1995,56.38
31,2000,56.76
31,2005,58.11
31,2010,57.32
31,2015,56.93
33,1985,51.42
33,1990,55.04
33,1995,52.87
33,2000,53.97
33,2005,54.97
33,2010,53.87
33,2015,54.80
35,1985,55.00
35,1990,57.43
