county,year,precip
1,1985,17.48
1,1990,18.84
1,1995,27.69
1,2000,18.12
1,2005,21.74
1,2010,23.46
1,2015,19.78
3,1985,14.00
3,1990,12.33
3,1995,17.47
3,2000,13.62
3,2005,19.03
3,2010,18.03
3,2015,13.97
5,1985,15.17
5,1990,10.92
5,1995,17.21
5,2000,13.26
5,2005,14.04
5,2010,19.11
5,2015,13.56
7,1985,13.41
7,1990,12.97
7,1995,17.11
7,2000,12.61
7,2005,18.31
7,2010,19.08
7,2015,14.52
9,1985,16.02
9,1990,15.77
9,1995,21.39
9,2000,15.68
9,2005,19.22
9,2010,16.55
9,2015,16.68
11,1985,11.97
11,1990,9.44
11,1995,18.65
11,2000,13.84
11,2005,16.83
11,2010,20.45
11,2015,17.14
13,1985,18.01
13,1990,13.05
13,1995,20.11
13,2000,13.27
13,2005,19.07
13,2010,21.28
13,2015,15.98
15,1985,15.10
15,1990,10.86
15,1995,17.69
15,2000,10.83
15,2005,13.67
15,2010,17.83
15,2015,13.15
17,1985,12.63
17,1990,9.75
17,1995,13.99
17,2000,11.62
17,2005,17.94
17,2010,18.94
17,2015,11.54
19,1985,13.07
19,1990,10.21
19,1995,16.97
19,2000,16.97
19,2005,12.90
19,2010,17.04
19,2015,13.68
21,1985,13.32
21,1990,8.48
21,1995,13.21
21,2000,13.02
21,2005,16.16
21,2010,19.10
21,2015,11.39
23,1985,18.87
23,1990,20.64
23,1995,27.12
23,2000,17.02
23,2005,23.59
23,2010,25.82
23,2015,19.15
25,1985,14.02
25,1990,8.75
25,1995,14.77
25,2000,13.06
25,2005,20.68
25,2010,18.19
25,2015,15.87
27,1985,17.12
27,1990,13.26
27,1995,19.13
27,2000,13.45
27,2005,17.30
27,2010,21.50
27,2015,16.26
29,1985,33.68
29,1990,46.19
29,1995,44.12
29,2000,27.97
29,2005,35.53
29,2010,37.60
29,2015,27.53
31,1985,20.52
31,1990,21.42
31,1995,28.76
31,2000,21.90
31,2005,26.45
31,2010,28.52
31,2015,22.70
33,1985,10.12
33,1990,9.16
33,1995,11.41
33,2000,12.09
33,2005,16.50
33,2010,19.59
33,2015,13.62
35,1985,26.73
35,1990,28.80
35,1995,33.68
35,2000,17.02
35,2005,25.49
35,2010,24.32
