county,year,temp
1,1985,34.52
1,1990,37.64
1,1995,37.48
1,2000,38.27
1,2005,38.38
1,2010,37.37
1,2015,40.68
3,1985,41.46
3,1990,45.43
3,1995,44.61
3,2000,45.05
3,2005,45.95
3,2010,44.59
3,2015,47.38
5,1985,39.62
5,1990,43.19
5,1995,41.43
5,2000,42.35
5,2005,43.68
5,2010,40.91
5,2015,44.86
7,1985,38.93
7,1990,42.96
7,1995,42.20
7,2000,43.02
7,2005,42.87
7,2010,42.52
7,2015,45.27
9,1985,39.39
9,1990,42.85
9,1995,42.08
9,2000,43.17
9,2005,43.50
9,2010,42.90
9,2015,45.31
11,1985,40.68
11,1990,44.95
11,1995,43.94
11,2000,44.29
11,2005,45.42
11,2010,42.92
11,2015,46.00
13,1985,40.19
13,1990,43.73
13,1995,42.66
13,2000,43.41
13,2005,43.77
13,2010,42.77
13,2015,45.58
15,1985,41.20
15,1990,44.93
15,1995,42.99
15,2000,43.92
15,2005,44.82
15,2010,42.77
15,2015,45.91
17,1985,41.77
17,1990,46.28
17,1995,44.70
17,2000,45.10
17,2005,45.98
17,2010,43.47
17,2015,47.81
19,1985,37.01
19,1990,40.91
19,1995,39.03
19,2000,39.11
19,2005,41.38
19,2010,38.38
19,2015,41.95
21,1985,40.33
21,1990,44.97
21,1995,42.95
21,2000,43.05
21,2005,44.19
21,2010,41.58
21,2015,45.50
23,1985,34.52
23,1990,38.02
23,1995,37.39
23,2000,38.46
23,2005,38.00
23,2010,37.32
23,2015,40.94
25,1985,40.51
25,1990,44.98
25,1995,43.28
25,2000,43.45
25,2005,44.61
25,2010,42.18
25,2015,45.92
27,1985,40.64
27,1990,44.58
27,1995,43.37
27,2000,44.12
27,2005,44.80
27,2010,43.16
27,2015,46.27
29,1985,36.66
29,1990,39.73
29,1995,39.67
29,2000,39.76
29,2005,40.22
29,2010,40.25
29,2015,43.13
31,1985,36.41
31,1990,39.59
31,1995,39.14
31,2000,40.06
31,2005,40.15
31,2010,39.65
31,2015,42.37
33,1985,40.85
33,1990,45.32
33,1995,43.62
33,2000,44.06
33,2005,45.26
33,2010,42.58
33,2015,46.55
35,1985,36.43
35,1990,39.12
35,1995,38.73
35,2000,39.28
35,2005,40.19
35,2010,39.51
35,2015,42.61
37,1985,41.62
37,1990,44.91
37,1995,44.03
37,2000,44.48
37,2005,45.32
37,2010,43.93
37,2015,46.74
39,1985,35.52
39,1990,38.68
39,1995,38.29
39,2000,39.45
39,2005,39.12
39,2010,38.83
39,2015,42.36
41,1985,38.98
41,1990,42.87
41,1995,40.42
41,2000,41.62
41,2005,42.85
41,2010,39.82
41,2015,43.91
43,1985,37.30
43,1990,40.81
43,1995,40.07
43,2000,41.29
43,2005,41.06
43,2010,40.43
43,2015,43.65
45,1985,38.71
45,1990,42.17
45,1995,41.18
45,2000,42.21
45,2005,42.51
45,2010,41.54
45,2015,43.99
47,1985,39.84
47,1990,43.14
47,1995,42.88
47,2000,43.24
47,2005,43.39
47,2010,43.22
47,2015,46.66
49,1985,37.67
49,1990,40.82
49,1995,40.29
49,2000,41.08
49,2005,41.29
49,2010,40.62
49,2015,43.68
51,1985,39.07
51,1990,42.49
51,1995,40.67
51,2000,41.75
51,2005,42.93
51,2010,40.47
51,2015,44.38
53,1985,38.22
53,1990,41.51
53,1995,41.52
53,2000,40.87
53,2005,41.48
53,2010,41.83
53,2015,44.65
55,1985,40.06
55,1990,44.56
55,1995,42.51
55,2000,42.79
55,2005,43.89
55,2010,41.22
55,2015,45.40
57,1985,36.28
57,1990,39.38
57,1995,38.90
57,2000,39.99
57,2005,39.99
57,2010,39.38
57,2015,42.43
59,1985,36.63
59,1990,39.67
59,1995,39.13
59,2000,40.09
59,2005,40.12
59,2010,39.45
59,2015,42.52
61,1985,39.05
61,1990,41.95
61,1995,41.60
61,2000,41.59
61,2005,41.93
61,2010,42.23
61,2015,44.98
63,1985,37.77
63,1990,41.19
63,1995,40.65
63,2000,41.26
63,2005,41.29
63,2010,41.26
63,2015,44.50
65,1985,42.23
65,1990,46.32
65,1995,45.22
65,2000,45.81
65,2005,46.70
65,2010,45.17
65,2015,48.19
67,1985,35.98
67,1990,38.62
67,1995,38.27
67,2000,39.42
67,2005,39.61
67,2010,39.04
67,2015,41.77
69,1985,42.49
69,1990,46.72
69,1995,45.41
69,2000,45.98
69,2005,47.09
69,2010,45.12
69,2015,48.16
71,1985,40.22
71,1990,44.03
71,1995,42.30
71,2000,43.20
71,2005,44.49
71,2010,41.62
71,2015,45.55
73,1985,38.92
73,1990,41.80
73,1995,40.86
73,2000,41.56
73,2005,42.45
73,2010,41.17
73,2015,44.59
75,1985,42.18
75,1990,45.81
75,1995,45.17
75,2000,45.58
75,2005,46.40
75,2010,44.68
75,2015,47.58
77,1985,36.08
77,1990,39.32
77,1995,38.91
77,2000,39.68
77,2005,39.68
77,2010,39.31
77,2015,42.63
79,1985,40.98
79,1990,45.39
79,1995,43.80
79,2000,43.95
79,2005,44.88
79,2010,42.55
79,2015,46.49
81,1985,36.68
81,1990,39.94
81,1995,39.66
81,2000,40.39
81,2005,40.30
81,2010,40.04
81,2015,43.14
83,1985,39.98
83,1990,44.22
83,1995,42.05
83,2000,42.60
83,2005,43.69
83,2010,40.95
83,2015,44.86
85,1985,39.05
85,1990,43.03
85,1995,40.99
85,2000,41.42
85,2005,42.84
85,2010,39.99
85,2015,44.10
87,1985,41.49
87,1990,46.04
87,1995,44.69
87,2000,45.08
87,2005,45.82
87,2010,43.93
87,2015,47.12
89,1985,39.52
89,1990,43.13
89,1995,43.03
89,2000,42.32
89,2005,43.07
89,2010,43.12
89,2015,45.62
91,1985,37.78
91,1990,41.63
91,1995,39.52
91,2000,39.89
91,2005,41.68
91,2010,39.10
91,2015,42.73
93,1985,36.12
93,1990,39.69
93,1995,38.91
93,2000,40.05
93,2005,39.77
93,2010,38.98
93,2015,42.30
95,1985,40.77
95,1990,43.86
95,1995,43.15
95,2000,44.13
95,2005,44.51
95,2010,43.32
95,2015,45.73
97,1985,40.03
97,1990,42.93
97,1995,42.01
97,2000,43.18
97,2005,43.61
97,2010,42.39
97,2015,45.22
99,1985,38.76
99,1990,41.79
99,1995,40.98
99,2000,41.74
99,2005,42.38
99,2010,41.27
99,2015,44.61
101,1985,39.37
101,1990,42.41
101,1995,41.05
101,2000,41.84
101,2005,43.04
101,2010,41.04
101,2015,44.82
103,1985,41.68
103,1990,46.65
103,1995,45.33
103,2000,45.61
103,2005,46.50
103,2010,44.77
103,2015,47.55
105,1985,38.56
105,1990,42.77
105,1995,40.77
105,2000,41.41
105,2005,42.86
105,2010,39.98
105,2015,44.03
107,1985,40.15
107,1990,43.12
107,1995,42.40
107,2000,43.02
107,2005,43.55
107,2010,42.56
107,2015,45.25
109,1985,40.38
109,1990,45.16
109,1995,42.83
109,2000,43.19
109,2005,44.30
109,2010,41.81
109,2015,45.42
111,1985,42.90
111,1990,46.90
111,1995,46.03
111,2000,46.46
111,2005,47.06
111,2010,45.68
111,2015,48.66
