county,year,precip
1,1985,28.35
1,1990,24.91
1,1995,24.87
1,2000,24.91
1,2005,24.20
1,2010,29.57
1,2015,29.06
3,1985,27.06
3,1990,24.31
3,1995,36.45
3,2000,22.87
3,2005,28.63
3,2010,31.31
3,2015,29.74
5,1985,17.86
5,1990,19.31
5,1995,20.51
5,2000,15.58
5,2005,19.61
5,2010,23.73
5,2015,25.20
7,1985,14.75
7,1990,19.85
7,1995,19.24
7,2000,15.43
7,2005,22.08
7,2010,18.80
7,2015,26.73
9,1985,20.76
9,1990,20.93
9,1995,27.94
9,2000,21.27
9,2005,23.95
9,2010,31.26
9,2015,27.23
11,1985,28.15
11,1990,27.09
11,1995,28.00
11,2000,22.06
11,2005,26.32
11,2010,28.37
11,2015,27.86
13,1985,13.47
13,1990,17.47
13,1995,20.21
13,2000,19.21
13,2005,19.72
13,2010,19.54
13,2015,25.59
15,1985,22.03
15,1990,21.59
15,1995,33.99
15,2000,18.30
15,2005,26.64
15,2010,33.21
15,2015,27.67
17,1985,20.09
17,1990,23.74
17,1995,30.14
17,2000,20.88
17,2005,25.44
17,2010,28.48
17,2015,25.20
19,1985,30.66
19,1990,22.10
19,1995,24.40
19,2000,20.98
19,2005,22.50
19,2010,28.38
19,2015,24.99
21,1985,27.24
21,1990,26.59
21,1995,28.60
21,2000,21.84
21,2005,24.43
21,2010,34.18
21,2015,37.84
23,1985,30.39
23,1990,25.26
23,1995,25.14
23,2000,23.03
23,2005,24.61
23,2010,31.23
23,2015,36.13
25,1985,27.56
25,1990,29.29
25,1995,27.17
25,2000,25.89
25,2005,26.38
25,2010,37.12
25,2015,46.29
27,1985,27.19
27,1990,23.62
27,1995,33.72
27,2000,24.72
27,2005,33.47
27,2010,34.42
27,2015,30.14
29,1985,16.04
29,1990,16.27
29,1995,19.11
29,2000,16.37
29,2005,18.57
29,2010,22.43
29,2015,21.73
31,1985,17.15
31,1990,18.01
31,1995,26.47
31,2000,19.13
31,2005,22.42
31,2010,22.62
31,2015,26.15
33,1985,16.19
33,1990,17.01
33,1995,19.87
33,2000,14.59
33,2005,21.67
33,2010,19.83
33,2015,25.02
35,1985,28.11
35,1990,26.22
35,1995,24.55
35,2000,26.08
35,2005,24.17
35,2010,30.74
35,2015,31.18
37,1985,28.07
37,1990,27.55
37,1995,26.78
37,2000,23.18
37,2005,23.45
37,2010,31.96
37,2015,32.82
39,1985,26.39
39,1990,28.55
39,1995,28.69
39,2000,21.17
39,2005,25.53
39,2010,34.59
39,2015,33.62
41,1985,23.67
41,1990,21.23
41,1995,25.30
41,2000,20.28
41,2005,21.77
41,2010,30.95
41,2015,24.61
43,1985,25.94
43,1990,28.95
43,1995,26.38
43,2000,25.21
43,2005,28.33
43,2010,31.21
43,2015,31.92
45,1985,14.08
45,1990,16.79
45,1995,21.52
45,2000,21.36
45,2005,18.52
45,2010,18.99
45,2015,22.90
47,1985,24.91
47,1990,19.55
47,1995,22.17
47,2000,19.66
47,2005,21.10
47,2010,28.45
47,2015,24.58
49,1985,17.89
49,1990,16.34
49,1995,20.10
49,2000,15.24
49,2005,18.44
49,2010,18.70
49,2015,21.99
51,1985,28.05
51,1990,26.80
51,1995,31.58
51,2000,25.34
51,2005,31.10
51,2010,32.86
51,2015,32.20
53,1985,28.31
53,1990,26.65
53,1995,26.85
53,2000,24.09
53,2005,24.56
53,2010,35.28
53,2015,36.39
55,1985,24.49
55,1990,25.82
55,1995,26.20
55,2000,28.68
55,2005,27.51
55,2010,36.93
55,2015,42.35
57,1985,17.60
57,1990,17.63
57,1995,19.75
57,2000,16.28
57,2005,20.50
57,2010,19.37
57,2015,22.40
59,1985,27.36
59,1990,26.40
59,1995,23.74
59,2000,23.28
59,2005,26.07
59,2010,27.51
59,2015,34.39
