county,year,temp
1,1985,48.27
1,1990,51.63
1,1995,50.09
1,2000,51.07
1,2005,52.26
1,2010,50.75
1,2015,52.71
3,1985,46.12
3,1990,49.53
3,1995,47.53
3,2000,48.78
3,2005,50.02
3,2010,47.93
3,2015,50.02
5,1985,45.85
5,1990,48.62
5,1995,47.63
5,2000,49.32
5,2005,49.65
5,2010,48.57
5,2015,49.97
7,1985,45.56
7,1990,47.75
7,1995,47.16
7,2000,48.58
7,2005,48.93
7,2010,48.26
7,2015,48.96
9,1985,45.99
9,1990,49.43
9,1995,48.03
9,2000,49.38
9,2005,50.29
9,2010,49.15
9,2015,50.44
11,1985,46.46
11,1990,49.73
11,1995,48.02
11,2000,49.66
11,2005,50.68
11,2010,48.73
11,2015,50.63
13,1985,44.80
13,1990,47.48
13,1995,46.46
13,2000,47.75
13,2005,48.25
13,2010,47.19
13,2015,48.11
15,1985,45.92
15,1990,49.75
15,1995,47.67
15,2000,49.00
15,2005,50.00
15,2010,48.22
15,2015,50.06
17,1985,45.50
17,1990,49.24
17,1995,47.70
17,2000,48.78
17,2005,49.59
17,2010,48.57
17,2015,50.01
19,1985,47.31
19,1990,50.55
19,1995,49.07
19,2000,50.42
19,2005,51.51
19,2010,50.23
19,2015,51.99
21,1985,47.15
21,1990,50.49
21,1995,48.75
21,2000,49.98
21,2005,51.33
21,2010,49.03
21,2015,50.76
23,1985,47.94
23,1990,51.38
23,1995,49.79
23,2000,51.19
23,2005,52.29
23,2010,50.26
23,2015,51.37
25,1985,48.68
25,1990,52.26
25,1995,50.66
25,2000,52.22
25,2005,52.78
25,2010,50.97
25,2015,52.51
27,1985,45.83
27,1990,49.50
27,1995,47.18
27,2000,48.31
27,2005,49.67
27,2010,47.63
27,2015,49.52
29,1985,48.54
29,1990,50.79
29,1995,49.84
29,2000,51.56
29,2005,52.05
29,2010,51.17
29,2015,52.29
31,1985,44.93
31,1990,48.52
31,1995,47.06
31,2000,48.16
31,2005,49.09
31,2010,48.02
31,2015,49.23
33,1985,46.37
33,1990,48.77
33,1995,48.49
33,2000,50.00
33,2005,50.01
33,2010,49.44
33,2015,50.09
35,1985,48.47
35,1990,51.94
35,1995,50.34
35,2000,51.51
35,2005,52.73
35,2010,50.94
35,2015,52.99
37,1985,47.49
37,1990,50.82
37,1995,49.01
37,2000,50.36
37,2005,51.58
37,2010,49.40
37,2015,51.56
39,1985,46.89
39,1990,50.08
39,1995,48.22
39,2000,49.49
39,2005,50.68
