county,year,precip
1,1985,6.26
1,1990,6.98
1,1995,10.49
1,2000,6.95
1,2005,8.23
1,2010,8.02
1,2015,9.75
3,1985,4.79
3,1990,6.73
3,1995,7.98
3,2000,5.70
3,2005,11.76
3,2010,10.79
3,2015,6.73
5,1985,12.46
5,1990,9.70
5,1995,25.63
5,2000,13.14
5,2005,20.81
5,2010,21.91
5,2015,16.46
7,1985,11.61
7,1990,12.34
7,1995,18.44
7,2000,13.23
7,2005,19.04
7,2010,17.03
7,2015,15.92
9,1985,3.93
9,1990,4.81
9,1995,7.62
9,2000,5.14
9,2005,6.37
9,2010,7.40
9,2015,5.90
11,1985,8.85
11,1990,11.34
11,1995,15.85
11,2000,11.20
11,2005,14.97
11,2010,12.77
11,2015,13.65
13,1985,9.06
13,1990,8.98
13,1995,14.89
13,2000,12.33
13,2005,14.59
13,2010,15.64
13,2015,12.56
15,1985,9.84
15,1990,10.13
15,1995,13.73
15,2000,11.62
15,2005,12.05
15,2010,11.93
15,2015,12.39
17,1985,9.16
17,1990,10.12
17,1995,12.64
17,2000,12.17
17,2005,16.04
17,2010,13.83
17,2015,11.30
19,1985,7.74
19,1990,5.93
19,1995,13.20
19,2000,6.73
19,2005,9.93
19,2010,10.14
19,2015,9.96
21,1985,5.70
21,1990,6.30
21,1995,10.28
21,2000,5.84
21,2005,7.38
21,2010,8.02
21,2015,8.03
23,1985,7.15
23,1990,7.21
23,1995,10.96
23,2000,9.02
23,2005,9.67
23,2010,10.35
23,2015,8.05
27,1985,8.02
27,1990,8.34
27,1995,12.65
27,2000,10.89
27,2005,12.27
27,2010,11.84
27,2015,12.48
29,1985,10.37
29,1990,8.91
29,1995,19.78
29,2000,10.57
29,2005,16.36
29,2010,15.10
29,2015,13.83
31,1985,9.76
31,1990,9.38
31,1995,20.26
31,2000,11.79
31,2005,16.53
31,2010,15.63
31,2015,12.64
33,1985,12.33
33,1990,11.75
33,1995,15.32
33,2000,12.78
33,2005,15.89
33,2010,16.13
33,2015,12.97
510,1985,11.18
510,1990,8.87
510,1995,23.06
510,2000,12.78
510,2005,20.50
510,2010,19.50
510,2015,14.19
