county,year,temp
1,1985,49.65
1,1990,50.88
1,1995,52.13
1,2000,52.33
1,2005,51.40
1,2010,51.33
1,2015,53.44
3,1985,63.48
3,1990,64.01
3,1995,64.84
3,2000,65.62
3,2005,64.56
3,2010,64.03
3,2015,66.19
5,1985,47.29
5,1990,47.99
5,1995,48.93
5,2000,49.01
5,2005,48.70
5,2010,47.90
5,2015,50.73
7,1985,42.63
7,1990,44.53
7,1995,45.44
7,2000,46.20
7,2005,45.01
7,2010,44.35
7,2015,47.67
9,1985,51.48
9,1990,52.33
9,1995,53.09
9,2000,53.68
9,2005,53.13
9,2010,52.21
9,2015,54.49
11,1985,44.08
11,1990,45.81
11,1995,46.76
11,2000,47.34
11,2005,46.39
11,2010,45.58
11,2015,48.88
13,1985,46.10
13,1990,48.17
13,1995,49.38
13,2000,49.52
13,2005,48.43
13,2010,48.32
13,2015,51.78
15,1985,45.75
15,1990,47.57
15,1995,48.56
15,2000,49.15
15,2005,47.95
15,2010,47.67
15,2015,50.62
17,1985,54.00
17,1990,54.69
17,1995,55.35
17,2000,55.93
17,2005,55.58
17,2010,54.85
17,2015,57.22
19,1985,49.53
19,1990,50.36
19,1995,51.38
19,2000,51.62
19,2005,50.83
19,2010,50.31
19,2015,52.98
21,1985,48.77
21,1990,49.51
21,1995,50.25
21,2000,51.20
21,2005,50.40
21,2010,49.63
21,2015,51.96
23,1985,50.24
23,1990,51.66
23,1995,52.27
23,2000,52.83
23,2005,52.43
23,2010,51.48
23,2015,54.25
27,1985,48.38
27,1990,49.59
27,1995,51.38
27,2000,51.38
27,2005,50.16
27,2010,50.32
27,2015,53.03
29,1985,48.75
29,1990,49.63
29,1995,50.76
29,2000,50.83
29,2005,50.15
29,2010,49.61
29,2015,52.61
31,1985,46.76
31,1990,48.22
31,1995,49.27
31,2000,49.42
31,2005,48.82
31,2010,48.49
31,2015,51.53
33,1985,44.43
33,1990,45.88
33,1995,46.22
33,2000,47.27
33,2005,46.62
33,2010,45.38
33,2015,48.42
510,1985,48.33
510,1990,49.09
510,1995,49.92
510,2000,49.98
510,2005,49.52
510,2010,48.93
510,2015,52.00
