county,year,precip
1,1985,34.72
1,1990,50.52
1,1995,42.60
1,2000,47.23
1,2005,62.87
1,2010,46.56
1,2015,45.08
3,1985,40.09
3,1990,57.16
3,1995,46.82
3,2000,49.03
3,2005,67.39
3,2010,54.37
3,2015,48.21
5,1985,37.23
5,1990,52.74
5,1995,42.97
5,2000,49.47
5,2005,59.97
5,2010,45.90
5,2015,43.83
7,1985,40.96
7,1990,56.59
7,1995,44.31
7,2000,49.25
7,2005,59.96
7,2010,51.39
7,2015,47.15
9,1985,39.40
9,1990,55.39
9,1995,43.52
9,2000,48.95
9,2005,59.43
9,2010,51.54
9,2015,45.69
11,1985,38.63
11,1990,51.62
11,1995,43.76
11,2000,49.52
11,2005,59.57
11,2010,47.61
11,2015,40.98
13,1985,36.80
13,1990,51.42
13,1995,43.57
13,2000,47.47
13,2005,62.55
13,2010,46.27
13,2015,41.06
15,1985,37.19
15,1990,49.20
15,1995,40.46
15,2000,48.56
15,2005,58.98
15,2010,51.56
15,2015,38.16
17,1985,36.26
17,1990,49.69
17,1995,43.76
17,2000,48.86
17,2005,63.82
17,2010,53.20
17,2015,40.15
19,1985,37.79
19,1990,53.26
19,1995,42.52
19,2000,47.59
19,2005,59.95
19,2010,47.33
19,2015,39.97
