county,year,precip
1,1985,34.57
1,1990,41.11
1,1995,40.20
1,2000,44.83
1,2005,46.20
1,2010,44.42
1,2015,48.77
3,1985,41.88
3,1990,56.10
3,1995,38.18
3,2000,46.56
3,2005,51.95
3,2010,46.83
3,2015,38.56
5,1985,35.77
5,1990,45.23
5,1995,38.03
5,2000,44.19
5,2005,47.88
5,2010,41.80
5,2015,44.85
7,1985,37.92
7,1990,45.58
7,1995,38.41
7,2000,45.70
7,2005,47.69
7,2010,43.10
7,2015,46.60
9,1985,37.79
9,1990,39.51
9,1995,41.18
9,2000,45.49
9,2005,45.50
9,2010,42.98
9,2015,48.44
11,1985,40.26
11,1990,40.94
11,1995,41.71
11,2000,43.36
11,2005,44.06
11,2010,41.23
11,2015,50.07
13,1985,42.85
13,1990,56.35
13,1995,41.24
13,2000,46.26
13,2005,49.43
13,2010,48.45
13,2015,39.18
15,1985,38.93
15,1990,45.20
15,1995,38.82
15,2000,46.06
15,2005,45.98
15,2010,45.13
15,2015,48.46
17,1985,39.25
17,1990,54.96
17,1995,39.30
17,2000,44.24
17,2005,49.58
17,2010,45.15
17,2015,39.02
19,1985,41.89
19,1990,53.96
19,1995,41.35
19,2000,45.68
19,2005,50.33
19,2010,46.42
19,2015,41.78
21,1985,39.73
21,1990,48.70
21,1995,39.84
21,2000,44.96
21,2005,48.27
21,2010,41.83
21,2015,41.37
23,1985,40.01
23,1990,51.93
23,1995,38.69
23,2000,44.15
23,2005,49.84
23,2010,44.48
23,2015,39.79
25,1985,37.77
25,1990,49.99
25,1995,37.82
25,2000,43.21
25,2005,49.95
25,2010,43.21
25,2015,42.03
27,1985,44.31
27,1990,58.09
27,1995,42.62
27,2000,48.08
27,2005,52.71
27,2010,49.27
27,2015,40.70
29,1985,34.66
29,1990,45.10
29,1995,36.49
29,2000,44.68
29,2005,48.84
29,2010,41.55
29,2015,44.20
31,1985,44.38
31,1990,57.43
31,1995,42.51
31,2000,48.27
31,2005,53.16
31,2010,49.95
31,2015,38.06
33,1985,38.64
33,1990,44.07
33,1995,39.17
33,2000,43.84
33,2005,43.58
33,2010,43.78
33,2015,48.93
35,1985,41.94
35,1990,55.36
35,1995,40.32
35,2000,45.98
35,2005,49.75
35,2010,47.12
35,2015,41.66
37,1985,44.24
37,1990,54.11
37,1995,39.97
37,2000,46.67
37,2005,52.67
37,2010,46.96
37,2015,39.56
39,1985,40.85
39,1990,55.53
39,1995,40.99
39,2000,45.82
39,2005,49.89
39,2010,47.57
39,2015,40.75
41,1985,43.14
41,1990,53.59
41,1995,41.66
41,2000,45.99
41,2005,51.54
41,2010,46.52
41,2015,43.30
