county,year,temp
1,1985,53.98
1,1990,55.68
1,1995,53.67
1,2000,53.49
1,2005,54.51
1,2010,55.75
1,2015,55.27
3,1985,51.98
3,1990,54.10
3,1995,52.09
3,2000,51.61
3,2005,53.18
3,2010,54.51
3,2015,53.49
5,1985,53.96
5,1990,55.79
5,1995,53.72
5,2000,53.57
5,2005,54.65
5,2010,55.82
5,2015,55.26
7,1985,54.11
7,1990,56.07
7,1995,54.18
7,2000,53.84
7,2005,55.02
7,2010,56.19
7,2015,55.72
9,1985,54.68
9,1990,56.08
9,1995,54.35
9,2000,54.12
9,2005,54.82
9,2010,56.00
9,2015,55.66
11,1985,54.26
11,1990,56.06
11,1995,54.18
11,2000,53.78
11,2005,54.91
11,2010,56.07
11,2015,55.59
13,1985,52.16
13,1990,54.26
13,1995,52.25
13,2000,51.92
13,2005,53.58
13,2010,54.82
13,2015,53.91
15,1985,54.29
15,1990,56.22
15,1995,54.38
15,2000,53.98
15,2005,55.37
15,2010,56.43
15,2015,55.99
17,1985,53.70
17,1990,55.74
17,1995,53.74
17,2000,53.31
17,2005,54.94
17,2010,56.26
17,2015,55.51
19,1985,50.78
19,1990,52.73
19,1995,50.86
19,2000,50.72
19,2005,52.06
19,2010,53.18
19,2015,52.03
21,1985,53.02
21,1990,54.87
21,1995,52.99
21,2000,52.78
21,2005,54.01
21,2010,55.43
21,2015,54.39
23,1985,52.83
23,1990,54.77
23,1995,52.96
23,2000,52.80
23,2005,54.11
23,2010,55.43
23,2015,54.72
25,1985,53.16
25,1990,55.14
25,1995,53.18
25,2000,53.01
25,2005,54.39
25,2010,55.43
25,2015,54.67
27,1985,49.78
27,1990,51.98
27,1995,49.94
27,2000,49.59
27,2005,51.05
27,2010,52.35
27,2015,51.05
29,1985,53.47
29,1990,55.36
29,1995,53.14
29,2000,53.01
29,2005,54.07
29,2010,55.32
29,2015,54.73
31,1985,50.17
31,1990,52.32
31,1995,50.22
31,2000,49.78
31,2005,51.21
31,2010,52.57
31,2015,51.26
33,1985,54.62
33,1990,56.38
33,1995,54.47
33,2000,54.02
33,2005,55.46
33,2010,56.44
33,2015,55.94
35,1985,51.80
35,1990,53.73
35,1995,51.89
35,2000,51.71
35,2005,52.98
35,2010,54.28
35,2015,53.36
37,1985,48.48
37,1990,50.75
37,1995,48.58
37,2000,48.18
37,2005,49.32
37,2010,50.93
37,2015,49.30
39,1985,52.56
39,1990,54.73
39,1995,52.78
39,2000,52.47
39,2005,53.91
39,2010,55.33
39,2015,54.57
41,1985,49.27
41,1990,51.36
41,1995,49.20
41,2000,48.97
41,2005,50.57
41,2010,51.80
41,2015,50.40
