county,year,precip
1,1985,14.50
1,1990,14.85
1,1995,8.15
1,2000,12.08
1,2005,13.05
1,2010,11.66
1,2015,16.74
3,1985,18.60
3,1990,18.18
3,1995,12.37
3,2000,14.33
3,2005,16.03
3,2010,15.98
3,2015,19.35
5,1985,16.33
5,1990,11.43
5,1995,9.87
5,2000,11.44
5,2005,12.77
5,2010,15.12
5,2015,19.61
6,1985,14.98
6,1990,16.95
6,1995,9.68
6,2000,11.57
6,2005,12.01
6,2010,13.69
6,2015,16.58
7,1985,18.92
7,1990,20.45
7,1995,20.48
7,2000,16.23
7,2005,17.55
7,2010,17.56
7,2015,22.81
9,1985,22.07
9,1990,14.15
9,1995,14.84
9,2000,18.00
9,2005,16.11
9,2010,19.56
9,2015,28.40
11,1985,19.42
11,1990,14.68
11,1995,9.43
11,2000,13.44
11,2005,14.43
11,2010,15.00
11,2015,23.21
13,1985,12.79
13,1990,11.52
13,1995,7.60
13,2000,10.21
13,2005,10.42
13,2010,9.82
13,2015,12.82
15,1985,14.02
15,1990,12.81
15,1995,9.86
15,2000,12.17
15,2005,11.19
15,2010,17.33
15,2015,18.70
17,1985,21.37
17,1990,19.14
17,1995,11.51
17,2000,15.06
17,2005,14.97
17,2010,16.76
17,2015,18.13
19,1985,19.32
19,1990,14.97
19,1995,10.74
19,2000,15.91
19,2005,15.51
19,2010,15.41
19,2015,23.86
21,1985,18.70
21,1990,17.15
21,1995,15.83
21,2000,15.13
21,2005,19.26
21,2010,17.02
21,2015,24.38
23,1985,17.81
23,1990,15.16
23,1995,10.56
23,2000,13.66
23,2005,11.89
23,2010,13.27
23,2015,16.68
25,1985,19.24
25,1990,13.90
25,1995,13.59
25,2000,12.55
25,2005,15.86
25,2010,15.64
25,2015,23.38
27,1985,16.58
27,1990,15.29
27,1995,10.20
27,2000,13.81
27,2005,15.33
27,2010,14.61
27,2015,19.37
28,1985,25.00
28,1990,22.04
28,1995,17.99
28,2000,15.92
28,2005,20.13
28,2010,20.53
28,2015,24.12
29,1985,15.59
29,1990,14.22
29,1995,7.70
29,2000,11.03
29,2005,8.52
29,2010,9.32
29,2015,12.68
31,1985,13.60
31,1990,14.67
31,1995,10.76
31,2000,10.83
31,2005,10.72
31,2010,12.76
31,2015,16.11
33,1985,22.63
33,1990,22.46
33,1995,20.55
33,2000,18.84
33,2005,20.59
33,2010,19.87
33,2015,24.82
35,1985,16.13
35,1990,15.09
35,1995,11.25
35,2000,11.76
35,2005,13.44
35,2010,15.13
35,2015,17.32
37,1985,20.68
37,1990,15.23
37,1995,13.04
37,2000,15.96
37,2005,18.22
37,2010,17.06
37,2015,26.67
39,1985,21.44
39,1990,21.97
39,1995,16.52
39,2000,14.17
39,2005,18.33
39,2010,17.27
39,2015,21.28
41,1985,21.80
41,1990,13.94
41,1995,12.72
41,2000,14.40
41,2005,15.61
41,2010,18.09
41,2015,26.19
43,1985,16.80
43,1990,17.45
43,1995,11.58
43,2000,12.36
43,2005,13.17
43,2010,14.23
43,2015,18.06
45,1985,11.43
45,1990,11.88
45,1995,8.58
45,2000,9.37
45,2005,10.45
45,2010,11.03
45,2015,13.79
47,1985,22.30
47,1990,19.73
47,1995,15.73
47,2000,17.38
47,2005,18.68
47,2010,17.14
47,2015,25.11
49,1985,20.59
49,1990,17.89
49,1995,11.54
49,2000,14.95
49,2005,15.44
49,2010,15.62
49,2015,19.81
51,1985,15.81
51,1990,16.23
51,1995,8.18
51,2000,13.49
51,2005,10.64
51,2010,12.62
51,2015,12.93
53,1985,15.01
53,1990,12.85
53,1995,7.81
53,2000,11.99
53,2005,12.67
53,2010,11.18
53,2015,14.70
55,1985,22.52
55,1990,23.75
55,1995,18.82
55,2000,15.88
55,2005,20.41
55,2010,16.51
55,2015,21.94
57,1985,18.99
57,1990,16.05
57,1995,10.40
57,2000,14.68
57,2005,15.71
57,2010,15.10
57,2015,20.47
59,1985,18.23
59,1990,17.85
59,1995,15.02
59,2000,15.29
59,2005,16.75
59,2010,17.36
59,2015,26.80
61,1985,12.49
61,1990,12.83
61,1995,6.49
61,2000,10.96
61,2005,10.96
61,2010,9.27
61,2015,14.41
