county,year,temp
1,1985,52.52
1,1990,52.32
1,1995,53.93
1,2000,54.63
1,2005,54.64
1,2010,53.95
1,2015,54.60
3,1985,47.43
3,1990,47.44
3,1995,48.70
3,2000,49.93
3,2005,49.52
3,2010,48.56
3,2015,49.83
5,1985,58.28
5,1990,59.13
5,1995,59.99
5,2000,60.54
5,2005,59.62
5,2010,59.23
5,2015,59.56
6,1985,48.18
6,1990,48.02
6,1995,49.43
6,2000,50.40
6,2005,50.27
6,2010,49.24
6,2015,50.17
7,1985,46.38
7,1990,46.79
7,1995,47.40
7,2000,48.83
7,2005,47.95
7,2010,47.82
7,2015,48.70
9,1985,55.27
9,1990,56.22
9,1995,56.93
9,2000,58.03
9,2005,57.31
9,2010,57.01
9,2015,57.11
11,1985,56.61
11,1990,57.23
11,1995,58.36
11,2000,58.58
11,2005,58.11
11,2010,58.38
11,2015,58.67
13,1985,60.07
13,1990,60.63
13,1995,61.98
13,2000,62.48
13,2005,61.93
13,2010,61.18
13,2015,62.71
15,1985,60.78
15,1990,61.82
15,1995,62.25
15,2000,63.20
15,2005,62.46
15,2010,62.08
15,2015,62.23
17,1985,54.68
17,1990,55.04
17,1995,56.07
17,2000,56.95
17,2005,56.70
17,2010,55.47
17,2015,57.22
19,1985,54.07
19,1990,54.48
19,1995,55.79
19,2000,56.32
19,2005,55.87
19,2010,55.93
19,2015,56.12
21,1985,52.88
21,1990,53.25
21,1995,54.31
21,2000,55.68
21,2005,54.43
21,2010,54.54
21,2015,55.23
23,1985,58.63
23,1990,59.59
23,1995,60.29
23,2000,61.14
23,2005,60.88
23,2010,59.54
23,2015,61.12
25,1985,59.50
25,1990,60.57
25,1995,60.80
25,2000,61.98
25,2005,61.02
25,2010,60.82
25,2015,60.73
27,1985,53.82
27,1990,54.32
27,1995,55.47
27,2000,55.66
27,2005,55.40
27,2010,54.93
27,2015,55.41
28,1985,46.25
28,1990,46.24
28,1995,47.11
28,2000,48.33
28,2005,47.83
28,2010,47.37
28,2015,48.52
29,1985,59.23
29,1990,59.96
29,1995,61.12
29,2000,61.76
29,2005,61.76
29,2010,60.62
29,2015,61.88
31,1985,48.23
31,1990,48.15
31,1995,49.42
31,2000,50.64
31,2005,50.21
31,2010,49.38
31,2015,50.63
33,1985,46.68
33,1990,47.17
33,1995,47.97
33,2000,49.26
33,2005,48.48
33,2010,48.24
33,2015,48.99
35,1985,56.74
35,1990,57.20
35,1995,58.43
35,2000,59.17
35,2005,58.67
35,2010,58.16
35,2015,58.58
37,1985,56.05
37,1990,56.66
37,1995,57.65
37,2000,58.78
37,2005,57.49
37,2010,57.62
37,2015,57.95
39,1985,44.50
39,1990,44.57
39,1995,45.68
39,2000,46.91
39,2005,46.38
39,2010,45.82
39,2015,46.92
41,1985,56.57
41,1990,57.44
41,1995,58.17
41,2000,59.18
41,2005,58.41
41,2010,58.24
41,2015,58.16
43,1985,49.10
43,1990,49.04
43,1995,50.18
43,2000,51.14
43,2005,51.07
43,2010,50.32
43,2015,51.25
45,1985,50.62
45,1990,50.69
45,1995,51.86
45,2000,52.72
45,2005,52.53
45,2010,51.47
45,2015,53.11
47,1985,51.70
47,1990,52.23
47,1995,53.32
47,2000,54.32
47,2005,53.51
47,2010,53.38
47,2015,53.80
49,1985,48.39
49,1990,48.67
49,1995,49.99
49,2000,50.73
49,2005,50.36
49,2010,49.75
49,2015,50.49
51,1985,56.61
51,1990,56.88
51,1995,58.22
51,2000,58.76
51,2005,58.41
51,2010,57.64
51,2015,58.82
53,1985,53.24
53,1990,53.46
53,1995,54.72
53,2000,55.51
53,2005,55.34
53,2010,54.72
53,2015,55.27
55,1985,42.00
55,1990,42.62
55,1995,43.46
55,2000,44.82
55,2005,43.92
55,2010,43.51
55,2015,44.48
57,1985,49.82
57,1990,50.12
57,1995,51.43
57,2000,52.13
57,2005,51.92
57,2010,51.60
57,2015,52.18
59,1985,51.01
59,1990,51.32
59,1995,52.17
59,2000,53.60
59,2005,52.60
59,2010,52.72
59,2015,53.16
61,1985,54.32
61,1990,54.43
61,1995,56.00
61,2000,56.61
61,2005,56.57
61,2010,55.94
61,2015,56.54
