county,year,precip
1,1985,30.83
1,1990,46.38
1,1995,35.90
1,2000,47.44
1,2005,47.13
1,2010,44.27
1,2015,37.51
3,1985,35.88
3,1990,45.48
3,1995,32.76
3,2000,38.83
3,2005,39.97
3,2010,42.78
3,2015,40.04
5,1985,39.59
5,1990,54.43
5,1995,38.18
5,2000,44.67
5,2005,50.56
5,2010,44.97
5,2015,39.60
7,1985,34.89
7,1990,46.86
7,1995,35.12
7,2000,46.61
7,2005,45.87
7,2010,41.37
7,2015,41.07
9,1985,42.92
9,1990,53.83
9,1995,38.14
9,2000,43.34
9,2005,42.40
9,2010,43.23
9,2015,46.73
11,1985,35.86
11,1990,47.34
11,1995,34.13
11,2000,40.06
11,2005,45.21
11,2010,42.97
11,2015,42.30
13,1985,48.72
13,1990,54.99
13,1995,38.15
13,2000,42.44
13,2005,41.24
13,2010,40.24
13,2015,42.99
15,1985,29.88
15,1990,41.53
15,1995,30.84
15,2000,37.37
15,2005,41.10
15,2010,36.50
15,2015,31.97
17,1985,37.36
17,1990,49.29
17,1995,35.46
17,2000,50.51
17,2005,50.46
17,2010,42.76
17,2015,43.79
19,1985,34.12
19,1990,43.39
19,1995,37.35
19,2000,39.76
19,2005,47.48
19,2010,41.37
19,2015,37.08
21,1985,34.37
21,1990,52.14
21,1995,36.51
21,2000,49.64
21,2005,50.34
21,2010,41.39
21,2015,38.57
23,1985,37.47
23,1990,50.10
23,1995,36.63
23,2000,44.77
23,2005,46.65
23,2010,42.84
23,2015,42.95
25,1985,38.33
25,1990,50.29
25,1995,39.10
25,2000,51.27
25,2005,49.42
25,2010,49.12
25,2015,42.17
27,1985,40.93
27,1990,52.81
27,1995,40.92
27,2000,48.91
27,2005,52.04
27,2010,42.55
27,2015,36.06
29,1985,44.57
29,1990,47.11
29,1995,36.64
29,2000,42.66
29,2005,42.22
29,2010,38.54
29,2015,40.70
31,1985,40.86
31,1990,55.02
31,1995,38.54
31,2000,49.63
31,2005,49.94
31,2010,50.01
31,2015,44.09
33,1985,41.21
33,1990,49.20
33,1995,39.43
33,2000,46.99
33,2005,48.09
33,2010,45.18
33,2015,41.20
35,1985,39.64
35,1990,58.35
35,1995,42.41
35,2000,58.56
35,2005,49.16
35,2010,45.87
35,2015,43.31
37,1985,36.91
37,1990,40.89
37,1995,32.04
37,2000,37.94
37,2005,35.28
37,2010,36.96
37,2015,34.93
39,1985,35.02
39,1990,50.21
39,1995,39.32
39,2000,50.64
39,2005,51.90
39,2010,52.63
39,2015,40.88
41,1985,44.83
41,1990,59.44
41,1995,43.68
41,2000,54.07
41,2005,51.94
41,2010,47.62
41,2015,47.01
43,1985,44.73
43,1990,59.35
43,1995,41.84
43,2000,54.42
43,2005,48.13
43,2010,47.55
43,2015,45.46
45,1985,43.38
45,1990,45.11
45,1995,37.24
45,2000,48.04
45,2005,48.15
45,2010,43.25
45,2015,35.63
47,1985,37.74
47,1990,52.44
47,1995,38.70
47,2000,43.75
47,2005,50.44
47,2010,44.78
47,2015,39.29
49,1985,47.76
49,1990,56.43
49,1995,41.57
49,2000,50.34
49,2005,54.36
49,2010,46.92
49,2015,42.78
51,1985,33.79
51,1990,40.78
51,1995,29.37
51,2000,35.02
51,2005,37.15
51,2010,38.73
51,2015,37.80
53,1985,37.48
53,1990,49.63
53,1995,35.01
53,2000,48.26
53,2005,45.89
53,2010,43.52
53,2015,43.18
55,1985,32.86
55,1990,39.56
55,1995,28.36
55,2000,35.89
55,2005,35.05
55,2010,35.64
55,2015,34.74
57,1985,33.84
57,1990,48.80
57,1995,34.61
57,2000,50.66
57,2005,42.72
57,2010,44.07
57,2015,37.50
59,1985,38.34
59,1990,55.69
59,1995,36.64
59,2000,46.38
59,2005,51.47
59,2010,43.55
59,2015,38.12
61,1985,38.92
61,1990,54.71
61,1995,38.41
61,2000,44.59
61,2005,50.89
61,2010,44.89
61,2015,39.27
63,1985,37.59
63,1990,39.70
63,1995,33.08
63,2000,37.97
63,2005,35.08
63,2010,34.12
63,2015,30.57
65,1985,43.56
65,1990,55.75
65,1995,39.37
65,2000,51.10
65,2005,48.92
65,2010,46.21
65,2015,45.31
67,1985,35.90
67,1990,48.92
67,1995,34.88
67,2000,40.25
67,2005,44.82
67,2010,45.27
67,2015,43.23
69,1985,33.56
69,1990,40.92
69,1995,26.93
69,2000,35.43
69,2005,38.45
69,2010,39.22
69,2015,39.58
71,1985,42.43
71,1990,52.90
71,1995,39.34
71,2000,48.19
71,2005,52.67
71,2010,46.44
71,2015,40.94
73,1985,37.60
73,1990,39.37
73,1995,31.73
73,2000,37.48
73,2005,33.48
73,2010,33.83
73,2015,29.20
75,1985,43.04
75,1990,51.72
75,1995,40.76
75,2000,45.67
75,2005,49.51
75,2010,47.97
75,2015,43.40
77,1985,36.71
77,1990,50.35
77,1995,35.02
77,2000,54.23
77,2005,48.40
77,2010,48.59
77,2015,43.09
79,1985,43.04
79,1990,56.79
79,1995,42.75
79,2000,47.50
79,2005,58.32
79,2010,49.36
79,2015,38.03
81,1985,37.52
81,1990,52.65
81,1995,37.63
81,2000,44.71
81,2005,50.90
81,2010,44.84
81,2015,39.55
83,1985,33.40
83,1990,51.14
83,1995,37.94
83,2000,49.55
83,2005,49.22
83,2010,42.17
83,2015,39.72
85,1985,39.39
85,1990,53.74
85,1995,39.24
85,2000,44.53
85,2005,48.76
85,2010,45.27
85,2015,39.90
87,1985,43.14
87,1990,57.44
87,1995,40.31
87,2000,47.82
87,2005,53.47
87,2010,48.42
87,2015,40.77
89,1985,40.05
89,1990,46.30
89,1995,38.33
89,2000,45.78
89,2005,45.64
89,2010,43.00
89,2015,38.79
91,1985,34.86
91,1990,54.13
91,1995,37.97
91,2000,51.26
91,2005,49.93
91,2010,43.45
91,2015,40.34
93,1985,31.55
93,1990,47.32
93,1995,34.89
93,2000,47.06
93,2005,45.69
93,2010,41.43
93,2015,37.78
95,1985,32.78
95,1990,44.39
95,1995,33.46
95,2000,49.88
95,2005,46.09
95,2010,47.04
95,2015,36.19
97,1985,29.15
97,1990,41.78
97,1995,28.63
97,2000,36.43
97,2005,39.53
97,2010,37.25
97,2015,34.11
99,1985,31.91
99,1990,43.95
99,1995,29.68
99,2000,36.66
99,2005,40.19
99,2010,38.04
99,2015,38.50
101,1985,31.24
101,1990,42.45
101,1995,30.24
101,2000,35.46
101,2005,37.85
101,2010,38.02
101,2015,36.19
103,1985,37.07
103,1990,51.96
103,1995,37.56
103,2000,44.08
103,2005,50.33
103,2010,43.74
103,2015,36.06
105,1985,45.60
105,1990,53.34
105,1995,42.90
105,2000,52.75
105,2005,54.87
105,2010,49.72
105,2015,44.14
107,1985,31.76
107,1990,45.11
107,1995,32.14
107,2000,42.10
107,2005,43.69
107,2010,39.27
107,2015,36.51
109,1985,32.36
109,1990,45.62
109,1995,33.02
109,2000,39.38
109,2005,42.22
109,2010,39.94
109,2015,37.02
111,1985,44.21
111,1990,56.43
111,1995,45.24
111,2000,55.42
111,2005,58.48
111,2010,49.72
111,2015,46.49
113,1985,37.10
113,1990,57.49
113,1995,37.85
113,2000,51.62
113,2005,51.77
113,2010,48.04
113,2015,41.25
115,1985,31.48
115,1990,51.56
115,1995,34.57
115,2000,44.88
115,2005,46.51
115,2010,41.28
115,2015,35.55
117,1985,35.77
117,1990,42.51
117,1995,28.91
117,2000,37.09
117,2005,39.81
117,2010,37.50
117,2015,40.55
119,1985,42.42
119,1990,56.52
119,1995,40.08
119,2000,46.80
119,2005,55.54
119,2010,48.81
119,2015,40.26
121,1985,40.90
121,1990,44.96
121,1995,35.48
121,2000,41.50
121,2005,41.68
121,2010,41.14
121,2015,42.63
123,1985,30.47
123,1990,39.98
123,1995,26.89
123,2000,36.45
123,2005,36.79
123,2010,36.94
123,2015,35.08
