county,year,temp
1,1985,46.56
1,1990,49.15
1,1995,47.06
1,2000,46.21
1,2005,47.83
1,2010,49.26
1,2015,47.35
3,1985,44.76
3,1990,47.32
3,1995,44.97
3,2000,45.03
3,2005,45.46
3,2010,46.48
3,2015,45.58
5,1985,53.66
5,1990,55.62
5,1995,53.82
5,2000,53.18
5,2005,54.81
5,2010,56.23
5,2015,55.31
7,1985,45.96
7,1990,48.36
7,1995,46.22
7,2000,45.84
7,2005,46.90
7,2010,47.95
7,2015,46.46
9,1985,44.65
9,1990,47.37
9,1995,45.02
9,2000,44.85
9,2005,45.66
9,2010,46.03
9,2015,45.38
11,1985,46.29
11,1990,48.90
11,1995,46.71
11,2000,46.38
11,2005,47.61
11,2010,48.28
11,2015,46.52
13,1985,46.07
13,1990,48.49
13,1995,46.34
13,2000,46.37
13,2005,47.15
13,2010,47.37
13,2015,46.28
15,1985,45.62
15,1990,48.39
15,1995,46.20
15,2000,46.01
15,2005,46.81
15,2010,47.83
15,2015,46.48
17,1985,44.60
17,1990,47.37
17,1995,44.86
17,2000,44.63
17,2005,45.88
17,2010,46.76
17,2015,45.18
19,1985,41.52
19,1990,44.25
19,1995,42.73
19,2000,42.26
19,2005,43.67
19,2010,45.23
19,2015,43.12
21,1985,47.49
21,1990,50.13
21,1995,48.09
21,2000,47.47
21,2005,48.82
21,2010,50.46
21,2015,48.69
23,1985,44.35
23,1990,47.04
23,1995,44.87
23,2000,44.55
23,2005,45.84
23,2010,46.37
23,2015,44.72
25,1985,44.12
25,1990,46.76
25,1995,44.28
25,2000,43.99
25,2005,45.33
25,2010,46.25
25,2015,44.74
27,1985,48.21
27,1990,50.81
27,1995,48.63
27,2000,48.16
27,2005,49.68
27,2010,51.18
27,2015,50.21
29,1985,46.34
29,1990,48.92
29,1995,46.86
29,2000,46.69
29,2005,47.81
29,2010,48.18
29,2015,47.24
31,1985,40.41
31,1990,43.19
31,1995,41.29
31,2000,40.98
31,2005,42.62
31,2010,44.02
31,2015,41.52
33,1985,39.93
33,1990,43.04
33,1995,41.19
33,2000,41.10
33,2005,42.63
33,2010,43.93
33,2015,41.68
35,1985,43.56
35,1990,45.94
35,1995,44.12
35,2000,43.68
35,2005,45.15
35,2010,46.48
35,2015,44.42
37,1985,46.35
37,1990,48.76
37,1995,46.66
37,2000,46.77
37,2005,47.72
37,2010,48.32
37,2015,47.46
39,1985,45.43
39,1990,48.11
39,1995,45.75
39,2000,45.43
39,2005,46.65
39,2010,48.18
39,2015,46.10
41,1985,39.73
41,1990,42.54
41,1995,40.61
41,2000,40.37
41,2005,41.92
41,2010,42.99
41,2015,40.76
43,1985,41.85
43,1990,44.47
43,1995,42.52
43,2000,42.09
43,2005,43.72
43,2010,44.58
43,2015,42.89
45,1985,43.45
45,1990,46.45
45,1995,44.55
45,2000,43.93
45,2005,45.60
45,2010,46.69
45,2015,44.96
47,1985,54.18
47,1990,56.01
47,1995,54.19
47,2000,53.53
47,2005,55.02
47,2010,56.55
47,2015,55.86
49,1985,41.50
49,1990,43.93
49,1995,42.14
49,2000,41.71
49,2005,43.32
49,2010,44.26
49,2015,42.44
51,1985,46.48
51,1990,49.06
51,1995,46.84
51,2000,46.68
51,2005,47.57
51,2010,48.61
51,2015,47.40
53,1985,44.58
53,1990,47.02
53,1995,44.80
53,2000,44.50
53,2005,46.02
53,2010,46.58
53,2015,44.99
55,1985,47.25
55,1990,49.68
55,1995,47.62
55,2000,47.47
55,2005,48.40
55,2010,49.29
55,2015,48.48
57,1985,45.84
57,1990,48.39
57,1995,46.27
57,2000,45.77
57,2005,47.26
57,2010,48.33
57,2015,46.55
59,1985,53.08
59,1990,54.65
59,1995,53.07
59,2000,52.28
59,2005,54.20
59,2010,55.59
59,2015,54.72
61,1985,53.93
61,1990,55.92
61,1995,54.02
61,2000,53.42
61,2005,55.05
61,2010,56.43
61,2015,55.67
63,1985,47.08
63,1990,49.40
63,1995,47.62
63,2000,47.48
63,2005,49.03
63,2010,49.35
63,2015,48.11
65,1985,44.24
65,1990,46.59
65,1995,44.72
65,2000,44.56
65,2005,46.00
65,2010,46.80
65,2015,45.04
67,1985,46.07
67,1990,48.53
67,1995,46.33
67,2000,45.84
67,2005,47.40
67,2010,48.00
67,2015,46.45
69,1985,46.72
69,1990,49.16
69,1995,46.98
69,2000,46.76
69,2005,47.80
69,2010,48.61
69,2015,47.12
71,1985,48.78
71,1990,50.90
71,1995,48.88
71,2000,48.41
71,2005,49.77
71,2010,51.08
71,2015,49.94
73,1985,46.80
73,1990,49.33
73,1995,47.25
73,2000,47.12
73,2005,48.37
73,2010,48.89
73,2015,48.04
75,1985,45.27
75,1990,47.58
75,1995,45.48
75,2000,45.27
75,2005,46.71
75,2010,47.51
75,2015,46.02
77,1985,44.10
77,1990,46.77
77,1995,44.27
77,2000,43.75
77,2005,45.32
77,2010,46.07
77,2015,44.66
79,1985,48.99
79,1990,51.06
79,1995,49.14
79,2000,48.70
79,2005,50.13
79,2010,51.41
79,2015,50.56
81,1985,53.86
81,1990,55.61
81,1995,53.93
81,2000,53.12
81,2005,54.79
81,2010,56.25
81,2015,55.51
83,1985,46.00
83,1990,48.53
83,1995,46.36
83,2000,45.80
83,2005,47.33
83,2010,48.76
83,2015,47.15
85,1985,53.73
85,1990,55.73
85,1995,53.90
85,2000,53.45
85,2005,54.86
85,2010,56.32
85,2015,55.65
87,1985,50.59
87,1990,52.69
87,1995,50.84
87,2000,50.30
87,2005,51.77
87,2010,53.16
87,2015,52.10
89,1985,41.85
89,1990,44.77
89,1995,43.08
89,2000,42.76
89,2005,44.44
89,2010,45.57
89,2015,43.43
91,1985,44.77
91,1990,47.43
91,1995,45.63
91,2000,44.92
91,2005,46.62
91,2010,48.20
91,2015,46.23
93,1985,46.05
93,1990,48.71
93,1995,46.62
93,2000,45.75
93,2005,47.47
93,2010,48.70
93,2015,47.07
95,1985,44.64
95,1990,47.42
95,1995,44.93
95,2000,44.50
95,2005,45.82
95,2010,46.80
95,2015,44.93
97,1985,45.52
97,1990,48.22
97,1995,45.98
97,2000,45.70
97,2005,46.64
97,2010,47.53
97,2015,46.20
99,1985,47.27
99,1990,49.88
99,1995,47.59
99,2000,47.30
99,2005,48.48
99,2010,49.18
99,2015,47.30
101,1985,45.13
101,1990,47.77
101,1995,45.43
101,2000,45.32
101,2005,46.05
101,2010,47.18
101,2015,45.86
103,1985,51.43
103,1990,53.33
103,1995,51.70
103,2000,50.96
103,2005,52.28
103,2010,53.83
103,2015,52.72
105,1985,45.68
105,1990,48.09
105,1995,45.88
105,2000,45.61
105,2005,46.99
105,2010,48.13
105,2015,46.48
107,1985,46.03
107,1990,48.43
107,1995,46.33
107,2000,46.06
107,2005,47.06
107,2010,47.89
107,2015,46.44
109,1985,45.65
109,1990,48.41
109,1995,46.16
109,2000,45.99
109,2005,46.95
109,2010,47.59
109,2015,45.83
111,1985,46.43
111,1990,48.99
111,1995,46.83
111,2000,46.54
111,2005,48.03
111,2010,49.13
111,2015,47.82
113,1985,42.23
113,1990,44.85
113,1995,43.12
113,2000,42.64
113,2005,44.24
113,2010,45.77
113,2015,43.65
115,1985,44.68
115,1990,47.39
115,1995,45.45
115,2000,44.83
115,2005,46.38
115,2010,47.99
115,2015,46.42
117,1985,47.11
117,1990,49.46
117,1995,47.48
117,2000,47.12
117,2005,48.25
117,2010,49.07
117,2015,47.53
119,1985,50.85
119,1990,52.74
119,1995,51.05
119,2000,50.53
119,2005,52.02
119,2010,53.35
119,2015,52.41
121,1985,44.96
121,1990,47.47
121,1995,45.11
121,2000,45.23
121,2005,46.12
121,2010,46.78
121,2015,45.82
123,1985,46.45
123,1990,48.98
123,1995,46.76
123,2000,46.39
123,2005,47.53
123,2010,48.35
123,2015,46.98
