county,year,precip
1,1985,51.46
1,1990,44.85
1,1995,54.41
1,2000,38.85
1,2005,38.36
1,2010,40.86
1,2015,50.61
3,1985,45.60
3,1990,53.67
3,1995,46.71
3,2000,32.78
3,2005,42.77
3,2010,46.30
3,2015,51.56
5,1985,44.26
5,1990,57.70
5,1995,56.35
5,2000,38.47
5,2005,51.23
5,2010,49.80
5,2015,62.86
7,1985,48.76
7,1990,43.89
7,1995,50.84
7,2000,40.85
7,2005,44.68
7,2010,37.82
7,2015,55.48
9,1985,45.37
9,1990,54.48
9,1995,54.19
9,2000,39.72
9,2005,47.22
9,2010,46.29
9,2015,61.79
11,1985,53.18
11,1990,60.88
11,1995,59.91
11,2000,43.77
11,2005,52.20
11,2010,48.69
11,2015,68.29
13,1985,51.98
13,1990,44.91
13,1995,53.14
13,2000,53.60
13,2005,57.13
13,2010,53.20
13,2015,61.35
15,1985,46.40
15,1990,43.97
15,1995,49.29
15,2000,45.54
15,2005,47.05
15,2010,52.23
15,2015,54.00
17,1985,40.77
17,1990,37.38
17,1995,54.49
17,2000,50.59
17,2005,48.20
17,2010,45.08
17,2015,61.18
19,1985,49.95
19,1990,42.25
19,1995,56.61
19,2000,54.95
19,2005,62.37
19,2010,50.48
19,2015,69.65
21,1985,40.96
21,1990,55.33
21,1995,54.74
21,2000,39.60
21,2005,50.64
21,2010,41.54
21,2015,58.28
23,1985,47.55
23,1990,56.61
23,1995,53.91
23,2000,38.22
23,2005,49.57
23,2010,44.69
23,2015,56.51
25,1985,45.90
25,1990,53.46
25,1995,55.36
25,2000,37.61
25,2005,41.71
25,2010,39.44
25,2015,51.77
27,1985,48.58
27,1990,58.74
27,1995,52.19
27,2000,41.76
27,2005,50.55
27,2010,48.11
27,2015,59.37
29,1985,46.09
29,1990,43.12
29,1995,38.57
29,2000,47.65
29,2005,48.45
29,2010,51.70
29,2015,53.16
31,1985,61.36
31,1990,41.87
31,1995,53.69
31,2000,62.59
31,2005,61.95
31,2010,53.89
31,2015,71.77
33,1985,41.64
33,1990,48.01
33,1995,51.70
33,2000,40.68
33,2005,37.37
33,2010,44.81
33,2015,52.27
35,1985,45.04
35,1990,54.23
35,1995,49.80
35,2000,34.99
35,2005,45.93
35,2010,45.13
35,2015,51.38
37,1985,50.13
37,1990,44.80
37,1995,56.48
37,2000,39.07
37,2005,40.79
37,2010,38.40
37,2015,54.49
39,1985,49.33
39,1990,74.73
39,1995,64.24
39,2000,51.90
39,2005,56.06
39,2010,57.95
39,2015,70.58
41,1985,47.24
41,1990,43.59
41,1995,47.32
41,2000,44.78
41,2005,52.56
