county,year,temp
1,1985,58.57
1,1990,60.92
1,1995,58.35
1,2000,58.24
1,2005,59.33
1,2010,59.24
1,2015,59.79
3,1985,57.46
3,1990,59.35
3,1995,57.06
3,2000,57.11
3,2005,57.99
3,2010,57.87
3,2015,58.77
5,1985,51.18
5,1990,53.64
5,1995,51.12
5,2000,51.17
5,2005,52.07
5,2010,51.30
5,2015,53.43
7,1985,61.34
7,1990,63.64
7,1995,60.62
7,2000,60.77
7,2005,61.78
7,2010,61.48
7,2015,63.35
9,1985,49.84
9,1990,52.36
9,1995,49.97
9,2000,49.98
9,2005,50.82
9,2010,49.80
9,2015,52.12
11,1985,49.15
11,1990,51.74
11,1995,49.14
11,2000,49.35
11,2005,50.29
11,2010,49.41
11,2015,51.38
13,1985,62.41
13,1990,63.75
13,1995,60.85
13,2000,60.83
13,2005,61.90
13,2010,61.64
13,2015,63.47
15,1985,60.55
15,1990,62.09
15,1995,59.37
15,2000,59.10
15,2005,60.29
15,2010,60.16
15,2015,61.36
17,1985,62.93
17,1990,64.10
17,1995,61.36
17,2000,61.07
17,2005,62.59
17,2010,61.88
17,2015,63.53
19,1985,63.73
19,1990,65.02
19,1995,62.40
19,2000,62.05
19,2005,63.39
19,2010,62.40
19,2015,64.56
21,1985,53.16
21,1990,55.40
21,1995,52.96
21,2000,53.17
21,2005,53.98
21,2010,53.27
21,2015,55.49
23,1985,56.78
23,1990,59.15
23,1995,56.73
23,2000,56.76
23,2005,57.72
23,2010,57.19
23,2015,58.75
25,1985,59.71
25,1990,61.96
25,1995,59.22
25,2000,59.07
25,2005,60.16
25,2010,60.03
25,2015,61.27
27,1985,56.47
27,1990,58.73
27,1995,56.22
27,2000,56.36
27,2005,57.36
27,2010,56.88
27,2015,58.30
29,1985,60.26
29,1990,61.52
29,1995,59.54
29,2000,59.13
29,2005,59.84
29,2010,59.93
29,2015,61.19
31,1985,63.76
31,1990,65.19
31,1995,62.37
31,2000,62.30
31,2005,63.22
31,2010,62.43
31,2015,64.67
