county,year,precip
1,1985,14.55
1,1990,9.83
1,1995,19.60
1,2000,17.63
1,2005,16.50
1,2010,19.92
1,2015,13.58
3,1985,17.19
3,1990,18.10
3,1995,22.18
3,2000,22.72
3,2005,22.07
3,2010,28.18
3,2015,20.53
5,1985,19.38
5,1990,16.35
5,1995,17.71
5,2000,24.19
5,2005,21.99
5,2010,24.35
5,2015,16.47
7,1985,14.16
7,1990,11.12
7,1995,16.20
7,2000,14.18
7,2005,17.68
7,2010,18.83
7,2015,14.13
9,1985,17.28
9,1990,16.54
9,1995,18.06
9,2000,21.78
9,2005,22.35
9,2010,25.27
9,2015,18.31
11,1985,13.10
11,1990,9.23
11,1995,16.59
11,2000,14.75
11,2005,18.16
11,2010,18.42
11,2015,15.95
13,1985,16.79
13,1990,14.93
13,1995,19.34
13,2000,21.56
13,2005,19.46
13,2010,23.40
13,2015,17.38
15,1985,17.25
15,1990,16.43
15,1995,20.06
15,2000,23.00
15,2005,18.94
15,2010,22.68
15,2015,17.26
17,1985,18.72
17,1990,17.28
17,1995,23.01
17,2000,28.90
17,2005,26.87
17,2010,29.08
17,2015,20.32
19,1985,21.06
19,1990,16.16
19,1995,22.87
19,2000,23.42
19,2005,23.02
19,2010,27.91
19,2015,20.64
21,1985,15.88
21,1990,17.98
21,1995,24.25
21,2000,21.86
21,2005,24.64
21,2010,23.58
21,2015,21.05
23,1985,14.34
23,1990,14.98
23,1995,16.94
23,2000,19.35
23,2005,16.47
23,2010,22.17
23,2015,15.57
25,1985,16.32
25,1990,12.93
25,1995,18.24
25,2000,16.80
25,2005,21.07
25,2010,20.28
25,2015,16.36
27,1985,18.91
27,1990,18.33
27,1995,20.69
27,2000,25.52
27,2005,18.80
27,2010,23.68
27,2015,17.35
29,1985,15.82
29,1990,13.96
29,1995,22.88
29,2000,17.95
29,2005,19.37
29,2010,20.65
29,2015,18.89
31,1985,17.09
31,1990,18.09
31,1995,21.31
31,2000,25.76
31,2005,18.03
31,2010,24.26
31,2015,18.18
33,1985,14.05
33,1990,9.90
33,1995,15.19
33,2000,13.82
33,2005,19.38
33,2010,19.61
33,2015,14.49
35,1985,21.08
35,1990,16.28
35,1995,23.22
35,2000,25.19
35,2005,23.08
35,2010,25.85
35,2015,21.15
37,1985,15.49
37,1990,10.52
37,1995,19.54
37,2000,19.22
37,2005,19.43
37,2010,22.48
37,2015,17.52
39,1985,18.77
39,1990,18.46
39,1995,22.61
39,2000,24.69
39,2005,20.10
39,2010,26.02
39,2015,20.78
41,1985,15.92
41,1990,11.48
41,1995,21.14
41,2000,17.49
41,2005,18.47
41,2010,18.50
41,2015,14.55
43,1985,15.23
43,1990,18.84
43,1995,21.20
43,2000,21.43
43,2005,18.20
43,2010,21.02
43,2015,17.06
45,1985,17.34
45,1990,17.61
45,1995,23.85
45,2000,23.02
45,2005,23.24
45,2010,25.03
45,2015,19.74
47,1985,16.50
47,1990,15.61
47,1995,24.06
47,2000,20.51
47,2005,20.12
47,2010,23.14
47,2015,19.40
49,1985,18.22
49,1990,16.62
49,1995,15.89
49,2000,22.37
49,2005,22.54
49,2010,24.45
49,2015,16.79
51,1985,15.75
51,1990,14.90
51,1995,24.56
51,2000,19.66
51,2005,22.17
51,2010,21.63
