county,year,temp
1,1985,39.64
1,1990,44.60
1,1995,42.41
1,2000,43.04
1,2005,44.38
1,2010,41.43
1,2015,45.22
3,1985,38.42
3,1990,42.60
3,1995,39.52
3,2000,41.07
3,2005,42.52
3,2010,41.32
3,2015,43.36
5,1985,36.68
5,1990,40.91
5,1995,37.57
5,2000,39.68
5,2005,40.76
5,2010,40.24
5,2015,42.02
7,1985,40.04
7,1990,44.46
7,1995,42.07
7,2000,42.56
7,2005,43.78
7,2010,41.59
7,2015,44.88
9,1985,36.52
9,1990,40.51
9,1995,37.54
9,2000,39.40
9,2005,40.40
9,2010,39.57
9,2015,41.61
11,1985,40.11
11,1990,44.76
11,1995,42.68
11,2000,43.18
11,2005,44.44
11,2010,41.71
11,2015,45.30
13,1985,36.40
13,1990,40.56
13,1995,37.72
13,2000,38.73
13,2005,40.26
13,2010,38.62
13,2015,41.45
15,1985,38.50
15,1990,43.19
15,1995,40.13
15,2000,41.61
15,2005,43.27
15,2010,41.16
15,2015,43.84
17,1985,38.98
17,1990,43.40
17,1995,40.43
17,2000,41.73
17,2005,43.26
17,2010,42.60
17,2015,44.13
19,1985,34.77
19,1990,38.44
19,1995,35.88
19,2000,38.01
19,2005,38.70
19,2010,39.05
19,2015,40.26
21,1985,39.50
21,1990,43.62
21,1995,40.70
21,2000,42.08
21,2005,43.96
21,2010,42.42
21,2015,44.47
23,1985,36.87
23,1990,40.91
23,1995,38.27
23,2000,38.83
23,2005,40.69
23,2010,38.85
23,2015,42.22
25,1985,39.44
25,1990,43.97
25,1995,41.02
25,2000,41.85
25,2005,43.16
25,2010,40.81
25,2015,44.46
27,1985,37.27
27,1990,41.69
27,1995,38.33
27,2000,40.41
27,2005,41.74
27,2010,40.84
27,2015,42.43
29,1985,39.90
29,1990,44.18
29,1995,41.07
29,2000,42.67
29,2005,44.17
29,2010,41.85
29,2015,44.54
31,1985,37.51
31,1990,41.94
31,1995,38.72
31,2000,40.54
31,2005,42.09
31,2010,40.99
31,2015,42.73
33,1985,40.18
33,1990,44.77
33,1995,42.46
33,2000,42.93
33,2005,43.93
33,2010,41.65
33,2015,45.09
35,1985,37.40
35,1990,41.44
35,1995,38.63
35,2000,40.77
35,2005,41.35
35,2010,41.42
35,2015,42.51
37,1985,40.11
37,1990,44.53
37,1995,41.70
37,2000,42.81
37,2005,44.34
37,2010,41.42
37,2015,45.11
39,1985,37.06
39,1990,41.24
39,1995,38.24
39,2000,40.11
39,2005,41.43
39,2010,40.58
39,2015,42.02
41,1985,39.65
41,1990,44.23
41,1995,41.88
41,2000,42.72
41,2005,43.82
41,2010,41.14
41,2015,44.94
43,1985,37.88
43,1990,42.36
43,1995,39.39
43,2000,41.08
43,2005,42.48
43,2010,40.77
43,2015,42.96
45,1985,39.31
45,1990,43.40
45,1995,40.28
45,2000,41.80
45,2005,43.54
45,2010,42.03
45,2015,44.04
47,1985,38.72
47,1990,42.71
47,1995,39.78
47,2000,41.51
47,2005,42.99
47,2010,40.98
47,2015,43.26
49,1985,37.31
49,1990,41.88
49,1995,38.61
49,2000,40.46
49,2005,41.68
49,2010,40.48
49,2015,42.58
51,1985,38.95
51,1990,42.95
51,1995,40.06
51,2000,41.84
51,2005,43.50
51,2010,41.37
51,2015,43.71
53,1985,39.44
53,1990,44.05
53,1995,41.27
53,2000,42.01
53,2005,43.33
53,2010,40.96
53,2015,44.62
55,1985,38.49
55,1990,43.20
55,1995,39.92
55,2000,41.12
55,2005,42.75
55,2010,40.98
55,2015,43.93
57,1985,39.58
57,1990,43.97
57,1995,40.71
57,2000,42.06
57,2005,43.50
57,2010,41.27
57,2015,44.61
59,1985,39.66
59,1990,44.14
59,1995,41.11
59,2000,42.31
59,2005,44.00
59,2010,41.32
59,2015,44.74
61,1985,37.72
61,1990,41.96
61,1995,38.92
61,2000,40.08
61,2005,41.29
61,2010,39.50
61,2015,42.76
63,1985,36.17
63,1990,40.32
63,1995,37.35
63,2000,39.58
63,2005,40.44
63,2010,40.07
63,2015,41.16
65,1985,39.53
65,1990,43.84
65,1995,40.77
65,2000,41.86
65,2005,43.58
65,2010,41.20
65,2015,44.48
67,1985,36.03
67,1990,39.88
67,1995,37.52
67,2000,39.64
67,2005,40.36
67,2010,40.87
67,2015,41.87
69,1985,36.07
69,1990,40.39
69,1995,37.37
69,2000,39.37
69,2005,40.52
69,2010,39.72
69,2015,41.70
71,1985,36.41
71,1990,40.36
71,1995,36.95
71,2000,39.29
71,2005,40.08
71,2010,40.02
71,2015,41.23
73,1985,39.41
73,1990,43.83
73,1995,40.83
73,2000,42.25
73,2005,44.01
73,2010,42.77
73,2015,44.19
75,1985,37.44
75,1990,41.57
75,1995,38.34
75,2000,39.80
75,2005,41.15
