county,year,precip
1,1985,40.75
1,1990,52.99
1,1995,40.84
1,2000,46.95
1,2005,40.41
1,2010,45.09
1,2015,50.32
3,1985,36.45
3,1990,49.26
3,1995,34.69
3,2000,36.25
3,2005,40.28
3,2010,33.40
3,2015,49.26
5,1985,41.18
5,1990,51.69
5,1995,40.22
5,2000,40.38
5,2005,39.51
5,2010,35.87
5,2015,39.34
7,1985,46.21
7,1990,51.36
7,1995,36.98
7,2000,41.69
7,2005,42.35
7,2010,40.91
7,2015,40.76
9,1985,39.01
9,1990,50.88
9,1995,39.75
9,2000,40.78
9,2005,38.75
9,2010,44.61
9,2015,45.94
11,1985,36.72
11,1990,51.25
11,1995,37.89
11,2000,36.63
11,2005,42.05
11,2010,33.94
11,2015,49.00
13,1985,40.86
13,1990,56.18
13,1995,37.44
13,2000,39.91
13,2005,42.45
13,2010,35.31
13,2015,46.18
15,1985,40.53
15,1990,57.16
15,1995,42.73
15,2000,46.30
15,2005,38.98
15,2010,38.45
15,2015,51.81
17,1985,45.27
17,1990,58.96
17,1995,42.94
17,2000,42.97
17,2005,39.62
17,2010,36.57
17,2015,47.73
19,1985,38.72
19,1990,53.31
19,1995,35.91
19,2000,41.14
19,2005,42.14
19,2010,39.63
19,2015,39.48
21,1985,38.40
21,1990,51.37
21,1995,44.04
21,2000,40.87
21,2005,45.03
21,2010,36.34
21,2015,44.39
23,1985,39.00
23,1990,52.59
23,1995,43.18
23,2000,42.06
23,2005,42.85
23,2010,36.37
23,2015,46.39
25,1985,42.23
25,1990,57.56
25,1995,45.76
25,2000,46.93
25,2005,40.49
25,2010,34.45
25,2015,49.25
27,1985,41.82
27,1990,57.63
27,1995,42.93
27,2000,45.87
27,2005,40.33
27,2010,37.65
27,2015,48.66
29,1985,41.29
29,1990,51.22
29,1995,34.23
29,2000,41.32
29,2005,39.00
29,2010,39.36
29,2015,41.79
31,1985,38.04
31,1990,53.99
31,1995,37.68
31,2000,41.08
31,2005,42.47
31,2010,37.68
31,2015,40.89
33,1985,39.53
33,1990,51.22
33,1995,40.29
33,2000,40.21
33,2005,40.51
33,2010,34.97
33,2015,39.85
35,1985,41.16
35,1990,49.08
35,1995,37.71
35,2000,39.78
35,2005,39.47
35,2010,35.12
35,2015,39.56
37,1985,37.67
37,1990,51.81
37,1995,39.09
37,2000,39.34
37,2005,44.29
37,2010,35.25
37,2015,44.13
39,1985,37.54
39,1990,45.79
39,1995,31.57
39,2000,39.79
39,2005,33.96
39,2010,32.91
39,2015,38.31
41,1985,38.14
41,1990,50.87
41,1995,44.66
41,2000,42.69
41,2005,44.13
41,2010,33.46
41,2015,43.83
43,1985,38.54
43,1990,42.61
43,1995,37.19
43,2000,40.85
43,2005,40.21
43,2010,31.74
43,2015,38.07
