county,year,precip
1,1985,56.70
1,1990,66.48
1,1995,50.53
1,2000,50.42
1,2005,33.56
1,2010,41.96
1,2015,70.14
3,1985,30.12
3,1990,23.30
3,1995,34.96
3,2000,32.33
3,2005,26.92
3,2010,30.12
3,2015,39.95
5,1985,52.35
5,1990,71.92
5,1995,44.39
5,2000,41.01
5,2005,28.71
5,2010,38.35
5,2015,79.09
7,1985,23.68
7,1990,17.24
7,1995,21.44
7,2000,20.97
7,2005,22.56
7,2010,21.95
7,2015,33.38
9,1985,26.95
9,1990,27.47
9,1995,35.52
9,2000,28.40
9,2005,24.62
9,2010,25.04
9,2015,40.60
11,1985,31.40
11,1990,28.90
11,1995,38.20
11,2000,32.40
11,2005,28.15
11,2010,26.97
11,2015,37.58
13,1985,47.31
13,1990,64.96
13,1995,44.59
13,2000,42.28
13,2005,25.68
13,2010,37.34
13,2015,75.40
15,1985,38.92
15,1990,35.56
15,1995,37.71
15,2000,36.34
15,2005,25.19
15,2010,24.86
15,2015,46.44
17,1985,37.36
17,1990,33.88
17,1995,38.53
17,2000,35.78
17,2005,28.26
17,2010,29.40
17,2015,46.57
19,1985,40.72
19,1990,56.10
19,1995,38.25
19,2000,40.51
19,2005,29.36
19,2010,33.19
19,2015,71.01
21,1985,57.46
21,1990,61.65
21,1995,46.41
21,2000,50.09
21,2005,31.01
21,2010,41.16
21,2015,67.48
23,1985,52.99
23,1990,67.53
23,1995,41.78
23,2000,47.30
23,2005,28.57
23,2010,39.19
23,2015,77.56
25,1985,17.55
25,1990,17.35
25,1995,13.87
25,2000,16.93
25,2005,13.05
25,2010,16.27
25,2015,27.33
27,1985,47.89
27,1990,45.67
27,1995,39.40
27,2000,41.45
27,2005,26.09
27,2010,33.07
27,2015,61.47
29,1985,48.79
29,1990,67.21
29,1995,43.14
29,2000,40.66
29,2005,31.33
29,2010,39.73
29,2015,79.85
31,1985,41.33
31,1990,37.94
31,1995,37.63
31,2000,37.91
31,2005,24.49
31,2010,28.81
31,2015,47.14
33,1985,38.24
33,1990,39.19
33,1995,37.84
33,2000,34.81
33,2005,24.83
33,2010,27.92
33,2015,49.89
35,1985,62.47
35,1990,50.92
35,1995,42.97
35,2000,43.82
35,2005,33.11
35,2010,37.89
35,2015,54.96
37,1985,51.87
37,1990,48.32
37,1995,44.01
37,2000,43.37
37,2005,31.06
37,2010,36.21
37,2015,53.45
39,1985,28.47
39,1990,30.20
39,1995,36.28
39,2000,31.11
39,2005,25.15
39,2010,23.48
39,2015,40.46
41,1985,59.71
41,1990,57.74
41,1995,45.45
41,2000,45.36
41,2005,34.19
41,2010,39.89
41,2015,56.93
43,1985,30.21
43,1990,27.82
43,1995,33.79
43,2000,32.06
43,2005,22.92
43,2010,26.14
43,2015,42.84
45,1985,31.12
45,1990,22.53
45,1995,26.38
45,2000,30.11
45,2005,27.00
45,2010,24.90
45,2015,34.04
47,1985,38.34
47,1990,27.41
47,1995,38.10
47,2000,31.80
47,2005,30.98
47,2010,31.61
47,2015,40.60
49,1985,48.14
49,1990,54.73
49,1995,42.43
49,2000,40.00
49,2005,29.79
49,2010,31.84
49,2015,61.71
51,1985,44.30
51,1990,41.14
51,1995,38.02
51,2000,39.05
51,2005,24.43
51,2010,29.38
51,2015,54.11
53,1985,34.65
53,1990,24.84
53,1995,38.29
53,2000,31.76
53,2005,28.13
53,2010,30.60
53,2015,39.39
55,1985,30.00
55,1990,29.57
55,1995,37.75
55,2000,26.10
55,2005,24.43
55,2010,23.31
55,2015,41.38
57,1985,30.07
57,1990,28.92
57,1995,37.26
57,2000,27.48
57,2005,21.75
57,2010,23.85
57,2015,40.52
59,1985,32.49
59,1990,17.19
59,1995,22.10
59,2000,25.62
59,2005,28.21
59,2010,22.28
59,2015,31.61
61,1985,53.76
61,1990,70.73
61,1995,43.25
61,2000,44.27
61,2005,29.36
61,2010,39.52
61,2015,73.85
63,1985,51.72
63,1990,61.83
63,1995,41.01
63,2000,43.13
63,2005,31.33
63,2010,40.13
63,2015,78.85
65,1985,32.53
65,1990,31.98
65,1995,39.55
65,2000,30.79
65,2005,23.92
65,2010,26.15
65,2015,39.93
67,1985,39.95
67,1990,44.97
67,1995,33.23
67,2000,34.95
67,2005,28.25
67,2010,32.23
67,2015,65.77
69,1985,45.85
69,1990,62.43
69,1995,42.42
69,2000,40.03
69,2005,28.96
69,2010,37.49
69,2015,76.68
71,1985,40.61
71,1990,30.02
71,1995,39.29
71,2000,34.50
71,2005,31.15
71,2010,31.31
71,2015,39.77
73,1985,35.50
73,1990,30.26
73,1995,38.34
73,2000,33.21
