county,year,temp
1,1985,57.33
1,1990,59.90
1,1995,58.38
1,2000,58.70
1,2005,59.93
1,2010,59.17
1,2015,59.53
3,1985,56.94
3,1990,59.62
3,1995,57.78
3,2000,59.13
3,2005,59.52
3,2010,58.94
3,2015,59.55
5,1985,61.47
5,1990,63.02
5,1995,61.91
5,2000,62.33
5,2005,63.22
5,2010,62.11
5,2015,62.87
7,1985,56.31
7,1990,57.52
7,1995,56.42
7,2000,57.94
7,2005,57.72
7,2010,57.48
7,2015,58.48
9,1985,58.62
9,1990,60.38
9,1995,59.09
9,2000,60.42
9,2005,60.13
9,2010,60.13
9,2015,60.54
11,1985,57.86
11,1990,59.99
11,1995,58.54
11,2000,59.87
11,2005,60.21
11,2010,59.84
11,2015,60.60
13,1985,62.35
13,1990,63.68
13,1995,62.45
13,2000,62.98
13,2005,64.21
13,2010,63.11
13,2015,63.82
15,1985,59.13
15,1990,60.70
15,1995,59.80
15,2000,60.88
15,2005,60.92
15,2010,61.02
15,2015,61.88
17,1985,58.12
17,1990,60.59
17,1995,59.28
17,2000,60.21
17,2005,60.66
17,2010,60.58
17,2015,61.30
19,1985,61.89
19,1990,63.27
19,1995,62.28
19,2000,63.12
19,2005,63.27
19,2010,62.67
19,2015,62.91
21,1985,58.27
21,1990,60.60
21,1995,59.14
21,2000,59.67
21,2005,60.78
21,2010,60.13
21,2015,60.40
23,1985,61.83
23,1990,63.12
23,1995,62.17
23,2000,62.53
23,2005,63.58
23,2010,62.55
23,2015,63.44
25,1985,54.02
25,1990,54.37
25,1995,54.87
25,2000,56.06
25,2005,55.98
25,2010,55.57
25,2015,56.07
27,1985,59.15
27,1990,61.58
27,1995,60.07
27,2000,61.12
27,2005,61.38
27,2010,61.02
27,2015,61.60
29,1985,61.18
29,1990,62.88
29,1995,61.74
29,2000,62.29
29,2005,63.01
29,2010,61.92
29,2015,62.41
31,1985,60.34
31,1990,61.91
31,1995,61.13
31,2000,62.23
31,2005,62.27
31,2010,61.83
31,2015,62.41
33,1985,61.32
33,1990,63.17
33,1995,62.36
33,2000,63.61
33,2005,63.33
33,2010,62.96
33,2015,63.36
35,1985,57.42
35,1990,60.04
35,1995,58.49
35,2000,59.02
35,2005,60.25
35,2010,59.32
35,2015,59.19
37,1985,58.62
37,1990,60.81
37,1995,59.27
37,2000,59.75
37,2005,60.55
37,2010,59.95
37,2015,60.40
39,1985,58.20
39,1990,60.00
39,1995,58.68
39,2000,59.65
39,2005,59.99
39,2010,59.83
39,2015,60.48
41,1985,57.15
41,1990,59.78
41,1995,58.27
41,2000,58.70
41,2005,60.03
41,2010,59.12
41,2015,59.44
43,1985,57.22
43,1990,59.26
43,1995,57.67
43,2000,58.96
43,2005,59.61
43,2010,59.02
43,2015,60.00
45,1985,56.70
45,1990,58.32
45,1995,56.67
45,2000,58.12
45,2005,58.31
45,2010,58.11
45,2015,59.08
47,1985,57.19
47,1990,60.10
47,1995,58.42
47,2000,59.63
47,2005,60.25
47,2010,59.86
47,2015,60.31
49,1985,60.46
49,1990,62.29
49,1995,61.05
49,2000,61.91
49,2005,62.29
49,2010,61.72
49,2015,61.99
51,1985,59.44
51,1990,61.38
51,1995,60.33
51,2000,61.50
51,2005,61.58
51,2010,61.35
51,2015,62.08
53,1985,56.72
53,1990,59.69
53,1995,57.87
53,2000,59.13
53,2005,59.61
53,2010,59.22
53,2015,59.78
55,1985,59.76
55,1990,61.36
55,1995,60.37
55,2000,61.75
55,2005,61.41
55,2010,61.24
55,2015,61.63
57,1985,60.21
